group_index,solvent_1,solvent_2,compound_id,temperature,J0,J1,J2,solvent_1_pure,solvent_2_pure,rmse,r2,mape,logmape
0,174,962,204,288.15,-49.81722686743014,94.03342229749204,-212.56169369505938,0.0047,0.0039,0.00014921487915773898,0.8409637131281527,2.545531474670177,0.40577847131681377
1,174,962,204,313.15,-22.12731132442613,-41.85372231361004,88.04429706971028,0.0093,0.0117,0.00013116658300419407,0.9783283045667658,1.029274553467703,0.01253123593995867
2,174,962,204,318.15,9.869082618688124,-34.0636099304212,81.61747951158497,0.0102,0.0145,0.0001222720148631494,0.9937472530273471,0.8353441869297509,-0.07813454525257997
3,174,962,204,323.15,61.28520786254392,22.442323865193416,137.9083664763031,0.0114,0.0175,0.00023257949180679845,0.9881955652425122,1.193393798665594,0.07678377675233058
4,174,962,204,328.15,74.30944379719625,77.0474890055311,-73.63419907736417,0.0127,0.0218,0.000207683683457978,0.9954915032502261,0.9444686667992302,-0.02481244543078225
5,174,962,204,333.15,71.57591703960388,17.73762186398995,161.50601081748744,0.0143,0.0261,0.0001193999462039073,0.9991466810679648,0.497962356913567,-0.30280348616120295
6,174,962,10308,308.15,2154.449352428516,-2295.2524383127393,1879.5148956260189,0.0023,0.0001,6.865692937373413e-05,0.9941344441785827,3.7803182194081035,0.5775283593917427
7,174,962,10308,313.15,2332.246383305416,-2526.0320138700977,2191.495797956821,0.0026,0.0001,6.984913672077473e-05,0.9955719537205435,1.9677092402069063,0.2939609250390115
8,174,962,10308,318.15,2547.290726582416,-2795.1681061326326,2476.332590356741,0.0028,0.0001,9.852386028754283e-05,0.9936545592838408,2.6155966854711723,0.41757077834568446
9,174,962,10308,323.15,2281.2334992878077,-2544.393305776361,2065.605621860842,0.0032,0.0002,8.998851837892674e-05,0.9960342806125783,1.8438324052791426,0.26572144341485937
10,174,962,10308,328.15,2513.3245387813017,-2760.405471455796,2203.9213571469422,0.0035,0.0002,0.00014286519285045877,0.9933190876407725,2.4640313452182867,0.3916462282361983
11,174,962,276224,278.15,573.7067348492014,333.8004357070423,-658.4984371592097,0.0015,0.0002,2.3759974384299453e-05,0.9975981398624525,3.95721383569101,0.5973895188410726
12,174,962,276224,283.15,502.6707023050581,496.9151718104056,-982.7941572321304,0.002,0.0003,3.295181001466199e-05,0.9971745282629607,2.740827001389259,0.4378816241155232
13,174,962,276224,288.15,492.49792330060876,547.973196211405,-568.5761815994066,0.0024,0.0004,3.806766686274716e-05,0.9976227383608305,2.612545586168647,0.4170638771664857
14,174,962,276224,293.15,640.2354225175645,179.11183738939758,-337.1597301014507,0.0031,0.0004,2.8698955982279333e-05,0.9991722654567176,2.1359171357540623,0.3295843999563188
15,174,962,276224,298.15,667.4290727119858,241.6577392250093,-411.25530408693436,0.0038,0.0005,2.801474571684631e-05,0.999476205497589,1.3874467397594181,0.1422163207514387
16,174,962,276224,303.15,551.710138426371,430.93428497236124,-543.4208406241952,0.0045,0.0007,1.1746140635804838e-05,0.9999340134774697,0.4828448436271105,-0.3161924021301971
17,174,962,276224,308.15,572.6554170200632,385.2075068382955,-559.8771790233477,0.0054,0.0008,2.70887467739124e-05,0.9997526194572174,1.0301992250374972,0.012921218848709571
18,174,962,276224,313.15,595.3979014525961,353.3148765010451,-473.26170329163915,0.0063,0.0009,2.2287789512276047e-05,0.9998770884362141,0.5243573012176794,-0.28037268044599695
19,174,962,276224,318.15,626.5088009721178,338.864360379973,-530.3828899201453,0.0073,0.001,2.1500395355283007e-05,0.9999150321934491,0.658205514645768,-0.18163848337529193
20,174,962,276224,323.15,638.1550097571253,318.0414191077216,-397.2927239423735,0.0082,0.0011,2.9674510372800866e-05,0.9998737920917397,0.39693387710389266,-0.4012818337926955
21,174,962,620004,288.15,591.3923765832445,616.012936245098,-758.9415067432525,0.0008,0.0001,3.2128879263734665e-05,0.9855768994443441,7.220563204852846,0.858571073915932
22,174,962,620004,293.15,646.1933454150515,332.8232968410625,-272.85309762452266,0.0009,0.0001,2.1363695355751564e-05,0.9952718060796527,6.109603542003768,0.786013029374077
23,174,962,620004,298.15,717.1202974393418,363.0846522599277,29.182765689147185,0.001,0.0001,3.560817025854569e-05,0.9904470139172757,7.507523934637985,0.8754967254417324
24,174,962,620004,303.15,899.5932134227183,197.02749562968313,-305.0426529409996,0.0012,0.0001,2.7564997575981855e-05,0.9959210594474255,8.58220895650963,0.9335990843698438
25,174,962,620004,308.15,965.4048846744848,63.316263283768656,171.49924303967455,0.0013,0.0001,2.0237199442871384e-05,0.998088161527926,2.943865293918171,0.4689179335708711
26,174,962,620004,313.15,1034.8327286340825,-252.37983467208687,492.8948135623094,0.0015,0.0001,1.575452859414659e-05,0.999118237647737,2.2129104181323713,0.34496383340387654
27,174,962,620004,318.15,1136.2684781779003,-74.37227166325293,-99.32430184881613,0.0017,0.0001,2.410780873219881e-05,0.9984337737312681,2.336460266389758,0.3685583998544896
28,174,962,620004,323.15,1214.036437265539,-226.94885252241758,344.9336448742954,0.0019,0.0001,1.6201636842363776e-05,0.9994425823551949,2.023238241220251,0.30604702501269365
29,180,702,243,278.15,474.834236905159,-318.0637770723555,194.97293928741712,0.025,0.0034,0.00010827811452736996,0.9997756975267907,0.6373242403536176,-0.19563956300199603
30,180,702,243,283.15,438.25113506785175,-258.05993890181674,138.65793088027272,0.0275,0.0042,5.265963880809873e-05,0.9999546722641592,0.33587990044228005,-0.47381598421485044
31,180,702,243,288.15,409.5787992648459,-238.83842879147997,130.0517849070385,0.032,0.0053,7.438468847585315e-05,0.9999309582435085,0.36185132962799976,-0.44146982721357403
32,180,702,243,293.15,398.34615922732485,-230.62830838421766,125.83515858142597,0.0368,0.0064,9.632589488592269e-05,0.999910739028133,0.30996979521246276,-0.5086806236226943
33,180,702,243,298.15,363.15531084477504,-194.10069626525708,99.73368016893231,0.0417,0.0081,6.014541681095266e-05,0.999971495178636,0.25276034188970825,-0.5972910658705068
34,180,702,243,303.15,340.26873418252455,-180.91702719063593,96.68456527364852,0.0477,0.0099,9.59353932844975e-05,0.9999426351991529,0.2787776882712843,-0.5547419875625949
35,180,702,243,308.15,332.6095679716365,-168.065063135286,77.57757484325883,0.0559,0.012,6.380487266735334e-05,0.9999811895031715,0.19332527923509213,-0.7137113538633644
36,180,702,243,313.15,325.63722818197226,-161.21371420055752,75.86800465987864,0.0662,0.0147,6.0638417345259776e-05,0.9999876696972444,0.1277306373024212,-0.8937049209392384
37,180,702,243,318.15,317.4454312632105,-156.18294461373603,79.63218626505632,0.0781,0.0178,8.68218283234332e-05,0.9999815552837339,0.15682101475170704,-0.804595740253783
38,180,702,243,323.15,311.864353068361,-149.20126854896517,67.0796315136916,0.0917,0.0216,9.049265405748955e-05,0.9999851774855631,0.11625773495697442,-0.934578142632597
48,180,962,323,273.15,2125.3537535496266,-340.9526588223619,556.833874610388,0.3211,0.0001,0.002063277240040971,0.9997280075681915,3.6689021762093126,0.5645361323340704
49,180,962,323,278.15,2484.628899935742,-646.4586810642477,585.4047313032088,0.3855,0.0001,0.0036421337837021896,0.9994149618320113,2.6755132909058723,0.4274071127211287
50,180,962,323,283.15,2451.4713070188504,-678.6724485388473,628.9228094296761,0.4607,0.0002,0.002102455129919848,0.9998645224147844,1.6028283787952693,0.20488702320730567
51,180,962,323,288.15,2614.9373750243076,-897.8631298790965,824.3594940268512,0.547,0.0003,0.005756230827861939,0.9993078701469302,5.822297918603258,0.7650944238948202
52,180,962,323,293.15,2647.945423688764,-724.1974302743901,602.5594893747947,0.6613,0.0005,0.00853313791763262,0.9989803756276043,6.74232911703309,0.8288099481586647
53,180,962,323,298.15,2691.1400933339246,-668.2185614562748,434.2156656701863,0.7785,0.0009,0.016550569021382126,0.9972902814001788,10.622324269587748,1.0262195550706008
54,180,962,323,303.15,2799.6960689371876,-443.6159953023018,47.38175849772679,0.9194,0.0013,0.01936197567604077,0.9974185670019878,9.356656020042099,0.9711206637459561
55,180,962,2955,288.15,2817.4474150829888,-1596.155481154584,849.2557905432471,0.2922,0.0001,0.00046988293592927573,0.9999785256552451,3.1747211370338366,0.5017055834968885
56,180,962,2955,293.15,3062.3935848515603,-1796.706562759858,900.5408584441853,0.3402,0.0001,0.0012743701117643147,0.9998845529379705,4.997464329360179,0.6987497029167523
57,180,962,2955,298.15,3291.357343585682,-2027.1704930415074,956.8130812668785,0.3985,0.0001,0.00200811217793202,0.9997891843257362,8.018127378056494,0.9040729512843754
58,180,962,2955,303.15,3107.8778988357712,-1918.6619880494948,999.9831043165254,0.4562,0.0002,0.002041466368741972,0.9998367341280353,5.678675173454847,0.754247027265824
59,180,962,2955,308.15,3083.7498416584526,-1902.8536490009787,993.235084369116,0.5216,0.0003,0.003041235119043294,0.9997261447468057,6.163895856465637,0.7898552923850602
60,180,962,2955,313.15,2967.9330262349486,-1820.202476542727,912.5508255105996,0.6028,0.0005,0.004662298088171844,0.9995150252336102,6.187807586066352,0.7915368005656533
61,180,962,2955,318.15,2967.97109481196,-1854.4019861621723,967.5555072999081,0.6823,0.0007,0.00546768554413945,0.999481857638171,6.480253619844651,0.8115920033310255
62,180,962,2955,323.15,2945.5282306622394,-1882.024373345414,960.6324916888925,0.7819,0.001,0.0071714124875042855,0.9993164118322752,6.580328521460264,0.8182475762121029
63,180,962,3335,278.15,1852.5833663517249,-411.9326923072205,1803.081849412043,0.0089,0.0002,0.0003126022799115679,0.9961497921114296,4.595565317460106,0.6623389431763239
64,180,962,3335,283.15,2004.6848837438536,-748.1432397151465,2058.645424009839,0.0108,0.0002,0.0002825854810986232,0.9978228715071051,3.2615839378081004,0.5134285596967108
65,180,962,3335,288.15,1971.7355434750627,-692.4181196359377,1983.5748330190856,0.0138,0.0003,0.00038943325132109047,0.997433087917423,4.284175295767237,0.6318672325675874
66,180,962,3335,293.15,1998.5049657123127,-719.515006958478,1990.2627993384085,0.0176,0.0004,0.00047023628652893075,0.997658071649675,4.3453457744340405,0.6380243404978806
67,180,962,3335,298.15,2041.2315767078287,-750.9953048385206,1991.7544237209067,0.0224,0.0005,0.0004835093655975025,0.9984259901655563,3.384147170243295,0.5294492414339973
