group_index,solvent_1,solvent_2,compound_id,J0,J1,J2,alpha1,beta1,alpha2,beta2,rmse,r2,mape,logmape
2,174,962,276224,460.2654472212819,382.7012206187955,-974.2966859948694,5.022940164169741,-3167.3814347368448,2.457701184439,-2979.018991295781,0.0004034292426104362,0.9608773230270702,11.253264230726016,1.0512785163820724
8,180,962,3335,2006.6199598407932,-644.5899812909066,1828.7409847070257,10.398701521979739,-4228.6756579594585,9.929664508464496,-5201.085758640902,0.0006656688217845798,0.9988937736478517,3.6571700059351855,0.5631451492698015
9,180,962,45375808,2293.945263215369,-2497.5590650575127,2365.8239600427705,11.025654752414518,-3442.574892998645,12.672516501301414,-5715.781781903819,0.00558508651379605,0.9996028475134193,2.292007419494189,0.3602160191593006
10,180,3776,441140,1038.420873398268,-436.9130547384609,157.4523060737243,3.0332131345158384,-1871.711500363682,8.364150113007085,-4418.861183516578,0.0020458786459116667,0.9836532686744917,7.533296968399507,0.8769850879947897
14,244,1140,243,584.7896362777409,-503.03041181775546,676.9734298423924,4.933550360625287,-1957.4375197516636,8.47660811666561,-3217.7617392674,0.029224472563502576,0.8892319701029934,7.391668541639346,0.8687424839473735
22,679,3776,3366,971.6113225477951,-772.8317036022237,476.9952816113356,2.2452056673353606,-1974.7309681655681,4.597744330896378,-3556.4431511627895,0.00015102226956612816,0.999105873023554,2.039792636578458,0.3095860196969214
24,679,6569,536770,1231.2928865791762,-520.8755656989802,256.9558785409985,0.2983397270565253,-414.40669431365245,0.755409381935875,-1557.667365059073,0.002447244976833015,0.9995912630182404,1.7729065198966134,0.24868583714442993
25,679,7909,536770,1623.2976730610253,-861.0980296432805,427.38517440498237,0.34141714468101436,-428.2631239713467,0.6649212821399695,-1793.4833410324968,0.0024239222495945328,0.9996177850983952,1.751720226325678,0.2434647446029743
26,679,8452,536770,1286.7033162519506,-830.8088411656015,529.2741065286314,0.3355982812658349,-426.39130960101653,0.5028396655881229,-1434.322670468322,0.0016236713678912998,0.9998063464181401,0.7236825825689228,-0.1404518797509437
28,702,679,7579,927.414004077046,-37.31759682299902,-186.001481256084,8.71368700351302,-4255.545778299233,1.5833825766058773,-751.2986015655174,0.0077517568121063425,0.9973734977790284,4.904794778947739,0.6906208408219601
29,702,702,7579,375.724995026397,308.53888261388687,525.0987000836368,8.71368700351302,-4255.545778299233,3.439768964739232,-1723.0643173972887,0.005221940873510108,0.9843538556293209,9.795578890682041,0.991030106650297
31,702,713,7579,760.0319094261403,87.97438696513947,-31.095022951726072,8.71368700351302,-4255.545778299233,2.3364398475569934,-894.6628505627365,0.008505117905235558,0.9981161214051217,4.870936260836216,0.6876124466014913
32,702,962,338,2106.3804158910066,-277.66136731454174,-291.0137290818324,4.613889475992179,-1951.4926132107164,6.652975821754071,-4172.488229850018,0.0034262986891498634,0.9976156645452836,6.499919450058895,0.8129079747025945
33,702,962,2378,2365.1747231646923,-1905.5399064887736,1084.1450382510009,11.555076007859302,-4372.239040565606,8.348773990792768,-4828.737632940912,0.0007130371063267605,0.9993312161918451,2.418054843290336,0.38346614675976287
35,702,962,3335,900.3869551375036,-445.213314500119,316.45141661367995,9.996598130660715,-4404.660871745256,9.929664508464496,-5201.085758640902,0.00011625024849636379,0.9994475300218205,2.886342942049126,0.46034793070450986
41,702,962,11741,1640.9402065844345,-997.4024707166523,789.1444048904768,8.316876524449158,-3552.648055316671,11.985609212966931,-5876.971645685708,0.0027385421942869113,0.9798967527433218,8.070578683354125,0.9069046759831744
