group_index,solvent_1,solvent_2,compound_id,J0,J1,J2,alpha1,beta1,alpha2,beta2,rmse,r2,mape,logmape
0,174,962,204,49.22245323896469,28.09958382812717,113.81351386570182,2.7455662970004866,-2331.231064042164,8.839898095425013,-4159.4724869055,0.0003450171036237987,0.9960325654258658,2.9840004650227274,0.47479888648052015
2,174,962,276224,662.0164646406516,330.0551604259914,-382.18697099841677,5.018546449823452,-3168.040481238876,2.5364595766663425,-3007.467166535437,0.00015325778218552098,0.9943540258287583,8.180057581155847,0.9127563607728182
3,174,962,620004,1032.306761640149,-199.85454479878052,474.7902944941113,1.0679072706184591,-2371.5776464962237,-9.21034045885716,2.6419875255827876e-05,0.00010327542124694957,0.960826545772222,18.84074215537022,1.2750980060807324
4,180,702,243,329.94989223608366,-126.18965841218873,104.39416450282393,6.239847388446122,-2795.8527216882667,7.874180892708432,-3785.0004684283226,0.0013350171685349904,0.9952654390418967,4.605850038048141,0.6633097936567789
5,180,702,456389,361.559310619717,-188.909404926049,96.89933806209227,6.445465130498349,-2526.793864981951,6.519779125467382,-3033.899098333405,0.0006149945213499129,0.9998829749272339,0.5593322324376095,-0.25233015301853373
6,180,962,323,2786.0794916283066,-228.7621018989235,-263.87131468681093,9.61404953060376,-2940.462451777542,20.785548927255665,-8316.437870729049,0.03179985972670487,0.9885858444322178,12.650958249548811,1.1021234224865228
7,180,962,2955,3162.2112609384367,-2113.779335294458,1238.6133419491528,7.86062948972095,-2620.178669145168,16.591953528731466,-7592.740691518969,0.017697309122994522,0.9922638508628123,7.002917167801366,0.8452789894381612
8,180,962,3335,1995.1505535549281,-483.5219241289069,1780.8465175532592,10.387336369204569,-4225.408178013094,9.728547465229113,-5140.956071641178,0.001154523522566211,0.9966723844964283,3.094165513089411,0.49054354126342603
9,180,962,45375808,2307.694208379916,-2518.0516435640884,2337.6222182178954,11.042690898746281,-3448.1259535708314,12.832097506760585,-5767.436570363934,0.004491986641159129,0.9997430939164482,2.1907832194110872,0.3405994057344368
10,180,3776,441140,869.0742404393926,-305.7866449825545,143.26938567503095,3.083913349746778,-1887.173987103443,8.253948363779338,-4383.563143135343,0.0010416906459372233,0.99576211941902,5.419818421008889,0.7339847367090792
11,180,6342,243,484.79853410196876,-348.181672270031,-34.96572828089682,6.239847388446122,-2795.8527216882667,4.5505739208154505,-2903.8703504998007,0.002196037559702949,0.9881309697780867,6.520038337363496,0.8142501493602128
12,180,8058,243,1755.3289067134128,-1639.2439113869111,841.4396182718626,6.239847388446122,-2795.8527216882667,6.05252452015143,-4023.6087969549335,0.0017828119588785818,0.993077589652859,10.289228576168064,1.0123828152218908
13,180,8058,241518,948.4059177387594,-750.7747598349799,889.7565222034489,10.477297995762633,-3159.2755694583643,12.336868360695018,-4606.541288590943,0.05117184889566602,0.9909890938682315,4.691659708606595,0.6713265047150533
14,244,1140,243,433.22888572095763,-578.0009502336522,565.3546752468625,4.82844424173264,-1923.818715336829,8.360122385872007,-3182.348921928383,0.013693328229033568,0.9756813700406152,4.441470333509383,0.6475267656150353
15,263,1140,5483,1629.7034336209115,-1972.4740471366545,827.8223872978252,6.746212580657839,-2614.4057304627786,-0.9817694910962699,-1762.5257593967945,0.009547091964982303,0.9670099827607207,11.123734551947013,1.0462506166538137
16,263,6342,5483,-59.45153550767977,-240.8143309375121,-60.667861515214696,6.746212580657839,-2614.4057304627786,2.4396143692554504,-1563.9356018799092,0.002130347276901746,0.9972857300788255,1.9564386793864397,0.2914662403678298
17,263,6342,10113978,1920.3972454544119,-401.07033111559605,-43.23767093815873,1.3923915424609448,-3105.6091797994436,3.3695192782023184,-3787.757853722772,5.2190016155630565e-05,0.9746459675998193,11.479929557292529,1.0599392231688356
22,679,3776,3366,942.0571911081867,-794.213961544097,424.56768671066186,2.2503483230578674,-1975.5523716186626,4.467170574782411,-3517.418065198077,0.00020989455200919204,0.9982728918028736,2.5065631748162205,0.39907865494082434
23,679,3776,9576037,987.050239414789,-588.9744772394907,288.08890887368744,4.318062109625918,-2398.7548582871646,3.131856445106691,-2886.0077838628736,0.00020944879981515298,0.9996091050348627,1.2878841710095572,0.10987680545125662
24,679,6569,536770,1232.811290677685,-533.4735781450476,354.838623314862,0.29075766182949714,-412.0041715300114,0.7655283281412456,-1562.0283451009832,0.003874636897161256,0.9989754077612711,2.3184659835717807,0.3652007283295396
25,679,7909,536770,1600.179491955824,-866.1975892497179,535.6103607066485,0.34317946463545235,-428.8831385811242,0.7128540473614537,-1808.601798576619,0.002545492807038677,0.9995784840691304,1.829957498761756,0.26244100324540853
26,679,8452,536770,1286.3484545450635,-830.3824852916007,498.6155369504002,0.336097347578238,-426.6026440156011,0.5120810361056441,-1436.9436482241583,0.0016315987025084591,0.9998044508321723,0.6743747641674511,-0.1710986898481467
27,702,174,204,533.614602668429,318.1013416606151,687.1304825049561,3.395783834292949,-3276.4374836579755,2.5699101472810484,-2272.277350114135,0.00017059819894248116,0.9974892882238975,3.316969615253757,0.520741493229441
28,702,679,7579,1081.6372778732446,-40.298728309267446,-151.53281182561307,8.76551664866766,-4272.253405976801,1.576066733989333,-749.0169375509375,0.015491430096639402,0.9895103616213379,6.607286936736544,0.820023167461481
29,702,702,7579,327.21081290382614,106.06921108205826,88.12528616779998,8.76551664866766,-4272.253405976801,3.51809219653995,-1747.5028826250957,0.0030790625500416616,0.9945602310211572,4.993456155643466,0.6984012409659883
31,702,713,7579,772.4120218643637,94.73654774955072,-59.59102261415324,8.76551664866766,-4272.253405976801,2.310662306752139,-885.9223103136211,0.008260041393529751,0.9982231257984323,4.694905783988404,0.6716268813935035
32,702,962,338,2160.764603258482,-286.3766501549084,-331.0880807233772,4.559755821215528,-1933.848552635869,6.866046382967184,-4240.480425328153,0.002616201330049281,0.9986098577567462,6.141600614369845,0.7882815710430764
33,702,962,2378,2287.4353234736996,-1889.921946269297,1419.1319373723923,11.5098427415441,-4359.329082512467,8.140328107399355,-4755.191231859761,0.0013393195643341433,0.9976404460395963,4.351350115270371,0.6386240285955421
34,702,962,2955,1847.8115363528025,-1120.4090882619348,753.0845011592261,3.9378990486862855,-2249.4576587248057,16.591953528731466,-7592.740691518969,0.0017400054240122396,0.9817629764518935,8.564463896096987,0.9327001829169749
35,702,962,3335,906.1077205556832,-468.6295261489361,459.19536361678206,9.975214508477773,-4398.871807334616,9.728547465229113,-5140.956071641178,0.00014976441755425524,0.99908306576755,3.496562946984165,0.5436413510466717
36,702,962,4499,2685.9668557055197,-2379.0571436363193,1914.9365105175661,8.692548317033502,-3460.2677537306263,6.515938965441305,-4432.002492577816,0.0007004134218737202,0.9994304080294513,3.637198891836719,0.5607670500966307
39,702,962,8285,1314.4793306831386,816.1853629337915,818.6835454027582,8.09459874169576,-4129.447825156012,6.960180045887895,-2847.6081807459846,0.001569374823467392,0.9983528349453121,3.564656537277904,0.5520176909478121
41,702,962,11741,1507.71013600555,-892.9185744305652,589.2213847839402,8.166154684756355,-3503.9339580586484,11.630094013402717,-5760.402529212968,0.0010020088250471447,0.9973086484259333,6.21958696256099,0.7937615445241496
43,702,962,27901,1179.2340694060208,-436.1625612880088,158.3124403315827,2.064175150439055,-1786.0112995012025,-1.3927350295476706,-1787.8790757123543,0.0002162429442807567,0.9992532303783235,1.8705092304811488,0.27195985567089165
44,702,962,114811,1363.0717153855037,-922.3589361080134,701.9825699948949,9.439826877345725,-3576.5526737120895,7.181968905257695,-4132.758632996661,0.0013747029923201386,0.9985835614036801,2.773914176655732,0.4430930201181511
45,702,962,268296,742.6166386529746,119.866072074907,-52.474400093553115,-0.880606888537416,-1679.9616042447788,6.515938965441305,-4432.002492577816,8.663988062469603e-05,0.9774848661005263,7.895222410159616,0.8973643686881415
46,702,962,276224,1152.1212867254542,-717.9326027402989,-128.62222990276126,6.533452591627805,-3123.707272969004,2.5364595766663425,-3007.467166535437,0.001564435300770281,0.9747187418713981,10.046680323059855,1.0020225835932743
47,702,962,522885,593.9024407738624,266.0822119546338,-425.23822673048426,4.058047802733163,-3039.204775415684,2.683589549168665,-3393.698294945227,5.6426709983945074e-05,0.9973400369273777,6.682191645236381,0.8249189270451696
48,702,962,620004,1485.8841407235054,-1271.021156145925,997.3331712665465,3.3962988895594477,-2432.6755454176146,-9.21034045885716,2.6419875255827876e-05,0.0010206237333665877,0.9306517181069066,16.698245526945456,1.2226708425251862
49,702,962,5281605,392.1638277452706,1826.1247288022887,-990.569475845549,3.42157569968885,-2506.746693565826,-0.34060488109502335,-2519.8197810408374,0.0007801343431221581,0.9692991932026106,11.804128499426742,1.072033928571755
50,702,962,13927912,792.8973975820071,44.38716381623757,-168.03961264899826,5.586778104938972,-3092.835478677209,2.1921548019767703,-2913.80851995949,0.00011883304524185919,0.9992209495784986,2.350804032557491,0.37121642702958435
51,702,962,45375808,2376.0488832524366,-2369.959549354358,1354.3240302509337,10.488990383033073,-3293.2783645217573,12.832097506760585,-5767.436570363934,0.005848574968616373,0.9994769273471266,2.629638886023685,0.419896113290119
52,702,6342,3282,762.6106069637507,21.710701030677214,-163.7375228230775,11.235064956959244,-4204.384443425792,14.856476744896613,-5410.902867540216,0.0015272348409625105,0.9994635523924951,1.3799779762549897,0.1398721553380097
54,702,6342,10113978,2660.538421950142,-293.537689933673,1698.2053277421378,2.5623813751751503,-3416.9092596669448,4.759421118057793,-4244.531818216033,8.898251983106243e-05,0.985813216929175,9.707056910881445,0.9870875758288524
56,702,8028,3385,228.6229947057613,-542.8464055236502,-328.03294414935743,2.645852496626625,-2084.48587665175,8.036123154468914,-4509.297880170864,0.000331825319204616,0.995935814913077,6.138661492837868,0.7880736855311533
58,702,31374,7579,616.6210900168701,-158.46901329970396,-52.08361560521125,8.76551664866766,-4272.253405976801,1.1241788689137062,-667.1574239586859,0.00625227317231415,0.9973588777491759,5.647161510180551,0.751830208841381
59,713,263,589833,177.03567351848352,-74.34169783047612,174.57198228876928,8.551902957792716,-2180.8941395146962,11.637058491669862,-3460.2084522613677,0.06277928777185598,0.9947498106498867,2.359873676526855,0.37288875591262377
60,713,702,456389,525.2024061801569,-159.7605812267135,-10.442983256469839,4.457600196380388,-1680.3811265592487,6.519779125467382,-3033.899098333405,0.0008231934025648586,0.9999532990658305,0.46478338949671555,-0.33274940122620544
61,713,702,589833,47.01711791409171,-33.515770665701744,9.604486632241324,8.551902957792716,-2180.8941395146962,17.31519627056101,-4890.207665373148,0.08179797854650644,0.9928225399456754,4.899700672551836,0.6901695493693836
62,713,962,243,1120.4369862598205,-1088.286870724761,971.8199449710402,10.244234356304437,-3212.391302298787,9.439272561187813,-3904.2346629254557,0.02344953381793547,0.9953832215960289,5.925006952487619,0.7726888642897765
63,713,962,338,1865.2962203637917,-793.9516310848084,698.3311946892476,6.501876418537123,-2255.0853963100376,6.3795229605390205,-4085.254485614656,0.009095119577210936,0.9969519277066121,4.3492636216417795,0.638415732327211
64,713,962,11741,2542.7661569910165,-1456.1454475076127,843.4897589087968,5.607807158131494,-1815.1189756698707,11.630094013402717,-5760.402529212968,0.01005399200191827,0.9987228184809682,8.17359666187431,0.9124132030055959
66,713,962,27901,1934.6690486710536,-1671.3786851610785,1083.0421691986744,3.4211767331637235,-1817.7780918266806,-1.3927350295476706,-1787.8790757123543,0.0010362220338213342,0.9984732117000956,2.870706638040147,0.45798881353794646
67,713,962,276224,2003.1202168090945,-1863.1422168382235,1109.6003249160005,7.832418531091706,-3139.9870360851587,2.5364595766663425,-3007.467166535437,0.0021618481073690907,0.9958456132802734,6.674182705394221,0.8243980912696942
68,713,962,522885,2421.344291704096,-2751.4555490963257,1831.9804395166202,6.523017264996707,-2829.038004351845,2.683589549168665,-3393.698294945227,0.0011547847414125302,0.9974446825181288,5.241940880596323,0.7194921185992168
69,713,3776,3366,296.75721489270353,-138.282974235112,-130.24722772439952,3.094040417174394,-2510.7217751124444,4.467170574782411,-3517.418065198077,5.03703198607426e-05,0.9993565266858927,2.019992704243003,0.30534980087596675
70,713,3776,9576037,814.6557497729511,-610.8151238266714,435.06754550552347,3.7771691600338926,-2226.7122072204,3.3213563646211886,-2947.026550707923,0.00014167913942031259,0.9997858947528268,1.2044310650770929,0.08078194844946686
71,713,6342,243,1201.6137342395177,-1124.9452501884987,805.4783301973704,10.239528106202094,-3210.956456317021,7.034576450508623,-3250.8018779293698,0.024681251810325253,0.9951151924265211,4.946019660879741,0.6942558383889279
72,713,8028,3385,449.99386657923594,-622.2045258739141,895.6983955014495,6.408249152455481,-3096.1190945169374,8.036123154468914,-4509.297880170864,0.0008958345641471613,0.991891164591595,4.086114847696458,0.6113105691050124
