group_index,solvent_1,solvent_2,compound_id,temperature,J0,J1,J2,solvent_1_pure,solvent_2_pure,rmse,r2,mape,logmape
6,174,962,10308,308.15,2153.151528493887,-2307.921112492623,1907.085082682392,0.0023,0.0001,6.919789448154007e-05,0.9940416476688392,3.75546107347938,0.574663264742343
7,174,962,10308,313.15,2336.6487034153424,-2533.418420962496,2207.204661033482,0.0026,0.0001,7.285292612980315e-05,0.9951829177143218,1.9267234653974679,0.28481938664815326
8,174,962,10308,318.15,2548.882733545244,-2823.5281066997536,2546.6643040668077,0.0028,0.0001,9.999641996327071e-05,0.993463461022896,2.3806440781710925,0.37669447039829235
9,174,962,10308,323.15,2282.9936035778,-2538.9807966624894,2052.388336049963,0.0032,0.0002,8.987807623408635e-05,0.9960440088267267,1.7811624830958248,0.25070353894287317
10,174,962,10308,328.15,2529.439856540618,-2752.894215015108,2206.795391091917,0.0035,0.0002,0.00014771079734030222,0.9928582047347296,2.3867287747191677,0.3778030690547553
11,174,962,276224,278.15,554.3730396539595,353.07702332363164,-651.6805042723134,0.0015,0.0002,2.4476833418650818e-05,0.9974510210872458,3.8495012717203347,0.5854044674384037
12,174,962,276224,283.15,510.69986448642874,384.80243932214586,-821.3451291321833,0.002,0.0003,2.7205227350488856e-05,0.9980740849071353,2.927144837125883,0.4664442121530622
13,174,962,276224,288.15,496.4621281518633,512.6831224206636,-521.0898896722769,0.0024,0.0004,3.4735870771693275e-05,0.9980206579865727,2.3534336401244595,0.371701956993976
14,174,962,276224,293.15,646.8104413382267,225.99167008942413,-422.9730726613236,0.0031,0.0004,2.557137210854195e-05,0.9993428463151733,1.7506365641435366,0.243195994987144
15,174,962,276224,298.15,655.5981363419282,241.0315496335994,-387.93025941786124,0.0038,0.0005,2.3503682381553642e-05,0.9996313116748778,1.1894390984012237,0.07534221021910088
16,174,962,276224,303.15,555.8836212679882,418.19869005034053,-531.4605630844923,0.0045,0.0007,9.964276221457765e-06,0.9999525150084003,0.5082119458580964,-0.29395513078647895
17,174,962,276224,308.15,574.2381798840238,368.36422965811613,-536.5245899466959,0.0054,0.0008,2.578546673322015e-05,0.9997758505359059,0.9237569787317912,-0.034442267608474776
18,174,962,276224,313.15,601.6293656460056,351.2623928200631,-481.916604433224,0.0063,0.0009,2.0067888246535653e-05,0.9999003534890603,0.4239367551919427,-0.3726989285956227
19,174,962,276224,318.15,629.7047267772094,331.9521201709708,-525.6654472485625,0.0073,0.001,2.169940587156879e-05,0.9999134519671325,0.6419128584674518,-0.19252392466542115
20,174,962,276224,323.15,645.7612178291675,328.5425165057997,-428.1848620220387,0.0082,0.0011,2.5199145607003658e-05,0.9999089895886737,0.43717431485314495,-0.3593453619218546
