group_index,solvent_1,solvent_2,compound_id,J0,J1,J2,alpha1,beta1,alpha2,beta2,rmse,r2,mape,logmape
1,174,962,10308,2393.9479165391635,-2643.882793072471,2318.502911820002,0.7509465664449761,-2103.4345907039065,4.852089006734451,-4401.735147501087,0.00024043165703595244,0.973972886013314,6.768500336522819,0.8304924548417605
2,174,962,276224,379.96852953145367,400.8509418193887,-1112.9728800525563,4.908469427033997,-3134.520886032889,2.7196611406561906,-3070.50208597117,0.0005846042888525464,0.9178480629051632,15.883980469168618,1.2009593443867137
3,174,962,620004,739.6054882119774,392.6657278491718,-145.0439494788235,1.1069949597252733,-2384.411384880169,-9.210340651774423,8.259406403703434e-05,0.00012027715665819319,0.9468670139293853,13.550929666435849,1.1319690911626836
6,180,962,323,2392.164080454491,-777.5745295920333,912.9515416904948,9.579229863275065,-2929.56746039035,20.21566561476167,-8144.020799072998,0.04291956919119292,0.9792076255875035,7.443672293141487,0.8717872451125275
7,180,962,2955,3219.668097075043,-1995.0743257797496,1076.7118923512046,7.85665228019814,-2618.944405747849,17.70840129254705,-7955.127798757711,0.02418007163603719,0.9855580603426141,9.381415291873546,0.9722683615224487
8,180,962,3335,2007.5983995472616,-641.4808779679981,1834.7449973680232,10.25180038152211,-4181.875852894757,9.514788331418515,-5076.707454302124,0.0006652474656554897,0.9988951736465214,3.8121375756497313,0.581168565436222
9,180,962,45375808,2293.4285545725306,-2494.6336638914695,2370.139608463183,11.03190927502473,-3445.018701815738,12.560765565639354,-5681.299691918975,0.005652951362879699,0.9995931372087697,2.3953137481497504,0.3793624071726544
10,180,3776,441140,1015.1523644988615,-427.97979879944495,100.01853113043623,2.895671596240341,-1826.7268610257618,8.166156328921023,-4353.030980562851,0.001824002097372988,0.9870066285931951,6.950230777749226,0.8419992252863809
14,244,1140,243,412.33717096266145,-443.14443579304816,576.2542970860093,4.89247255976629,-1946.5744535402464,8.313342944129086,-3166.320460108008,0.013206032801762028,0.9773813952740982,4.4357442873732325,0.646966501908199
19,679,962,10308,4692.868992160847,-5776.517051380178,5105.767658734561,6.762155050830851,-2846.4287711173333,4.852089006734451,-4401.735147501087,0.012637881424012539,0.9641780138102254,7.262101516201154,0.8610623155790538
20,679,962,75106,58.97611993657884,371.3858902436221,27.69239024665219,2.3417380608568323,-736.2140687198752,-9.210341270465097,0.000275343870356484,0.007118454696420933,0.9993679225763186,10.231672980028348,1.0099466509742359
22,679,3776,3366,994.107502558711,-784.7045871656852,616.7581790144817,2.2535209939276606,-1974.5151630666405,4.7174827252843965,-3600.7047169082957,0.000316933517994486,0.9960622008973777,3.022235226361753,0.4803282632906462
24,679,6569,536770,1240.7582687565093,-527.1886580977996,260.07710901290466,0.29801547155569047,-413.7341375441157,0.7406059755655077,-1553.0538829614718,0.002873826991906683,0.9994363490009284,1.9861534567762893,0.29801280048185164
25,679,7909,536770,1617.113647241271,-877.9897899900461,521.5341153720882,0.36425048700073526,-435.21845206881005,0.7804890615256103,-1832.095024182189,0.0028295609572635003,0.9994791551749101,2.0191024797569184,0.3051583621647656
26,679,8452,536770,1290.2593416172192,-836.3015312265237,535.4119246471914,0.3552968151079827,-432.31392234980507,0.49231081266027343,-1429.6831308403978,0.001988307094164979,0.999709600279746,0.9703099393278699,-0.013089519919764021
28,702,679,7579,923.7801701835942,-38.61189023658715,-216.54336394570635,8.761248895343565,-4270.423385632573,1.6110355101875435,-757.7113356615492,0.008003193344951346,0.9972003476154494,5.060607024646929,0.7042026140023931
29,702,702,7579,406.9007527932157,282.4505862356908,124.32951099243935,8.761248895343565,-4270.423385632573,3.3310490781898325,-1685.887425690415,0.004411812459120228,0.9888319456538631,7.7746608260760155,0.8906814517726247
31,702,713,7579,741.0392590077224,84.51243450858304,-6.55868932359366,8.761248895343565,-4270.423385632573,2.3448003515518843,-895.7032597380772,0.008932354053682411,0.9979221026347074,5.250199059980516,0.7201757698844726
32,702,962,338,2190.8206328256642,-441.86834930700047,34.81087798576641,4.556026823898761,-1932.4713972661948,7.0263920045494075,-4294.979615909354,0.0029731726333765526,0.9982046167468666,4.777857902099378,0.6792332292874858
33,702,962,2378,2401.420494517365,-1984.4087401740044,1136.01731522068,11.528995093839123,-4365.382371271812,9.433276436024903,-5168.046556013995,0.0008971719053552752,0.9989412027162754,2.549876344137884,0.4065191199003428
34,702,962,2955,2007.5426726686876,-1042.0011737828893,664.5524005161005,3.9986884560906497,-2267.627996136479,17.70840129254705,-7955.127798757711,0.0033097421744889316,0.9340156287578352,13.281960176590824,1.1232621737561015
35,702,962,3335,925.5099214620038,-479.2572472941767,297.12695791650987,9.865890590348707,-4364.774631364308,9.514788331418515,-5076.707454302124,0.00012302020430703006,0.9993813090105645,3.6962959362726258,0.5677667348275809
40,702,962,10308,2764.4346300083685,-3387.162542213743,3354.6490913397547,10.159536780411717,-4491.8654867570385,4.852089006734451,-4401.735147501087,0.0016289243207616947,0.9632902113883735,8.000191211385884,0.9031003671241149
41,702,962,11741,1565.599545953539,-903.3573597241717,555.4078622433639,8.156364289496183,-3499.4714808553863,11.716686226719258,-5787.321796182978,0.001626296688120149,0.9929103157130487,6.420805295559126,0.8075895005742824
42,702,962,21102,1528.4071076713121,-577.28598147779,201.6322191603912,9.938222868501454,-4543.850466739581,8.778067798292923,-5534.955112508587,7.32166721858391e-05,0.9995770486555238,3.861993242315101,0.5868115095190285
43,702,962,27901,1194.4500196870897,-464.5863245358046,163.5813905929174,2.0382756500309136,-1777.605722203188,-0.7736421342716495,-1988.321388092277,0.00024143501942723643,0.9990690994696119,2.644723524790158,0.42238027828657343
44,702,962,114811,1333.263112385965,-846.4083453802339,603.2100457410465,9.38905977242642,-3560.0370800049354,7.184125844324095,-4135.9972635304275,0.0009060976860756857,0.9993846388999178,3.1784086718627362,0.5022097369633008
45,702,962,268296,852.5420109118029,-217.02662205821488,61.72191436629267,-0.9189230981551337,-1670.5654927756261,7.250386787961354,-4666.370309474607,7.965738809950014e-05,0.9809677134452428,5.826309208972192,0.7653935294140157
46,702,962,276224,1307.1419899583516,-632.5732054632074,44.65418016177064,6.419292431656916,-3088.0080517216647,2.7196611406561906,-3070.50208597117,0.0004969116628101049,0.9974494029746052,6.197744781251589,0.7922336883317508
47,702,962,522885,872.320279609464,-227.66792790674688,135.28912953786312,4.058675245309923,-3037.981502761926,4.0175555923394874,-3834.2250796091253,0.00016894480616006034,0.9761550816750172,12.954125891748717,1.1124081133312846
48,702,962,620004,2159.319725104903,-2012.7087074775363,1356.184159720803,3.372099153802497,-2425.5717787317985,-9.210340651774423,8.259406403703434e-05,0.000902745856142818,0.945745547302725,23.970177789702383,1.3796712552602008
50,702,962,13927912,757.8226121387985,89.34356984917153,-233.51234181565633,5.68617844147924,-3123.770686097182,2.1456960533287077,-2897.1717050930474,0.0001454930928853606,0.9988321801145675,3.0971076948617875,0.4909563072202068
51,702,962,45375808,2396.606389900224,-2311.1408308217037,1294.196185072015,10.500808594619821,-3297.1854268148213,12.560765565639354,-5681.299691918975,0.0031763125420085957,0.9998457204542405,2.407830669579822,0.3816259419492166
52,702,6342,3282,765.9199575804987,17.356663969204888,-174.10094648181078,11.402745886057073,-4258.368034674611,14.800017158993407,-5392.830414402562,0.0015435703193548429,0.9994520152093775,1.4123798300481114,0.14995150685101913
55,702,6344,5311110,2023.8569580395197,-2024.1084901444835,1319.9211240290615,12.796537458043339,-4688.621406963602,4.412239403889617,-3469.073733438342,0.0015849236863584297,0.9923271945485163,6.137020525999326,0.7879575758362106
58,702,31374,7579,756.8262562364062,-80.06340583326693,-98.6084802800921,8.761248895343565,-4270.423385632573,1.2136599996805852,-692.9550229389783,0.008243153699269827,0.9954090833324482,5.620427278887751,0.7497693329728785
63,713,962,338,1872.4871804965858,-494.1305453237443,293.6345657509554,6.519654957730274,-2260.1373384136564,6.271659477952918,-4052.4213477202165,0.006651000032786541,0.9983700197708504,7.104507794684888,0.851533995077431
64,713,962,11741,2728.9647101191167,-1747.9508587097177,650.7116452961787,5.617932437445139,-1816.8685743578558,11.716686226719258,-5787.321796182978,0.018011777630692068,0.9959008981619775,7.192151763236393,0.8568588429688773
65,713,962,21102,2735.6955771449243,-1165.1708520047298,343.3328740448987,1.931809491160554,-1124.2247162893602,8.778067798292923,-5534.955112508587,0.0009150060612620566,0.9998037668215053,7.3606994941268145,0.8669190877076602
66,713,962,27901,1913.405133212992,-1679.1034085265076,986.110548286675,3.4781292421432157,-1834.4022366953986,-0.7736421342716495,-1988.321388092277,0.000798694627630724,0.9990929427391362,2.5090538913591978,0.3995099895204965
67,713,962,276224,1992.3306871078792,-1822.8012655547477,1126.5838049705637,7.688539958714965,-3096.4214388091523,2.7196611406561906,-3070.50208597117,0.002226839768428706,0.9955920718714935,6.794222584347258,0.8321397706132418
68,713,962,522885,2442.0506406478944,-2686.686007938208,1913.4457416417586,6.657596359021275,-2870.2298043778396,4.0175555923394874,-3834.2250796091253,0.0015404320004551737,0.9954529696131929,8.895286998727284,0.9491599647811376
69,713,3776,3366,295.0845548470078,-71.8537750113593,-23.11133818884926,3.1151200060176145,-2516.4457866504144,4.7174827252843965,-3600.7047169082957,9.306014264741133e-05,0.9978036145852102,2.4805774006675216,0.3945527827361877
79,1030,962,2378,2395.670857498466,-1660.1153520757675,1278.8350416074643,12.222509513571064,-4778.988377580259,9.433276436024903,-5168.046556013995,0.0009087351218083665,0.9973148693918951,3.013253638822644,0.47903568969024046
80,1030,962,620004,1124.3642073859166,-60.22557352605847,-45.49428403773816,1.8700181241762794,-2471.538998445063,-9.210340247305389,-3.831593349731668e-05,0.00026305994708437474,0.9111814953995866,14.729141584305358,1.16817743685874
81,1030,962,6917864,1518.5031696570898,84.27950633423153,-256.9050053312751,4.8196234863986405,-2802.426837176106,7.384936771122932,-4420.894341335421,0.0001057773060889036,0.9997133575183808,1.7069198650904676,0.2322131327339869
83,1031,962,338,1468.8527984955062,-358.70746422380535,154.40839562095996,4.492263556048298,-2061.9359980651975,7.0263920045494075,-4294.979615909354,0.002518461924368638,0.9960033124128174,7.728183294364017,0.8880774139750925
84,1031,962,2378,1829.2253770356144,-751.0599458188418,185.63139100507294,12.975816462067213,-4979.092684859805,9.433276436024903,-5168.046556013995,0.0017764829592570848,0.9898540823072258,8.640106652844619,0.9365191034113028
85,1031,962,4075,2371.397422941262,-46.611227336988186,590.5117354135233,-2.524643654064967,-1851.3223614178103,-1.6286520539379281,-1627.2788176777021,7.569080313998745e-05,0.9950996107850769,4.891524494150199,0.6894442325826107
86,1031,962,4499,2967.195299523948,-2510.442897860491,1804.407500336416,8.059470878026007,-3282.6991906472317,9.510924395573387,-5338.098856787642,0.003005736781502145,0.9891314720515034,8.420501621796987,0.9253379638380621
