group_index,solvent_1,solvent_2,compound_id,J0,J1,J2,alpha1,beta1,alpha2,beta2,rmse,r2,mape,logmape
0,174,962,204,-18.666086611861907,156.72643667120815,-55.89093712432357,2.8850170728927336,-2376.334116099676,8.674743475928631,-4105.003340117634,0.0007716235195852803,0.9801555330724463,3.192817732453395,0.5041741267921516
1,174,962,10308,2356.334931766876,-2636.192680111073,2171.5068549941434,0.8898531110054009,-2149.1266422999292,4.77226374066925,-4375.6019471339005,0.00029246608340517774,0.9614882074586819,6.989299175407784,0.844433630751098
2,174,962,276224,427.85327254921583,618.7985896589227,-1376.3046931520437,4.982718858192373,-3161.0122824171135,3.111269184752191,-3205.653444560736,0.0005559639535833439,0.9257002960621066,17.913869281377607,1.2531894008160616
4,180,702,243,305.80383031576906,-271.5858479433709,73.83370896637373,6.247372792533752,-2792.9392695604106,7.752824127402533,-3744.8150077761643,0.0014727629014949656,0.9942380208477688,4.637079982772846,0.6662445868980299
5,180,702,456389,377.5402598989484,-205.14232269456332,123.6416809362922,6.426878380653375,-2520.726753499741,6.52362584749347,-3035.2769049264593,0.0014130913573621334,0.9993821587415133,1.0160660464183964,0.00692193891521539
6,180,962,323,2468.2289739432445,-1018.2323068047082,1267.2686303585915,9.623542244084698,-2943.5208412241236,20.547592101116315,-8244.003782871474,0.03734068331660755,0.9842616970447085,9.119623838891036,0.9599769251636058
7,180,962,2955,3020.1529590834034,-2317.40556937001,1563.9605114627057,7.8796688065867455,-2625.936345024292,16.022990094609582,-7410.715398266465,0.009590455692147655,0.9977281019112615,5.184644694589758,0.7147189994007977
8,180,962,3335,2056.4045939035186,-558.5763720321389,1717.6092084353754,10.301110481686631,-4197.771866208642,9.975770210163633,-5223.027205846307,0.0012005504786078913,0.9964017741609504,3.0371636834782114,0.4824681982125594
9,180,962,45375808,2285.7432534338436,-2574.752846175387,2412.2684652466555,10.991507059833058,-3432.467978794741,12.988326252560707,-5817.576247531305,0.005261106061929435,0.9996475872676835,1.9596367826650367,0.2921755826308598
10,180,3776,441140,853.8988007074955,-233.81686709805237,-2.0917908298516257,2.9644884300711865,-1848.1734693180274,7.814952935661889,-4238.939008990584,0.0009204085958565301,0.9966914894957979,5.189741495207482,0.71514572586369
11,180,6342,243,444.9010016267594,-345.00072484031125,15.090760486125724,6.247372792533752,-2792.9392695604106,4.598944255925729,-2903.4937409601926,0.0020227591746494167,0.9899301252790711,6.106176384483695,0.7857693452789823
12,180,8058,243,1987.683002966381,-2401.1794243750896,2197.505650475424,6.247372792533752,-2792.9392695604106,6.69359975186591,-4241.322839389255,0.005538102410752709,0.9332012666212676,18.401441341474506,1.2648518416037229
13,180,8058,241518,871.6599706720549,-853.6784131500306,1532.0109868772113,10.37232690792076,-3134.1906728673202,12.566139286663454,-4681.654885497493,0.06564815104574172,0.9851696552889636,8.038395559077232,0.9051693734531395
14,244,1140,243,539.3944935198639,-717.825038288638,910.227941931447,4.747557448184178,-1898.3416993520286,8.429543769333552,-3204.99920588314,0.032031409082109136,0.8669321451731877,7.528201339036432,0.8766912256241981
15,263,1140,5483,1717.586867789567,-2110.2773860217862,1632.758176965066,6.735790236395425,-2613.844153621515,-0.8074555707278098,-1813.018675998097,0.0052483164777837365,0.9900303396849474,6.66828232974107,0.8240139792262875
16,263,6342,5483,8.428878836671919,-270.2270614737243,-353.4075104609199,6.735790236395425,-2613.844153621515,2.456485651119891,-1568.791540573653,0.0023861083596320803,0.9965948790102387,2.1604936951977725,0.3345530032809855
17,263,6342,10113978,1835.1467080933585,-363.94480823083177,-371.65105528901046,1.9936151603480554,-3311.678266682716,1.9936151603480554,-3311.678266682716,6.199567017314332e-05,0.964223743418793,12.78549713447148,1.1067176192266666
18,679,962,1983,1771.6667103018365,-830.8718391193448,1795.3600489726493,9.459799499494464,-2979.5913025570608,5.594240657072474,-2883.457448760152,0.09569946354445204,0.9332553092868858,11.668770823037649,1.0670251102966697
19,679,962,10308,4592.927614740989,-5487.919984063917,4811.557881200497,6.779600109767528,-2852.15970833882,4.77226374066925,-4375.6019471339005,0.02046770034796314,0.9060408217247571,10.476089152808509,1.0201991856684323
20,679,962,75106,-36.52580946023244,629.0282192681632,-270.3065629550966,2.3394949280532056,-735.4949684026004,-9.210341017558694,0.00019464537820289827,0.009326512262609166,0.9989149809608738,11.598706805448048,1.0644095703850207
21,679,962,135398737,3727.884787101658,-2099.0211988730634,1070.289829138538,7.068325600787881,-2501.5497020972,-9.210340095465428,-8.903162881021379e-05,0.02431540016111065,0.9839092771104704,13.890233913932635,1.142709559393109
22,679,3776,3366,995.0104186305718,-937.1845648231129,494.9676798964169,2.2499757734099983,-1972.8189160997335,4.724219974398632,-3605.450058455833,0.0002545970199178917,0.9974588877799503,2.9506410633697286,0.4699163820926678
23,679,3776,9576037,1056.252317007376,-575.6600247958868,183.02104296712804,4.317814382712101,-2397.4234568595734,2.9646517920312743,-2836.1416912844766,0.000524143754009151,0.9975520352819993,2.2522710481293426,0.3526206542181491
24,679,6569,536770,1204.8313099192255,-275.4123328032394,68.52657960288266,0.2955436308463081,-412.88376397045255,0.7955462869135201,-1572.7041433092722,0.007153660968487204,0.996507424928021,3.2826633631524467,0.5162263481507791
25,679,7909,536770,1583.248712851636,-665.2679373748554,330.8065297970448,0.3773344301898163,-439.5992152866445,0.8988707803031698,-1871.5771265284395,0.005203281887520133,0.9982387339911925,2.882665821752772,0.45979429893321316
26,679,8452,536770,1296.476035038496,-801.2248752305248,474.6831174526904,0.36626366728381654,-435.98283277988537,0.5199204981364562,-1438.9856847907508,0.0021408604512834317,0.9996633287834109,0.8285317457000656,-0.08169084666741941
27,702,174,204,634.3656173685043,112.18782206740214,645.8543607739055,3.9961322351305233,-3475.5108273707606,2.7768513037419895,-2339.5535225249,0.0005218675268302644,0.9765053746899871,5.475323036170867,0.738409747016785
28,702,679,7579,935.1114949337159,173.44803347953433,2.4466365917881427,8.655906913871126,-4233.109638781255,1.5785084456939855,-748.2551430201863,0.009220508785376851,0.9962839010879552,5.033762242632811,0.7018926988660781
29,702,702,7579,187.97992170531342,-168.99428715629483,-150.81170581892584,8.655906913871126,-4233.109638781255,3.4804511902479924,-1736.723476354476,0.0024061980288362234,0.9966779499872235,6.792726160015876,0.8320441069223632
31,702,713,7579,799.169455955322,225.92245362941583,89.58756672645487,8.655906913871126,-4233.109638781255,2.3068704814785264,-883.067214174779,0.007601826554203867,0.9984950289451157,4.6246663862987205,0.6650804091149791
32,702,962,338,1998.4447295948855,-294.042407941641,-147.61075300856322,4.516592434056282,-1919.2958536284834,6.308648895033661,-4062.4465691887185,0.006471068125032738,0.9914951068770724,8.419038739228137,0.9252625078796094
33,702,962,2378,2343.2315319894383,-1814.1713757240154,964.8246556936327,11.538860610065466,-4368.696867184035,8.737591063702176,-4946.614629809452,0.0010951139988703469,0.9984224608390903,3.6629163495107275,0.5638270007391503
34,702,962,2955,1860.8386793269242,-1634.4417775636464,1495.3350674039973,3.993965898858866,-2265.4985215618435,16.022990094609582,-7410.715398266465,0.0020944212951978327,0.9735770778857881,13.307150640555971,1.1240850732389025
35,702,962,3335,943.3945834055734,-635.5074364504944,484.5889302155762,9.868202925942468,-4365.771127033309,9.975770210163633,-5223.027205846307,0.00017474644697425243,0.9987516464184442,4.305591216986363,0.6340327944994248
36,702,962,4499,2719.459083620516,-2491.913061348094,1927.7226630698217,8.672029487967073,-3453.350457966772,7.416101531601631,-4721.776673041234,0.0007701288458144336,0.999311376689235,3.8299940571128843,0.5831981000873999
37,702,962,6305,268.096988814259,101.50877403970517,113.79835757269966,1.5078704757414645,-2092.374425580263,2.400502513839677,-1951.966465916511,0.00014854877769289728,0.9988062001995281,1.3761738651245925,0.13867330591558366
39,702,962,8285,1330.6950727486612,927.3454585268712,1491.1215725183788,7.975273983326174,-4089.810229500098,6.932038436335311,-2835.7814891331864,0.003262442555788047,0.9928818111733437,8.200862240476496,0.9138595166025694
40,702,962,10308,2871.935750553998,-3452.1701226220584,3387.459002784373,10.138072430920198,-4484.825976959668,4.77226374066925,-4375.6019471339005,0.000977972646363295,0.9867677565001522,6.352283422464682,0.8029298669483953
41,702,962,11741,1509.6457641570898,-1462.7840142610758,1244.037346632608,7.996066138171465,-3447.143814359118,11.90880524654529,-5848.9923113492005,0.0021537670890395526,0.9875656005871208,9.895460311885723,0.9954360012975617
42,702,962,21102,1499.6475872273863,-402.84184276456443,-15.35016533208913,9.936716950548751,-4542.932061869835,8.014802463596316,-5264.5308339091935,0.00011879731090730929,0.9988865168259624,4.484663356844678,0.6517298481043122
43,702,962,27901,1142.034998779011,-433.5370946419122,150.1190523354015,1.9836321189457171,-1759.061701660836,-1.1107479453382927,-1874.5066541629515,0.0003549307835510598,0.9979881755285133,3.136315187823398,0.49641970115973993
44,702,962,114811,1327.3629210938996,-1127.1065444826506,936.5713169346606,9.397960517512868,-3562.754359410605,7.3404683103391974,-4184.441117156969,0.001795716119301636,0.9975831184938401,4.708616910529474,0.6728933580131287
45,702,962,268296,777.6539042973453,-431.34532437001485,344.7320263194545,-1.0363155590711894,-1631.444479457119,7.416101531601631,-4721.776673041234,6.238225711762514e-05,0.9883275771429113,5.996956714734713,0.77793091416716
46,702,962,276224,1093.8801748717844,-671.5562488650603,-418.10455815624834,6.4807259962603725,-3109.423270748302,3.111269184752191,-3205.653444560736,0.002405543943171128,0.9402263111737278,16.318000585854993,1.2126669443856275
47,702,962,522885,507.24809608627413,804.2954629411527,-962.4365518528117,4.136890052677297,-3063.0872805140257,0.6068205320814252,-2723.9685512319716,8.988769107409612e-05,0.993249956069189,10.688671829078709,1.0289237432688132
49,702,962,5281605,1022.0255083225375,1288.1325891145793,-852.7147985452347,3.3208535370807377,-2469.647012674358,-0.7367227498689942,-2415.9483728635996,0.0007646837528553499,0.9705032124197006,17.950805083438418,1.2540839312126113
50,702,962,13927912,733.1412909186087,110.07746081620562,-302.82564509238944,5.60426003485929,-3095.924443912219,1.8251235732367272,-2793.261078523202,0.00019003763786608395,0.998007628315875,3.4732020521302185,0.5407300489522098
51,702,962,45375808,2350.5616020190564,-2144.0102126665524,1156.972831199213,10.465193707161127,-3285.6690343510727,12.988326252560707,-5817.576247531305,0.008734795572772057,0.9988332780104686,4.197981980867112,0.623040570114229
52,702,6342,3282,768.8462637907131,22.474918314713783,-173.21603758252155,11.3467723170017,-4240.468057399253,14.637277782149335,-5340.13513097677,0.0014513364054545587,0.9995155467819844,1.2411993408727937,0.09384153628419985
54,702,6342,10113978,2642.5375858783104,-411.6779371044372,1897.26644649903,4.407200291905597,-4011.3492789567817,5.429245048768109,-4447.209316625337,7.00899484323102e-05,0.9911979058658241,8.806940965457692,0.9448250851973214
55,702,6344,5311110,1864.8001692235869,-2328.45725044462,2371.8334032789903,12.802281706478169,-4690.680045184999,4.465310032712946,-3480.25255675163,0.0033664617086806227,0.9653833662821504,10.130133020382615,1.0056151481874132
56,702,8028,3385,158.55367673713553,-152.88963755636877,-582.5216747125309,2.660741022225982,-2089.4030276239787,7.658503355894066,-4386.182091729108,0.0002949277453503407,0.9967894037229841,7.129872211502845,0.8530817460739546
58,702,31374,7579,640.4792978115988,56.100742565672626,92.82942810295978,8.655906913871126,-4233.109638781255,1.2172345655105716,-693.9984372561916,0.007106377915626461,0.9965879985007192,5.077343847508,0.7056365756596242
59,713,263,589833,258.0048318772736,-21.75824165549053,49.84934466376726,8.551053135899016,-2180.393041119493,11.630244499480726,-3458.084797680278,0.12556671676266415,0.9789965191327294,4.683508580818878,0.6705713202528238
60,713,702,456389,518.0492642843036,-192.24135023835046,37.334589882744595,4.460301083471657,-1680.6880167553538,6.52362584749347,-3035.2769049264593,0.000741094281622578,0.9999621497519409,0.34959410474994734,-0.4564358995392201
61,713,702,589833,-8.729416113563092,18.801444442003863,-16.2412118430914,8.551053135899016,-2180.393041119493,17.23839579009164,-4866.493100123759,0.10384688814232779,0.9884316181368494,6.391924293791068,0.8056316225350506
62,713,962,243,846.4074489139916,-1147.6096102305273,1468.2993655713237,10.223055243897843,-3204.0642780524254,9.224898144331338,-3836.073501155835,0.042870188316398807,0.9845694507244717,6.999384887508425,0.8450598754858637
