group_index,solvent_1,solvent_2,compound_id,J0,J1,J2,alpha1,beta1,alpha2,beta2,rmse,r2,mape,logmape
2,174,962,276224,587.3898971325061,351.46475684160737,-507.4254212366313,4.942607271649262,-3142.3372722709264,2.801136562330088,-3091.1080199850626,0.00013578962513365042,0.9955677219949457,6.814196767738596,0.8334146701636563
3,174,962,620004,747.492040335388,1105.4747125081826,-992.1548872237563,1.0095286012706157,-2352.373785592524,-9.210340783411798,0.00012522151476387276,0.000128698180165795,0.9391665103606243,16.772871935941186,1.224607431070245
4,180,702,243,548.3252637217073,-270.7407418334256,521.8683542042008,6.264149125190134,-2804.8732407022076,7.880282738231429,-3787.3628452664866,0.0054497463556748525,0.9211033451065926,13.008749270679857,1.114235543221573
5,180,702,456389,349.1280625337244,-180.81425148288199,105.27623314207953,6.437689808744633,-2524.1773958085314,6.538519702514252,-3039.8282967766,0.0006405971906086488,0.9998730284312348,0.7182021124981871,-0.14375332178728292
6,180,962,323,2414.711683790496,-770.0290843994399,944.2691621708077,9.606628733227526,-2938.418929415316,20.288410059779356,-8160.153306548365,0.03787934622481393,0.9838043520293528,7.187561819311823,0.8565815930257624
7,180,962,2955,3111.89878274783,-2386.721224024851,1614.2101193741335,7.865406257123749,-2621.7430563299217,16.801719987422494,-7660.301743371352,0.012584578913360445,0.9960881000707292,6.574434682140237,0.8178584149591681
8,180,962,3335,2073.6237725999663,-266.38116591016393,1772.761375103777,10.354148038829141,-4214.818250279882,9.81565420358212,-5169.153891566294,0.0036629523694459254,0.9665042188509515,6.569993740183273,0.8175649557690414
9,180,962,45375808,2276.0786197252132,-2544.7326926200863,2420.770515748183,11.047094037078812,-3449.1384681003074,12.696701827838567,-5724.254296730548,0.004966822674607284,0.9996859095103092,2.055253026886019,0.3128652964874172
10,180,3776,441140,1004.6669644696634,-406.0900062784799,112.93490677670992,2.9515191601328428,-1845.3241873402437,8.217955962498996,-4372.468345739927,0.0016551598079338461,0.9893008063128306,6.422448000558272,0.8077005966811589
11,180,6342,243,486.208689766688,-370.9410808685039,58.00322072740846,6.264149125190134,-2804.8732407022076,4.620529146786331,-2928.8785682672983,0.0021424348098729117,0.9887033170455497,6.36111591247841,0.8035333093779952
12,180,8058,243,1681.481441391136,-2100.5952285188687,1487.6614529252167,6.264149125190134,-2804.8732407022076,6.014270886024476,-4009.1771805019016,0.0029530844040024755,0.9810068069453634,10.73082286699524,1.0306330260566434
13,180,8058,241518,841.0130218735238,-768.560820043231,1409.9883898450685,10.478956156939475,-3158.6985264821856,12.30680188295584,-4596.962276794239,0.053180095250683325,0.9902679469032922,6.274467734294633,0.7975768903342435
14,244,1140,243,468.7906346158488,-618.2472020637423,683.8232581001341,4.854393013273355,-1932.5061031574983,8.387759128672784,-3191.451309487878,0.01637500993694904,0.9652236328551405,4.2277076308827946,0.6261049458339072
15,263,1140,5483,1613.5768559799008,-2033.1600263514194,1284.2948426162563,6.721206536561374,-2605.871032526942,-0.9687867985122867,-1767.361038192785,0.008310043294026702,0.975005359007815,9.25755036979995,0.9664960836992454
