"Solubility, g°§l-1",Saturation,"Temperature (Solubility (MCS)), °„C",Solvent (Solubility (MCS)),Ratio of Solvents,Location,Comment (Solubility (MCS)),Reference
,,,,,Paragraph 0166,soluble in water,"Current Patent Assignee:?SUMITOMO CHEMICAL?- US2023/11898,?2023, A1"
,,,,,,,Full Text
,,,,,,,DetailsAbstract
,,,,,Page/Page column 48,soluble in 4-anisaldehyde,"Current Patent Assignee:?BASF?- WO2023/208447,?2023, A1"
,,,,,,,Full Text
,,,,,,,DetailsAbstract
0.0019,,20,water,,Page/Page column 33,,"Current Patent Assignee:?BASF?- WO2019/11825,?2019, A1"
,,,,,,,Full Text
,,,,,,,DetailsAbstract
,,,,,Paragraph 0075-0078,soluble in isopropanol,"Current Patent Assignee:?SHENZHEN XINYANG WEIKANG TECH?- CN106543066,?2017, A"
,,,,,,,Full Text
,,,,,,,DetailsAbstract
0.00212,in pure solvent,20,water,,Paragraph 0025,,"Current Patent Assignee:?TIANJIN UNIVERSITY?- CN106866533,?2017, A"
,,,,,,,Full Text
,,,,,,,DetailsAbstract
0.019,,19.84,water,,,,"Guimar?es, Bruno De S.;?Bernardes, Arthur A.;?Salcedo, Gabriela M.;?Caldas, Sergiane S.;?Jorge, Marianna B.;?Bianchini, Adalto;?Wolke, Silvana I.;?Primel, Ednei G.[Journal of the Brazilian Chemical Society,?2016, vol. 27, # 12, p. 2256 - 2263]"
,,,,,,,Full Text
,,,,,,,Cited 6 timesDetailsAbstract
0.0019,in pure solvent,20,water,,Page/Page column 16,,"Current Patent Assignee:?VIVE CROP PROTECTION?- WO2013/93578,?2013, A1"
,,,,,,,Full Text
,,,,,,,DetailsAbstract
100.8,in pure solvent,20,methanol,,Page/Page column 16,,"Current Patent Assignee:?VIVE CROP PROTECTION?- WO2013/93578,?2013, A1"
,,,,,,,Full Text
,,,,,,,DetailsAbstract
24.2,in pure solvent,20,octanol,,Page/Page column 16,,"Current Patent Assignee:?VIVE CROP PROTECTION?- WO2013/93578,?2013, A1"
,,,,,,,Full Text
,,,,,,,DetailsAbstract
28,in pure solvent,20,mineral oil,,Page/Page column 16,,"Current Patent Assignee:?VIVE CROP PROTECTION?- WO2013/93578,?2013, A1"
,,,,,,,Full Text
,,,,,,,DetailsAbstract
3.7,in pure solvent,20,n-heptane,,Page/Page column 16,,"Current Patent Assignee:?VIVE CROP PROTECTION?- WO2013/93578,?2013, A1"
,,,,,,,Full Text
,,,,,,,DetailsAbstract
30,in pure solvent,20,isopropyl alcohol,,Page/Page column 16,,"Current Patent Assignee:?VIVE CROP PROTECTION?- WO2013/93578,?2013, A1"
,,,,,,,Full Text
,,,,,,,DetailsAbstract
500,in pure solvent,20,dichloromethane,,Page/Page column 16,,"Current Patent Assignee:?VIVE CROP PROTECTION?- WO2013/93578,?2013, A1"
,,,,,,,Full Text
,,,,,,,DetailsAbstract
500,in pure solvent,20,ethyl acetate,,Page/Page column 16,,"Current Patent Assignee:?VIVE CROP PROTECTION?- WO2013/93578,?2013, A1"
,,,,,,,Full Text
,,,,,,,DetailsAbstract
500,in pure solvent,20,acetone,,Page/Page column 16,,"Current Patent Assignee:?VIVE CROP PROTECTION?- WO2013/93578,?2013, A1"
,,,,,,,Full Text
,,,,,,,DetailsAbstract
500,in pure solvent,20,toluene,,Page/Page column 16,,"Current Patent Assignee:?VIVE CROP PROTECTION?- WO2013/93578,?2013, A1"
,,,,,,,Full Text
,,,,,,,DetailsAbstract
500,in pure solvent,20,acetonitrile,,Page/Page column 16,,"Current Patent Assignee:?VIVE CROP PROTECTION?- WO2013/93578,?2013, A1"
,,,,,,,Full Text
,,,,,,,DetailsAbstract
0.0024,in pure solvent,20,H2O,,,,"van Ravenzwaay, Bennard;?Leibold[Human and Experimental Toxicology,?2004, vol. 23, # 9, p. 421 - 430]"
,,,,,,,Full Text
,,,,,,,Cited 103 timesDetailsAbstract
