"Solubility, g°§l-1",Saturation,"Temperature (Solubility (MCS)), °„C",Solvent (Solubility (MCS)),Ratio of Solvents,Location,Comment (Solubility (MCS)),Reference
,in solution,20.44,acetone,,,Solubility: 0.0582 molpercent,"Fan, Rui-Lan;?Wang, Li-Sheng;?Guo, Ting-Ting;?Wu, Jun-Sheng[Journal of Chemical and Engineering Data,?2007, vol. 52, # 4, p. 1340 - 1342]"
,,,,,,,Full Text
,,,,,,,Cited 6 timesDetailsAbstract
,in solution,25.28,acetone,,,Solubility: 0.0762 molpercent,"Fan, Rui-Lan;?Wang, Li-Sheng;?Guo, Ting-Ting;?Wu, Jun-Sheng[Journal of Chemical and Engineering Data,?2007, vol. 52, # 4, p. 1340 - 1342]"
,,,,,,,Full Text
,,,,,,,Cited 6 timesDetailsAbstract
,in solution,30.19,acetone,,,Solubility: 0.0950 molpercent,"Fan, Rui-Lan;?Wang, Li-Sheng;?Guo, Ting-Ting;?Wu, Jun-Sheng[Journal of Chemical and Engineering Data,?2007, vol. 52, # 4, p. 1340 - 1342]"
,,,,,,,Full Text
,,,,,,,Cited 6 timesDetailsAbstract
,in solution,35.13,acetone,,,Solubility: 0.1244 molpercent,"Fan, Rui-Lan;?Wang, Li-Sheng;?Guo, Ting-Ting;?Wu, Jun-Sheng[Journal of Chemical and Engineering Data,?2007, vol. 52, # 4, p. 1340 - 1342]"
,,,,,,,Full Text
,,,,,,,Cited 6 timesDetailsAbstract
,in solution,40.11,acetone,,,Solubility: 0.1587 molpercent,"Fan, Rui-Lan;?Wang, Li-Sheng;?Guo, Ting-Ting;?Wu, Jun-Sheng[Journal of Chemical and Engineering Data,?2007, vol. 52, # 4, p. 1340 - 1342]"
,,,,,,,Full Text
,,,,,,,Cited 6 timesDetailsAbstract
,in solution,45.24,acetone,,,Solubility: 0.1936 molpercent,"Fan, Rui-Lan;?Wang, Li-Sheng;?Guo, Ting-Ting;?Wu, Jun-Sheng[Journal of Chemical and Engineering Data,?2007, vol. 52, # 4, p. 1340 - 1342]"
,,,,,,,Full Text
,,,,,,,Cited 6 timesDetailsAbstract
,in solution,50.14,acetone,,,Solubility: 0.2344 molpercent,"Fan, Rui-Lan;?Wang, Li-Sheng;?Guo, Ting-Ting;?Wu, Jun-Sheng[Journal of Chemical and Engineering Data,?2007, vol. 52, # 4, p. 1340 - 1342]"
,,,,,,,Full Text
,,,,,,,Cited 6 timesDetailsAbstract
,in solution,20,acetic acid,,,Solubility: 0.6914 molpercent,"Fan, Rui-Lan;?Wang, Li-Sheng;?Guo, Ting-Ting;?Wu, Jun-Sheng[Journal of Chemical and Engineering Data,?2007, vol. 52, # 4, p. 1340 - 1342]"
,,,,,,,Full Text
,,,,,,,Cited 6 timesDetailsAbstract
,in solution,24.99,acetic acid,,,Solubility: 0.7803 molpercent,"Fan, Rui-Lan;?Wang, Li-Sheng;?Guo, Ting-Ting;?Wu, Jun-Sheng[Journal of Chemical and Engineering Data,?2007, vol. 52, # 4, p. 1340 - 1342]"
,,,,,,,Full Text
,,,,,,,Cited 6 timesDetailsAbstract
,in solution,29.98,acetic acid,,,Solubility: 0.9072 molpercent,"Fan, Rui-Lan;?Wang, Li-Sheng;?Guo, Ting-Ting;?Wu, Jun-Sheng[Journal of Chemical and Engineering Data,?2007, vol. 52, # 4, p. 1340 - 1342]"
,,,,,,,Full Text
,,,,,,,Cited 6 timesDetailsAbstract
,in solution,34.8,acetic acid,,,Solubility: 1.0440 molpercent,"Fan, Rui-Lan;?Wang, Li-Sheng;?Guo, Ting-Ting;?Wu, Jun-Sheng[Journal of Chemical and Engineering Data,?2007, vol. 52, # 4, p. 1340 - 1342]"
,,,,,,,Full Text
,,,,,,,Cited 6 timesDetailsAbstract
,in solution,39.81,acetic acid,,,Solubility: 1.1440 molpercent,"Fan, Rui-Lan;?Wang, Li-Sheng;?Guo, Ting-Ting;?Wu, Jun-Sheng[Journal of Chemical and Engineering Data,?2007, vol. 52, # 4, p. 1340 - 1342]"
,,,,,,,Full Text
,,,,,,,Cited 6 timesDetailsAbstract
,in solution,44.89,acetic acid,,,Solubility: 1.3140 molpercent,"Fan, Rui-Lan;?Wang, Li-Sheng;?Guo, Ting-Ting;?Wu, Jun-Sheng[Journal of Chemical and Engineering Data,?2007, vol. 52, # 4, p. 1340 - 1342]"
,,,,,,,Full Text
,,,,,,,Cited 6 timesDetailsAbstract
,in solution,49.99,acetic acid,,,Solubility: 1.5010 molpercent,"Fan, Rui-Lan;?Wang, Li-Sheng;?Guo, Ting-Ting;?Wu, Jun-Sheng[Journal of Chemical and Engineering Data,?2007, vol. 52, # 4, p. 1340 - 1342]"
,,,,,,,Full Text
,,,,,,,Cited 6 timesDetailsAbstract
,in solution,54.89,acetic acid,,,Solubility: 1.7320 molpercent,"Fan, Rui-Lan;?Wang, Li-Sheng;?Guo, Ting-Ting;?Wu, Jun-Sheng[Journal of Chemical and Engineering Data,?2007, vol. 52, # 4, p. 1340 - 1342]"
,,,,,,,Full Text
