"Solubility, g°§l-1",Saturation,"Temperature (Solubility (MCS)), °„C",Solvent (Solubility (MCS)),Ratio of Solvents,Location,Comment (Solubility (MCS)),Reference
0.006,in pure solvent,20,water,,Page/Page column 16,,"Current Patent Assignee:?VIVE CROP PROTECTION?- WO2013/93578,?2013, A1"
,,,,,,,Full Text
,,,,,,,DetailsAbstract
0.057,in pure solvent,20,hexane,,Page/Page column 16,,"Current Patent Assignee:?VIVE CROP PROTECTION?- WO2013/93578,?2013, A1"
,,,,,,,Full Text
,,,,,,,DetailsAbstract
1.4,in pure solvent,20,octanol,,Page/Page column 16,,"Current Patent Assignee:?VIVE CROP PROTECTION?- WO2013/93578,?2013, A1"
,,,,,,,Full Text
,,,,,,,DetailsAbstract
130,in pure solvent,20,ethyl acetate,,Page/Page column 16,,"Current Patent Assignee:?VIVE CROP PROTECTION?- WO2013/93578,?2013, A1"
,,,,,,,Full Text
,,,,,,,DetailsAbstract
20,in pure solvent,20,methanol,,Page/Page column 16,,"Current Patent Assignee:?VIVE CROP PROTECTION?- WO2013/93578,?2013, A1"
,,,,,,,Full Text
,,,,,,,DetailsAbstract
340,in pure solvent,20,acetonitrile,,Page/Page column 16,,"Current Patent Assignee:?VIVE CROP PROTECTION?- WO2013/93578,?2013, A1"
,,,,,,,Full Text
,,,,,,,DetailsAbstract
400,in pure solvent,20,dichloromethane,,Page/Page column 16,,"Current Patent Assignee:?VIVE CROP PROTECTION?- WO2013/93578,?2013, A1"
,,,,,,,Full Text
,,,,,,,DetailsAbstract
55,in pure solvent,20,toluene,,Page/Page column 16,,"Current Patent Assignee:?VIVE CROP PROTECTION?- WO2013/93578,?2013, A1"
,,,,,,,Full Text
,,,,,,,DetailsAbstract
86,in pure solvent,20,acetone,,Page/Page column 16,,"Current Patent Assignee:?VIVE CROP PROTECTION?- WO2013/93578,?2013, A1"
,,,,,,,Full Text
,,,,,,,DetailsAbstract
