"Solubility, g°§l-1",Saturation,"Temperature (Solubility (MCS)), °„C",Solvent (Solubility (MCS)),Ratio of Solvents,Location,Comment (Solubility (MCS)),Reference
,,17.91,toluene,,,Solubility: 1.62 molpercent,"Qian, Chao;?Wang, Yayun;?Chen, Xinzhi[Journal of Chemical and Engineering Data,?2014, vol. 59, # 4, p. 1254 - 1256]"
,,,,,,,Full Text
,,,,,,,Cited 6 timesDetailsAbstract
,,30.99,toluene,,,Solubility: 10.49 molpercent,"Qian, Chao;?Wang, Yayun;?Chen, Xinzhi[Journal of Chemical and Engineering Data,?2014, vol. 59, # 4, p. 1254 - 1256]"
,,,,,,,Full Text
,,,,,,,Cited 6 timesDetailsAbstract
,,33.71,toluene,,,Solubility: 12.48 molpercent,"Qian, Chao;?Wang, Yayun;?Chen, Xinzhi[Journal of Chemical and Engineering Data,?2014, vol. 59, # 4, p. 1254 - 1256]"
,,,,,,,Full Text
,,,,,,,Cited 6 timesDetailsAbstract
,,41.38,toluene,,,Solubility: 12.83 molpercent,"Qian, Chao;?Wang, Yayun;?Chen, Xinzhi[Journal of Chemical and Engineering Data,?2014, vol. 59, # 4, p. 1254 - 1256]"
,,,,,,,Full Text
,,,,,,,Cited 6 timesDetailsAbstract
,,20.12,ethyl acetate,,,Solubility: 18.86 molpercent,"Qian, Chao;?Wang, Yayun;?Chen, Xinzhi[Journal of Chemical and Engineering Data,?2014, vol. 59, # 4, p. 1254 - 1256]"
,,,,,,,Full Text
,,,,,,,Cited 6 timesDetailsAbstract
,,47.77,toluene,,,Solubility: 21.63 molpercent,"Qian, Chao;?Wang, Yayun;?Chen, Xinzhi[Journal of Chemical and Engineering Data,?2014, vol. 59, # 4, p. 1254 - 1256]"
,,,,,,,Full Text
,,,,,,,Cited 6 timesDetailsAbstract
,,17.37,acetone,,,Solubility: 22.59 molpercent,"Qian, Chao;?Wang, Yayun;?Chen, Xinzhi[Journal of Chemical and Engineering Data,?2014, vol. 59, # 4, p. 1254 - 1256]"
,,,,,,,Full Text
,,,,,,,Cited 6 timesDetailsAbstract
,,15.24,chloroform,,,Solubility: 22.93 molpercent,"Qian, Chao;?Wang, Yayun;?Chen, Xinzhi[Journal of Chemical and Engineering Data,?2014, vol. 59, # 4, p. 1254 - 1256]"
,,,,,,,Full Text
,,,,,,,Cited 6 timesDetailsAbstract
,,26.51,ethyl acetate,,,Solubility: 22.99 molpercent,"Qian, Chao;?Wang, Yayun;?Chen, Xinzhi[Journal of Chemical and Engineering Data,?2014, vol. 59, # 4, p. 1254 - 1256]"
,,,,,,,Full Text
,,,,,,,Cited 6 timesDetailsAbstract
,,43.21,toluene,,,Solubility: 23.01 molpercent,"Qian, Chao;?Wang, Yayun;?Chen, Xinzhi[Journal of Chemical and Engineering Data,?2014, vol. 59, # 4, p. 1254 - 1256]"
,,,,,,,Full Text
,,,,,,,Cited 6 timesDetailsAbstract
