"Solubility, g°§l-1",Saturation,"Temperature (Solubility (MCS)), °„C",Solvent (Solubility (MCS)),Ratio of Solvents,Location,Comment (Solubility (MCS)),Reference
,in solution,10.11,ethanol,,,Solubility: 5.173 molpercent,"Shi, Lanxiang;?Zhang, Baohua;?Song, Shuqin;?Zhu, Yunyun[Journal of Chemical and Engineering Data,?2007, vol. 52, # 5, p. 1856 - 1857]"
,,,,,,,Full Text
,,,,,,,Cited 7 timesDetailsAbstract
,in solution,15.01,ethanol,,,Solubility: 6.205 molpercent,"Shi, Lanxiang;?Zhang, Baohua;?Song, Shuqin;?Zhu, Yunyun[Journal of Chemical and Engineering Data,?2007, vol. 52, # 5, p. 1856 - 1857]"
,,,,,,,Full Text
,,,,,,,Cited 7 timesDetailsAbstract
,in solution,20.3,ethanol,,,Solubility: 7.504 molpercent,"Shi, Lanxiang;?Zhang, Baohua;?Song, Shuqin;?Zhu, Yunyun[Journal of Chemical and Engineering Data,?2007, vol. 52, # 5, p. 1856 - 1857]"
,,,,,,,Full Text
,,,,,,,Cited 7 timesDetailsAbstract
,in solution,25.06,ethanol,,,Solubility: 8.914 molpercent,"Shi, Lanxiang;?Zhang, Baohua;?Song, Shuqin;?Zhu, Yunyun[Journal of Chemical and Engineering Data,?2007, vol. 52, # 5, p. 1856 - 1857]"
,,,,,,,Full Text
,,,,,,,Cited 7 timesDetailsAbstract
,in solution,30.15,ethanol,,,Solubility: 10.76 molpercent,"Shi, Lanxiang;?Zhang, Baohua;?Song, Shuqin;?Zhu, Yunyun[Journal of Chemical and Engineering Data,?2007, vol. 52, # 5, p. 1856 - 1857]"
,,,,,,,Full Text
,,,,,,,Cited 7 timesDetailsAbstract
,in solution,35.01,ethanol,,,Solubility: 12.91 molpercent,"Shi, Lanxiang;?Zhang, Baohua;?Song, Shuqin;?Zhu, Yunyun[Journal of Chemical and Engineering Data,?2007, vol. 52, # 5, p. 1856 - 1857]"
,,,,,,,Full Text
,,,,,,,Cited 7 timesDetailsAbstract
