"Solubility, g°§l-1",Saturation,"Temperature (Solubility (MCS)), °„C",Solvent (Solubility (MCS)),Ratio of Solvents,Location,Comment (Solubility (MCS)),Reference
2.282,in pure solvent,45,H2O,,,,"Walker;?Wood[Journal of the Chemical Society,?1898, vol. 73, p. 626]"
,,,,,,,Full Text
,,,,,,,Details
4.2,in pure solvent,23,acetone,,,,"Walker;?Wood[Journal of the Chemical Society,?1898, vol. 73, p. 626]"
,,,,,,,Full Text
,,,,,,,Details
0.147,in pure solvent,22.5,diethyl ether,,,,"Walker;?Wood[Journal of the Chemical Society,?1898, vol. 73, p. 626]"
,,,,,,,Full Text
,,,,,,,Details
0.141,in pure solvent,44.2,benzene,,,,"Walker;?Wood[Journal of the Chemical Society,?1898, vol. 73, p. 626]"
,,,,,,,Full Text
,,,,,,,Details
