"Solubility, g°§l-1",Saturation,"Temperature (Solubility (MCS)), °„C",Solvent (Solubility (MCS)),Ratio of Solvents,Location,Comment (Solubility (MCS)),Reference
,,,,,,slightly soluble in water,"Lv, Yanfang;?Liang, Qianqian;?Li, Ying;?Zhang, Defu;?Yi, Shumin;?Li, Xuepeng;?Li, Jianrong[International Journal of Biological Macromolecules,?2022, vol. 217, p. 701 - 713]"
,,,,,,,Full Text
,,,,,,,Cited 9 timesDetailsAbstract
,,,,,,barely soluble in water,"Wang, Shang-Ta;?Chen, Jou-An;?Hsu, Chen;?Su, Nan-Wei[Journal of Agricultural and Food Chemistry,?2021, vol. 69, # 35, p. 10184 - 10193]"
,,,,,,,Full Text
,,,,,,,Cited 4 timesDetailsAbstract
,,,,,,poor hydrosolubility,"Fuior, Elena Valeria;?Deleanu, Mariana;?Ana Constantinescu, Cristina;?Rebleanu, Daniela;?Voicu, Geanina;?Simionescu, Maya;?Calin, Manuela[Pharmaceutics,?2019, vol. 11, # 8, art. no. 391]"
,,,,,,,Full Text
,,,,,,,Cited 22 timesDetailsAbstract
0.02378,in solution,37,aq. phosphate buffer,,,,"Chadha, Kunal;?Karan, Maninder;?Bhalla, Yashika;?Chadha, Renu;?Khullar, Sadhika;?Mandal, Sanjay;?Vasisht, Karan[Crystal Growth and Design,?2017, vol. 17, # 5, p. 2386 - 2405]"
,,,,,,,Full Text
,,,,,,,Cited 76 timesDetailsAbstract
0.241827,in pure solvent,,water,,,,"Thitilertdecha, Premrutai;?Guy, Richard H.;?Rowan, Michael G.[Journal of Ethnopharmacology,?2014, vol. 154, # 2, p. 400 - 407]"
,,,,,,,Full Text
,,,,,,,Cited 39 timesDetailsAbstract
25.6941,in pure solvent,15.04,methanol,,,,"Liu, Longxiao;?Chen, Jun[Journal of Chemical and Engineering Data,?2008, vol. 53, # 7, p. 1649 - 1650]"
,,,,,,,Full Text
,,,,,,,Cited 35 timesDetailsAbstract
27.8101,in pure solvent,20.04,methanol,,,,"Liu, Longxiao;?Chen, Jun[Journal of Chemical and Engineering Data,?2008, vol. 53, # 7, p. 1649 - 1650]"
,,,,,,,Full Text
,,,,,,,Cited 35 timesDetailsAbstract
32.0421,in pure solvent,25.04,methanol,,,,"Liu, Longxiao;?Chen, Jun[Journal of Chemical and Engineering Data,?2008, vol. 53, # 7, p. 1649 - 1650]"
,,,,,,,Full Text
,,,,,,,Cited 35 timesDetailsAbstract
33.5535,in pure solvent,30.04,methanol,,,,"Liu, Longxiao;?Chen, Jun[Journal of Chemical and Engineering Data,?2008, vol. 53, # 7, p. 1649 - 1650]"
,,,,,,,Full Text
,,,,,,,Cited 35 timesDetailsAbstract
38.3901,in pure solvent,35.04,methanol,,,,"Liu, Longxiao;?Chen, Jun[Journal of Chemical and Engineering Data,?2008, vol. 53, # 7, p. 1649 - 1650]"
,,,,,,,Full Text
,,,,,,,Cited 35 timesDetailsAbstract
42.9243,in pure solvent,40.04,methanol,,,,"Liu, Longxiao;?Chen, Jun[Journal of Chemical and Engineering Data,?2008, vol. 53, # 7, p. 1649 - 1650]"
,,,,,,,Full Text
,,,,,,,Cited 35 timesDetailsAbstract
48.97,in pure solvent,45.04,methanol,,,,"Liu, Longxiao;?Chen, Jun[Journal of Chemical and Engineering Data,?2008, vol. 53, # 7, p. 1649 - 1650]"
,,,,,,,Full Text
,,,,,,,Cited 35 timesDetailsAbstract
56.5271,in pure solvent,50.04,methanol,,,,"Liu, Longxiao;?Chen, Jun[Journal of Chemical and Engineering Data,?2008, vol. 53, # 7, p. 1649 - 1650]"
,,,,,,,Full Text
,,,,,,,Cited 35 timesDetailsAbstract
20.8576,in pure solvent,15.04,ethanol,,,,"Liu, Longxiao;?Chen, Jun[Journal of Chemical and Engineering Data,?2008, vol. 53, # 7, p. 1649 - 1650]"
,,,,,,,Full Text
,,,,,,,Cited 35 timesDetailsAbstract
22.0667,in pure solvent,20.04,ethanol,,,,"Liu, Longxiao;?Chen, Jun[Journal of Chemical and Engineering Data,?2008, vol. 53, # 7, p. 1649 - 1650]"
,,,,,,,Full Text
,,,,,,,Cited 35 timesDetailsAbstract
26.2987,in pure solvent,25.04,ethanol,,,,"Liu, Longxiao;?Chen, Jun[Journal of Chemical and Engineering Data,?2008, vol. 53, # 7, p. 1649 - 1650]"
,,,,,,,Full Text
,,,,,,,Cited 35 timesDetailsAbstract
28.1124,in pure solvent,30.04,ethanol,,,,"Liu, Longxiao;?Chen, Jun[Journal of Chemical and Engineering Data,?2008, vol. 53, # 7, p. 1649 - 1650]"
,,,,,,,Full Text
,,,,,,,Cited 35 timesDetailsAbstract
32.3444,in pure solvent,35.04,ethanol,,,,"Liu, Longxiao;?Chen, Jun[Journal of Chemical and Engineering Data,?2008, vol. 53, # 7, p. 1649 - 1650]"
,,,,,,,Full Text
,,,,,,,Cited 35 timesDetailsAbstract
35.0649,in pure solvent,40.04,ethanol,,,,"Liu, Longxiao;?Chen, Jun[Journal of Chemical and Engineering Data,?2008, vol. 53, # 7, p. 1649 - 1650]"
,,,,,,,Full Text
,,,,,,,Cited 35 timesDetailsAbstract
39.5992,in pure solvent,45.04,ethanol,,,,"Liu, Longxiao;?Chen, Jun[Journal of Chemical and Engineering Data,?2008, vol. 53, # 7, p. 1649 - 1650]"
,,,,,,,Full Text
,,,,,,,Cited 35 timesDetailsAbstract
39.9015,in pure solvent,50.04,ethanol,,,,"Liu, Longxiao;?Chen, Jun[Journal of Chemical and Engineering Data,?2008, vol. 53, # 7, p. 1649 - 1650]"
,,,,,,,Full Text
,,,,,,,Cited 35 timesDetailsAbstract
90.9875,in pure solvent,15.04,butan-1-ol,,,,"Liu, Longxiao;?Chen, Jun[Journal of Chemical and Engineering Data,?2008, vol. 53, # 7, p. 1649 - 1650]"
,,,,,,,Full Text
,,,,,,,Cited 35 timesDetailsAbstract
96.7309,in pure solvent,20.04,butan-1-ol,,,,"Liu, Longxiao;?Chen, Jun[Journal of Chemical and Engineering Data,?2008, vol. 53, # 7, p. 1649 - 1650]"
,,,,,,,Full Text
,,,,,,,Cited 35 timesDetailsAbstract
111.845,in pure solvent,25.04,butan-1-ol,,,,"Liu, Longxiao;?Chen, Jun[Journal of Chemical and Engineering Data,?2008, vol. 53, # 7, p. 1649 - 1650]"
,,,,,,,Full Text
,,,,,,,Cited 35 timesDetailsAbstract
126.657,in pure solvent,30.04,butan-1-ol,,,,"Liu, Longxiao;?Chen, Jun[Journal of Chemical and Engineering Data,?2008, vol. 53, # 7, p. 1649 - 1650]"
,,,,,,,Full Text
,,,,,,,Cited 35 timesDetailsAbstract
141.469,in pure solvent,35.04,butan-1-ol,,,,"Liu, Longxiao;?Chen, Jun[Journal of Chemical and Engineering Data,?2008, vol. 53, # 7, p. 1649 - 1650]"
,,,,,,,Full Text
,,,,,,,Cited 35 timesDetailsAbstract
162.931,in pure solvent,40.04,butan-1-ol,,,,"Liu, Longxiao;?Chen, Jun[Journal of Chemical and Engineering Data,?2008, vol. 53, # 7, p. 1649 - 1650]"
,,,,,,,Full Text
,,,,,,,Cited 35 timesDetailsAbstract
193.764,in pure solvent,45.04,butan-1-ol,,,,"Liu, Longxiao;?Chen, Jun[Journal of Chemical and Engineering Data,?2008, vol. 53, # 7, p. 1649 - 1650]"
,,,,,,,Full Text
,,,,,,,Cited 35 timesDetailsAbstract
217.342,in pure solvent,50.04,butan-1-ol,,,,"Liu, Longxiao;?Chen, Jun[Journal of Chemical and Engineering Data,?2008, vol. 53, # 7, p. 1649 - 1650]"
,,,,,,,Full Text
,,,,,,,Cited 35 timesDetailsAbstract
86.1509,in pure solvent,15.04,acetone,,,,"Liu, Longxiao;?Chen, Jun[Journal of Chemical and Engineering Data,?2008, vol. 53, # 7, p. 1649 - 1650]"
,,,,,,,Full Text
,,,,,,,Cited 35 timesDetailsAbstract
94.3126,in pure solvent,20.04,acetone,,,,"Liu, Longxiao;?Chen, Jun[Journal of Chemical and Engineering Data,?2008, vol. 53, # 7, p. 1649 - 1650]"
,,,,,,,Full Text
,,,,,,,Cited 35 timesDetailsAbstract
102.777,in pure solvent,25.04,acetone,,,,"Liu, Longxiao;?Chen, Jun[Journal of Chemical and Engineering Data,?2008, vol. 53, # 7, p. 1649 - 1650]"
,,,,,,,Full Text
,,,,,,,Cited 35 timesDetailsAbstract
110.636,in pure solvent,30.04,acetone,,,,"Liu, Longxiao;?Chen, Jun[Journal of Chemical and Engineering Data,?2008, vol. 53, # 7, p. 1649 - 1650]"
,,,,,,,Full Text
