"Solubility, g°§l-1",Saturation,"Temperature (Solubility (MCS)), °„C",Solvent (Solubility (MCS)),Ratio of Solvents,Location,Comment (Solubility (MCS)),Reference
,in solution,14.99,acetic acid butyl ester,,,Solubility: 154.8 mol/1000mol,"Wei, Dongwei;?Chen, Limei;?Liu, Cheng;?Zhang, Chao[Journal of Chemical and Engineering Data,?2009, vol. 54, # 3, p. 1163 - 1164]"
,,,,,,,Full Text
,,,,,,,Cited 2 timesDetailsAbstract
,in solution,19.99,acetic acid butyl ester,,,Solubility: 193.7 mol/1000mol,"Wei, Dongwei;?Chen, Limei;?Liu, Cheng;?Zhang, Chao[Journal of Chemical and Engineering Data,?2009, vol. 54, # 3, p. 1163 - 1164]"
,,,,,,,Full Text
,,,,,,,Cited 2 timesDetailsAbstract
,in solution,24.99,acetic acid butyl ester,,,Solubility: 243.6 mol/1000mol,"Wei, Dongwei;?Chen, Limei;?Liu, Cheng;?Zhang, Chao[Journal of Chemical and Engineering Data,?2009, vol. 54, # 3, p. 1163 - 1164]"
,,,,,,,Full Text
,,,,,,,Cited 2 timesDetailsAbstract
,in solution,29.99,acetic acid butyl ester,,,Solubility: 304.8 mol/1000mol,"Wei, Dongwei;?Chen, Limei;?Liu, Cheng;?Zhang, Chao[Journal of Chemical and Engineering Data,?2009, vol. 54, # 3, p. 1163 - 1164]"
,,,,,,,Full Text
,,,,,,,Cited 2 timesDetailsAbstract
,in solution,34.99,acetic acid butyl ester,,,Solubility: 379.8 mol/1000mol,"Wei, Dongwei;?Chen, Limei;?Liu, Cheng;?Zhang, Chao[Journal of Chemical and Engineering Data,?2009, vol. 54, # 3, p. 1163 - 1164]"
,,,,,,,Full Text
,,,,,,,Cited 2 timesDetailsAbstract
,in solution,39.99,acetic acid butyl ester,,,Solubility: 467.7 mol/1000mol,"Wei, Dongwei;?Chen, Limei;?Liu, Cheng;?Zhang, Chao[Journal of Chemical and Engineering Data,?2009, vol. 54, # 3, p. 1163 - 1164]"
,,,,,,,Full Text
,,,,,,,Cited 2 timesDetailsAbstract
,in solution,44.99,acetic acid butyl ester,,,Solubility: 564.8 mol/1000mol,"Wei, Dongwei;?Chen, Limei;?Liu, Cheng;?Zhang, Chao[Journal of Chemical and Engineering Data,?2009, vol. 54, # 3, p. 1163 - 1164]"
,,,,,,,Full Text
,,,,,,,Cited 2 timesDetailsAbstract
,in solution,49.99,acetic acid butyl ester,,,Solubility: 668.4 mol/1000mol,"Wei, Dongwei;?Chen, Limei;?Liu, Cheng;?Zhang, Chao[Journal of Chemical and Engineering Data,?2009, vol. 54, # 3, p. 1163 - 1164]"
,,,,,,,Full Text
,,,,,,,Cited 2 timesDetailsAbstract
,in solution,14.99,"acetic acid butyl ester, acetone",butyl acetate (0.8 g); acetone (0.2 g),,Solubility: 208.8 mol/1000mol,"Wei, Dongwei;?Chen, Limei;?Liu, Cheng;?Zhang, Chao[Journal of Chemical and Engineering Data,?2009, vol. 54, # 3, p. 1163 - 1164]"
,,,,,,,Full Text
,,,,,,,Cited 2 timesDetailsAbstract
,in solution,19.99,"acetic acid butyl ester, acetone",butyl acetate (0.8 g); acetone (0.2 g),,Solubility: 250.1 mol/1000mol,"Wei, Dongwei;?Chen, Limei;?Liu, Cheng;?Zhang, Chao[Journal of Chemical and Engineering Data,?2009, vol. 54, # 3, p. 1163 - 1164]"
,,,,,,,Full Text
,,,,,,,Cited 2 timesDetailsAbstract
,in solution,24.99,"acetic acid butyl ester, acetone",butyl acetate (0.8 g); acetone (0.2 g),,Solubility: 299.3 mol/1000mol,"Wei, Dongwei;?Chen, Limei;?Liu, Cheng;?Zhang, Chao[Journal of Chemical and Engineering Data,?2009, vol. 54, # 3, p. 1163 - 1164]"
,,,,,,,Full Text
,,,,,,,Cited 2 timesDetailsAbstract
,in solution,29.99,"acetic acid butyl ester, acetone",butyl acetate (0.8 g); acetone (0.2 g),,Solubility: 357.5 mol/1000mol,"Wei, Dongwei;?Chen, Limei;?Liu, Cheng;?Zhang, Chao[Journal of Chemical and Engineering Data,?2009, vol. 54, # 3, p. 1163 - 1164]"
,,,,,,,Full Text
,,,,,,,Cited 2 timesDetailsAbstract
,in solution,34.99,"acetic acid butyl ester, acetone",butyl acetate (0.8 g); acetone (0.2 g),,Solubility: 426.5 mol/1000mol,"Wei, Dongwei;?Chen, Limei;?Liu, Cheng;?Zhang, Chao[Journal of Chemical and Engineering Data,?2009, vol. 54, # 3, p. 1163 - 1164]"
,,,,,,,Full Text
,,,,,,,Cited 2 timesDetailsAbstract
,in solution,39.99,"acetic acid butyl ester, acetone",butyl acetate (0.8 g); acetone (0.2 g),,Solubility: 504.6 mol/1000mol,"Wei, Dongwei;?Chen, Limei;?Liu, Cheng;?Zhang, Chao[Journal of Chemical and Engineering Data,?2009, vol. 54, # 3, p. 1163 - 1164]"
,,,,,,,Full Text
,,,,,,,Cited 2 timesDetailsAbstract
,in solution,44.99,"acetic acid butyl ester, acetone",butyl acetate (0.8 g); acetone (0.2 g),,Solubility: 593 mol/1000mol,"Wei, Dongwei;?Chen, Limei;?Liu, Cheng;?Zhang, Chao[Journal of Chemical and Engineering Data,?2009, vol. 54, # 3, p. 1163 - 1164]"
,,,,,,,Full Text
,,,,,,,Cited 2 timesDetailsAbstract
,in solution,49.99,"acetic acid butyl ester, acetone",butyl acetate (0.8 g); acetone (0.2 g),,Solubility: 689.8 mol/1000mol,"Wei, Dongwei;?Chen, Limei;?Liu, Cheng;?Zhang, Chao[Journal of Chemical and Engineering Data,?2009, vol. 54, # 3, p. 1163 - 1164]"
,,,,,,,Full Text
,,,,,,,Cited 2 timesDetailsAbstract
,in solution,14.99,"acetic acid butyl ester, acetone",butyl acetate (0.6 g); acetone (0.4 g),,Solubility: 281.1 mol/1000mol,"Wei, Dongwei;?Chen, Limei;?Liu, Cheng;?Zhang, Chao[Journal of Chemical and Engineering Data,?2009, vol. 54, # 3, p. 1163 - 1164]"
,,,,,,,Full Text
,,,,,,,Cited 2 timesDetailsAbstract
,in solution,19.99,"acetic acid butyl ester, acetone",butyl acetate (0.6 g); acetone (0.4 g),,Solubility: 328.2 mol/1000mol,"Wei, Dongwei;?Chen, Limei;?Liu, Cheng;?Zhang, Chao[Journal of Chemical and Engineering Data,?2009, vol. 54, # 3, p. 1163 - 1164]"
,,,,,,,Full Text
,,,,,,,Cited 2 timesDetailsAbstract
,in solution,24.99,"acetic acid butyl ester, acetone",butyl acetate (0.6 g); acetone (0.4 g),,Solubility: 383.8 mol/1000mol,"Wei, Dongwei;?Chen, Limei;?Liu, Cheng;?Zhang, Chao[Journal of Chemical and Engineering Data,?2009, vol. 54, # 3, p. 1163 - 1164]"
,,,,,,,Full Text
,,,,,,,Cited 2 timesDetailsAbstract
,in solution,29.99,"acetic acid butyl ester, acetone",butyl acetate (0.6 g); acetone (0.4 g),,Solubility: 446.7 mol/1000mol,"Wei, Dongwei;?Chen, Limei;?Liu, Cheng;?Zhang, Chao[Journal of Chemical and Engineering Data,?2009, vol. 54, # 3, p. 1163 - 1164]"
,,,,,,,Full Text
,,,,,,,Cited 2 timesDetailsAbstract
,in solution,34.99,"acetic acid butyl ester, acetone",butyl acetate (0.6 g); acetone (0.4 g),,Solubility: 517.3 mol/1000mol,"Wei, Dongwei;?Chen, Limei;?Liu, Cheng;?Zhang, Chao[Journal of Chemical and Engineering Data,?2009, vol. 54, # 3, p. 1163 - 1164]"
,,,,,,,Full Text
,,,,,,,Cited 2 timesDetailsAbstract
