"Solubility, g°§l-1",Saturation,"Temperature (Solubility (MCS)), °„C",Solvent (Solubility (MCS)),Ratio of Solvents,Location,Comment (Solubility (MCS)),Reference
1.67,in pure solvent,25,ethanol,,,,"Li, Weiwei;?Xu, Dongmei;?Zhang, Zhilan;?Xu, Ying[Chinese Journal of Chemistry,?2012, vol. 30, # 8, p. 1819 - 1825]"
,,,,,,,Full Text
,,,,,,,Cited 2 timesDetailsAbstract
100,in pure solvent,25,1-methyl-pyrrolidin-2-one,,,,"Li, Weiwei;?Xu, Dongmei;?Zhang, Zhilan;?Xu, Ying[Chinese Journal of Chemistry,?2012, vol. 30, # 8, p. 1819 - 1825]"
,,,,,,,Full Text
,,,,,,,Cited 2 timesDetailsAbstract
100,in pure solvent,25,chloroform,,,,"Li, Weiwei;?Xu, Dongmei;?Zhang, Zhilan;?Xu, Ying[Chinese Journal of Chemistry,?2012, vol. 30, # 8, p. 1819 - 1825]"
,,,,,,,Full Text
,,,,,,,Cited 2 timesDetailsAbstract
100,in pure solvent,25,"N,N-dimethyl-formamide",,,,"Li, Weiwei;?Xu, Dongmei;?Zhang, Zhilan;?Xu, Ying[Chinese Journal of Chemistry,?2012, vol. 30, # 8, p. 1819 - 1825]"
,,,,,,,Full Text
,,,,,,,Cited 2 timesDetailsAbstract
2.08,in pure solvent,25,Petroleum ether,,,,"Li, Weiwei;?Xu, Dongmei;?Zhang, Zhilan;?Xu, Ying[Chinese Journal of Chemistry,?2012, vol. 30, # 8, p. 1819 - 1825]"
,,,,,,,Full Text
,,,,,,,Cited 2 timesDetailsAbstract
200,in pure solvent,25,dichloromethane,,,,"Li, Weiwei;?Xu, Dongmei;?Zhang, Zhilan;?Xu, Ying[Chinese Journal of Chemistry,?2012, vol. 30, # 8, p. 1819 - 1825]"
,,,,,,,Full Text
,,,,,,,Cited 2 timesDetailsAbstract
250,in pure solvent,25,tetrahydrofuran,,,,"Li, Weiwei;?Xu, Dongmei;?Zhang, Zhilan;?Xu, Ying[Chinese Journal of Chemistry,?2012, vol. 30, # 8, p. 1819 - 1825]"
,,,,,,,Full Text
,,,,,,,Cited 2 timesDetailsAbstract
33.33,in pure solvent,25,acetone,,,,"Li, Weiwei;?Xu, Dongmei;?Zhang, Zhilan;?Xu, Ying[Chinese Journal of Chemistry,?2012, vol. 30, # 8, p. 1819 - 1825]"
,,,,,,,Full Text
,,,,,,,Cited 2 timesDetailsAbstract
50,in pure solvent,25,"1,4-dioxane",,,,"Li, Weiwei;?Xu, Dongmei;?Zhang, Zhilan;?Xu, Ying[Chinese Journal of Chemistry,?2012, vol. 30, # 8, p. 1819 - 1825]"
,,,,,,,Full Text
,,,,,,,Cited 2 timesDetailsAbstract
50,in pure solvent,25,ethyl acetate,,,,"Li, Weiwei;?Xu, Dongmei;?Zhang, Zhilan;?Xu, Ying[Chinese Journal of Chemistry,?2012, vol. 30, # 8, p. 1819 - 1825]"
,,,,,,,Full Text
,,,,,,,Cited 2 timesDetailsAbstract
7.14,in pure solvent,25,dimethyl sulfoxide,,,,"Li, Weiwei;?Xu, Dongmei;?Zhang, Zhilan;?Xu, Ying[Chinese Journal of Chemistry,?2012, vol. 30, # 8, p. 1819 - 1825]"
,,,,,,,Full Text
,,,,,,,Cited 2 timesDetailsAbstract
