"Solubility, g°§l-1",Saturation,"Temperature (Solubility (MCS)), °„C",Solvent (Solubility (MCS)),Ratio of Solvents,Location,Comment (Solubility (MCS)),Reference
,,,,,Page/Page column 48,soluble in 4-anisaldehyde,"Current Patent Assignee:?BASF?- WO2023/208447,?2023, A1"
,,,,,,,Full Text
,,,,,,,DetailsAbstract
0.00061,in pure solvent,25,water,,Page/Page column 17,,"Current Patent Assignee:?VIVE CROP PROTECTION?- WO2013/93578,?2013, A1"
,,,,,,,Full Text
,,,,,,,DetailsAbstract
11,in pure solvent,25,hexane,,Page/Page column 17,,"Current Patent Assignee:?VIVE CROP PROTECTION?- WO2013/93578,?2013, A1"
,,,,,,,Full Text
,,,,,,,DetailsAbstract
18,in pure solvent,25,octanol,,Page/Page column 17,,"Current Patent Assignee:?VIVE CROP PROTECTION?- WO2013/93578,?2013, A1"
,,,,,,,Full Text
,,,,,,,DetailsAbstract
500,in pure solvent,25,toluene,,Page/Page column 17,,"Current Patent Assignee:?VIVE CROP PROTECTION?- WO2013/93578,?2013, A1"
,,,,,,,Full Text
,,,,,,,DetailsAbstract
500,in pure solvent,25,dichloromethane,,Page/Page column 17,,"Current Patent Assignee:?VIVE CROP PROTECTION?- WO2013/93578,?2013, A1"
,,,,,,,Full Text
,,,,,,,DetailsAbstract
500,in pure solvent,25,ethyl acetate,,Page/Page column 17,,"Current Patent Assignee:?VIVE CROP PROTECTION?- WO2013/93578,?2013, A1"
,,,,,,,Full Text
,,,,,,,DetailsAbstract
500,in pure solvent,25,acetone,,Page/Page column 17,,"Current Patent Assignee:?VIVE CROP PROTECTION?- WO2013/93578,?2013, A1"
,,,,,,,Full Text
,,,,,,,DetailsAbstract
76,in pure solvent,25,methanol,,Page/Page column 17,,"Current Patent Assignee:?VIVE CROP PROTECTION?- WO2013/93578,?2013, A1"
,,,,,,,Full Text
,,,,,,,DetailsAbstract
