"Solubility, g¡¤l-1",Saturation,"Temperature (Solubility (MCS)), ¡ãC",Solvent (Solubility (MCS)),Ratio of Solvents,Location,Comment (Solubility (MCS)),Reference
,,,,,,soluble in Et2O,"Severa, Luk¨¢?;?S¨¢zelov¨¢, Petra;?C¨ªsa?ov¨¢, Ivana;??aman, David;?Koval, Du?an;?Devadig, Pradeep;?Ka?i?ka, V¨¢clav;?Tepl?, Filip[Chirality,?2018, vol. 30, # 3, p. 254 - 260]"
,,,,,,,Full Text
,,,,,,,Cited 3 timesDetailsAbstract
,in pure solvent,22,dichloromethane,,,Solubility: 14.2 weight percent,"Ferreira, Frederico Castelo;?Macedo, Hugo;?Cocchini, Ugo;?Livingston, Andrew Guy[Organic Process Research and Development,?2006, vol. 10, # 4, p. 784 - 793]"
,,,,,,,Full Text
,,,,,,,Cited 22 timesDetailsAbstract
,in pure solvent,22,tert-butyl methyl ether,,,Solubility: 24.3 weight percent,"Ferreira, Frederico Castelo;?Macedo, Hugo;?Cocchini, Ugo;?Livingston, Andrew Guy[Organic Process Research and Development,?2006, vol. 10, # 4, p. 784 - 793]"
,,,,,,,Full Text
,,,,,,,Cited 22 timesDetailsAbstract
,in pure solvent,22,"toluene, acetone, water",toluene (50 weight percent); acetone (48.5 weight percent); water (1.5 weight percent),,Solubility: 27.5 weight percent,"Ferreira, Frederico Castelo;?Macedo, Hugo;?Cocchini, Ugo;?Livingston, Andrew Guy[Organic Process Research and Development,?2006, vol. 10, # 4, p. 784 - 793]"
,,,,,,,Full Text
,,,,,,,Cited 22 timesDetailsAbstract
,in pure solvent,22,"dichloromethane, acetone, water",dichloromethane (50 weight percent); acetone (48.5 weight percent); water (1.5 weight percent),,Solubility: 43.8 weight percent,"Ferreira, Frederico Castelo;?Macedo, Hugo;?Cocchini, Ugo;?Livingston, Andrew Guy[Organic Process Research and Development,?2006, vol. 10, # 4, p. 784 - 793]"
,,,,,,,Full Text
,,,,,,,Cited 22 timesDetailsAbstract
,in pure solvent,22,ethyl acetate,,,Solubility: 63.7 weight percent,"Ferreira, Frederico Castelo;?Macedo, Hugo;?Cocchini, Ugo;?Livingston, Andrew Guy[Organic Process Research and Development,?2006, vol. 10, # 4, p. 784 - 793]"
,,,,,,,Full Text
,,,,,,,Cited 22 timesDetailsAbstract
,in pure solvent,22,"acetone, water",acetone (97 weight percent); water (3 weight percent),,Solubility: Ca.50 weight percent,"Ferreira, Frederico Castelo;?Macedo, Hugo;?Cocchini, Ugo;?Livingston, Andrew Guy[Organic Process Research and Development,?2006, vol. 10, # 4, p. 784 - 793]"
,,,,,,,Full Text
,,,,,,,Cited 22 timesDetailsAbstract
,in pure solvent,22,acetone,,,Solubility: Ca.50 weight percent,"Ferreira, Frederico Castelo;?Macedo, Hugo;?Cocchini, Ugo;?Livingston, Andrew Guy[Organic Process Research and Development,?2006, vol. 10, # 4, p. 784 - 793]"
,,,,,,,Full Text
,,,,,,,Cited 22 timesDetailsAbstract
,in pure solvent,22,hexane,,,Solubility: < 0.1 weight percent,"Ferreira, Frederico Castelo;?Macedo, Hugo;?Cocchini, Ugo;?Livingston, Andrew Guy[Organic Process Research and Development,?2006, vol. 10, # 4, p. 784 - 793]"
,,,,,,,Full Text
,,,,,,,Cited 22 timesDetailsAbstract
,in pure solvent,22,toluene,,,Solubility: < 0.1 weight percent,"Ferreira, Frederico Castelo;?Macedo, Hugo;?Cocchini, Ugo;?Livingston, Andrew Guy[Organic Process Research and Development,?2006, vol. 10, # 4, p. 784 - 793]"
,,,,,,,Full Text
,,,,,,,Cited 22 timesDetailsAbstract
