"Solubility, g°§l-1",Saturation,"Temperature (Solubility (MCS)), °„C",Solvent (Solubility (MCS)),Ratio of Solvents,Location,Comment (Solubility (MCS)),Reference
,in pure solvent,20,ethanol,,,Solubility: 7.4 weight-percent,"Ashkinazi, L. A.;?Panichkina, O. M.;?Ravdel', A. A.;?Slobodin, Ya. M.[Journal of applied chemistry of the USSR,?1982, vol. 55, # 4, p. 738 - 741][Zhurnal Prikladnoi Khimii (Sankt-Peterburg, Russian Federation),?1982, vol. 55, # 4, p. 807 - 811]"
,,,,,,,Full Text
,,,,,,,DetailsAbstract
,in pure solvent,20,propan-1-ol,,,Solubility: 10.4 weight-percent,"Ashkinazi, L. A.;?Panichkina, O. M.;?Ravdel', A. A.;?Slobodin, Ya. M.[Journal of applied chemistry of the USSR,?1982, vol. 55, # 4, p. 738 - 741][Zhurnal Prikladnoi Khimii (Sankt-Peterburg, Russian Federation),?1982, vol. 55, # 4, p. 807 - 811]"
,,,,,,,Full Text
,,,,,,,DetailsAbstract
,in pure solvent,20,phenylmethanol,,,Solubility: 16.0 weight-percent,"Ashkinazi, L. A.;?Panichkina, O. M.;?Ravdel', A. A.;?Slobodin, Ya. M.[Journal of applied chemistry of the USSR,?1982, vol. 55, # 4, p. 738 - 741][Zhurnal Prikladnoi Khimii (Sankt-Peterburg, Russian Federation),?1982, vol. 55, # 4, p. 807 - 811]"
,,,,,,,Full Text
,,,,,,,DetailsAbstract
,in pure solvent,20,diethyl ether,,,Solubility: 19.0 weight-percent,"Ashkinazi, L. A.;?Panichkina, O. M.;?Ravdel', A. A.;?Slobodin, Ya. M.[Journal of applied chemistry of the USSR,?1982, vol. 55, # 4, p. 738 - 741][Zhurnal Prikladnoi Khimii (Sankt-Peterburg, Russian Federation),?1982, vol. 55, # 4, p. 807 - 811]"
,,,,,,,Full Text
,,,,,,,DetailsAbstract
,in pure solvent,20,dioxane,,,Solubility: 43.6 weight-percent,"Ashkinazi, L. A.;?Panichkina, O. M.;?Ravdel', A. A.;?Slobodin, Ya. M.[Journal of applied chemistry of the USSR,?1982, vol. 55, # 4, p. 738 - 741][Zhurnal Prikladnoi Khimii (Sankt-Peterburg, Russian Federation),?1982, vol. 55, # 4, p. 807 - 811]"
,,,,,,,Full Text
,,,,,,,DetailsAbstract
,in pure solvent,20,acetone,,,Solubility: 13.3 weight-percent,"Ashkinazi, L. A.;?Panichkina, O. M.;?Ravdel', A. A.;?Slobodin, Ya. M.[Journal of applied chemistry of the USSR,?1982, vol. 55, # 4, p. 738 - 741][Zhurnal Prikladnoi Khimii (Sankt-Peterburg, Russian Federation),?1982, vol. 55, # 4, p. 807 - 811]"
,,,,,,,Full Text
,,,,,,,DetailsAbstract
,in pure solvent,20,cyclohexanone,,,Solubility: 35.3 weight-percent,"Ashkinazi, L. A.;?Panichkina, O. M.;?Ravdel', A. A.;?Slobodin, Ya. M.[Journal of applied chemistry of the USSR,?1982, vol. 55, # 4, p. 738 - 741][Zhurnal Prikladnoi Khimii (Sankt-Peterburg, Russian Federation),?1982, vol. 55, # 4, p. 807 - 811]"
,,,,,,,Full Text
,,,,,,,DetailsAbstract
,in pure solvent,20,benzene,,,Solubility: 45.0 weight-percent,"Ashkinazi, L. A.;?Panichkina, O. M.;?Ravdel', A. A.;?Slobodin, Ya. M.[Journal of applied chemistry of the USSR,?1982, vol. 55, # 4, p. 738 - 741][Zhurnal Prikladnoi Khimii (Sankt-Peterburg, Russian Federation),?1982, vol. 55, # 4, p. 807 - 811]"
,,,,,,,Full Text
,,,,,,,DetailsAbstract
,in pure solvent,20,toluene,,,Solubility: 26.6 weight-percent,"Ashkinazi, L. A.;?Panichkina, O. M.;?Ravdel', A. A.;?Slobodin, Ya. M.[Journal of applied chemistry of the USSR,?1982, vol. 55, # 4, p. 738 - 741][Zhurnal Prikladnoi Khimii (Sankt-Peterburg, Russian Federation),?1982, vol. 55, # 4, p. 807 - 811]"
,,,,,,,Full Text
,,,,,,,DetailsAbstract
,in pure solvent,20,decahydronaphthalene,,,Solubility: 23.9 weight-percent,"Ashkinazi, L. A.;?Panichkina, O. M.;?Ravdel', A. A.;?Slobodin, Ya. M.[Journal of applied chemistry of the USSR,?1982, vol. 55, # 4, p. 738 - 741][Zhurnal Prikladnoi Khimii (Sankt-Peterburg, Russian Federation),?1982, vol. 55, # 4, p. 807 - 811]"
,,,,,,,Full Text
,,,,,,,DetailsAbstract
,in pure solvent,20,"1,2,3,4-tetrahydro-naphthalene",,,Solubility: 15.0 weight-percent,"Ashkinazi, L. A.;?Panichkina, O. M.;?Ravdel', A. A.;?Slobodin, Ya. M.[Journal of applied chemistry of the USSR,?1982, vol. 55, # 4, p. 738 - 741][Zhurnal Prikladnoi Khimii (Sankt-Peterburg, Russian Federation),?1982, vol. 55, # 4, p. 807 - 811]"
,,,,,,,Full Text
,,,,,,,DetailsAbstract
,in pure solvent,20,hexane,,,Solubility: 15.5 weight-percent,"Ashkinazi, L. A.;?Panichkina, O. M.;?Ravdel', A. A.;?Slobodin, Ya. M.[Journal of applied chemistry of the USSR,?1982, vol. 55, # 4, p. 738 - 741][Zhurnal Prikladnoi Khimii (Sankt-Peterburg, Russian Federation),?1982, vol. 55, # 4, p. 807 - 811]"
,,,,,,,Full Text
,,,,,,,DetailsAbstract
