"Solubility, g°§l-1",Saturation,"Temperature (Solubility (MCS)), °„C",Solvent (Solubility (MCS)),Ratio of Solvents,Location,Comment (Solubility (MCS)),Reference
11,,,isopropyl alcohol,,,,"Watson, Daniel J.;?Dowdy, Eric D.;?DePue, Jeffrey S.;?Kotnis, Atul S.;?Leung, Simon;?O'Reilly, Brian C.[Organic Process Research and Development,?2004, vol. 8, # 4, p. 616 - 623]"
,,,,,,,Full Text
,,,,,,,Cited 21 timesDetailsAbstract
14,,,tert-butyl methyl ether,,,,"Watson, Daniel J.;?Dowdy, Eric D.;?DePue, Jeffrey S.;?Kotnis, Atul S.;?Leung, Simon;?O'Reilly, Brian C.[Organic Process Research and Development,?2004, vol. 8, # 4, p. 616 - 623]"
,,,,,,,Full Text
,,,,,,,Cited 21 timesDetailsAbstract
14,,,acetonitrile,,,,"Watson, Daniel J.;?Dowdy, Eric D.;?DePue, Jeffrey S.;?Kotnis, Atul S.;?Leung, Simon;?O'Reilly, Brian C.[Organic Process Research and Development,?2004, vol. 8, # 4, p. 616 - 623]"
,,,,,,,Full Text
,,,,,,,Cited 21 timesDetailsAbstract
22,,,acetone,,,,"Watson, Daniel J.;?Dowdy, Eric D.;?DePue, Jeffrey S.;?Kotnis, Atul S.;?Leung, Simon;?O'Reilly, Brian C.[Organic Process Research and Development,?2004, vol. 8, # 4, p. 616 - 623]"
,,,,,,,Full Text
,,,,,,,Cited 21 timesDetailsAbstract
23,,,butan-1-ol,,,,"Watson, Daniel J.;?Dowdy, Eric D.;?DePue, Jeffrey S.;?Kotnis, Atul S.;?Leung, Simon;?O'Reilly, Brian C.[Organic Process Research and Development,?2004, vol. 8, # 4, p. 616 - 623]"
,,,,,,,Full Text
,,,,,,,Cited 21 timesDetailsAbstract
260,,,"1,2-dichloro-ethane",,,,"Watson, Daniel J.;?Dowdy, Eric D.;?DePue, Jeffrey S.;?Kotnis, Atul S.;?Leung, Simon;?O'Reilly, Brian C.[Organic Process Research and Development,?2004, vol. 8, # 4, p. 616 - 623]"
,,,,,,,Full Text
,,,,,,,Cited 21 timesDetailsAbstract
27,,,ethanol,,,,"Watson, Daniel J.;?Dowdy, Eric D.;?DePue, Jeffrey S.;?Kotnis, Atul S.;?Leung, Simon;?O'Reilly, Brian C.[Organic Process Research and Development,?2004, vol. 8, # 4, p. 616 - 623]"
,,,,,,,Full Text
,,,,,,,Cited 21 timesDetailsAbstract
301,,,tetrahydrofuran,,,,"Watson, Daniel J.;?Dowdy, Eric D.;?DePue, Jeffrey S.;?Kotnis, Atul S.;?Leung, Simon;?O'Reilly, Brian C.[Organic Process Research and Development,?2004, vol. 8, # 4, p. 616 - 623]"
,,,,,,,Full Text
,,,,,,,Cited 21 timesDetailsAbstract
32,,,toluene,,,,"Watson, Daniel J.;?Dowdy, Eric D.;?DePue, Jeffrey S.;?Kotnis, Atul S.;?Leung, Simon;?O'Reilly, Brian C.[Organic Process Research and Development,?2004, vol. 8, # 4, p. 616 - 623]"
,,,,,,,Full Text
,,,,,,,Cited 21 timesDetailsAbstract
34,,,ethyl acetate,,,,"Watson, Daniel J.;?Dowdy, Eric D.;?DePue, Jeffrey S.;?Kotnis, Atul S.;?Leung, Simon;?O'Reilly, Brian C.[Organic Process Research and Development,?2004, vol. 8, # 4, p. 616 - 623]"
,,,,,,,Full Text
,,,,,,,Cited 21 timesDetailsAbstract
446,,,dichloromethane,,,,"Watson, Daniel J.;?Dowdy, Eric D.;?DePue, Jeffrey S.;?Kotnis, Atul S.;?Leung, Simon;?O'Reilly, Brian C.[Organic Process Research and Development,?2004, vol. 8, # 4, p. 616 - 623]"
,,,,,,,Full Text
,,,,,,,Cited 21 timesDetailsAbstract
