"Solubility, g°§l-1",Saturation,"Temperature (Solubility (MCS)), °„C",Solvent (Solubility (MCS)),Ratio of Solvents,Location,Comment (Solubility (MCS)),Reference
,in solution,-0.01,acetone,,,Solubility: 0.1692 molpercent,"You, Yujing;?Gao, Ting;?Qiu, Fangli;?Wang, Yong;?Chen, Xiaoying;?Jia, Wenping;?Li, Rongrong[Journal of Chemical and Engineering Data,?2013, vol. 58, # 6, p. 1845 - 1852]"
,,,,,,,Full Text
,,,,,,,Cited 17 timesDetailsAbstract
,in solution,4.99,acetone,,,Solubility: 0.1830 molpercent,"You, Yujing;?Gao, Ting;?Qiu, Fangli;?Wang, Yong;?Chen, Xiaoying;?Jia, Wenping;?Li, Rongrong[Journal of Chemical and Engineering Data,?2013, vol. 58, # 6, p. 1845 - 1852]"
,,,,,,,Full Text
,,,,,,,Cited 17 timesDetailsAbstract
,in solution,9.99,acetone,,,Solubility: 0.204 molpercent,"You, Yujing;?Gao, Ting;?Qiu, Fangli;?Wang, Yong;?Chen, Xiaoying;?Jia, Wenping;?Li, Rongrong[Journal of Chemical and Engineering Data,?2013, vol. 58, # 6, p. 1845 - 1852]"
,,,,,,,Full Text
,,,,,,,Cited 17 timesDetailsAbstract
,in solution,14.99,acetone,,,Solubility: 0.225 molpercent,"You, Yujing;?Gao, Ting;?Qiu, Fangli;?Wang, Yong;?Chen, Xiaoying;?Jia, Wenping;?Li, Rongrong[Journal of Chemical and Engineering Data,?2013, vol. 58, # 6, p. 1845 - 1852]"
,,,,,,,Full Text
,,,,,,,Cited 17 timesDetailsAbstract
,in solution,19.99,acetone,,,Solubility: 0.2577 molpercent,"You, Yujing;?Gao, Ting;?Qiu, Fangli;?Wang, Yong;?Chen, Xiaoying;?Jia, Wenping;?Li, Rongrong[Journal of Chemical and Engineering Data,?2013, vol. 58, # 6, p. 1845 - 1852]"
,,,,,,,Full Text
,,,,,,,Cited 17 timesDetailsAbstract
,in solution,24.99,acetone,,,Solubility: 0.2812 molpercent,"You, Yujing;?Gao, Ting;?Qiu, Fangli;?Wang, Yong;?Chen, Xiaoying;?Jia, Wenping;?Li, Rongrong[Journal of Chemical and Engineering Data,?2013, vol. 58, # 6, p. 1845 - 1852]"
,,,,,,,Full Text
,,,,,,,Cited 17 timesDetailsAbstract
,in solution,29.99,acetone,,,Solubility: 0.3084 molpercent,"You, Yujing;?Gao, Ting;?Qiu, Fangli;?Wang, Yong;?Chen, Xiaoying;?Jia, Wenping;?Li, Rongrong[Journal of Chemical and Engineering Data,?2013, vol. 58, # 6, p. 1845 - 1852]"
,,,,,,,Full Text
,,,,,,,Cited 17 timesDetailsAbstract
,in solution,34.99,acetone,,,Solubility: 0.3494 molpercent,"You, Yujing;?Gao, Ting;?Qiu, Fangli;?Wang, Yong;?Chen, Xiaoying;?Jia, Wenping;?Li, Rongrong[Journal of Chemical and Engineering Data,?2013, vol. 58, # 6, p. 1845 - 1852]"
,,,,,,,Full Text
,,,,,,,Cited 17 timesDetailsAbstract
,in solution,39.99,acetone,,,Solubility: 0.3853 molpercent,"You, Yujing;?Gao, Ting;?Qiu, Fangli;?Wang, Yong;?Chen, Xiaoying;?Jia, Wenping;?Li, Rongrong[Journal of Chemical and Engineering Data,?2013, vol. 58, # 6, p. 1845 - 1852]"
,,,,,,,Full Text
,,,,,,,Cited 17 timesDetailsAbstract
,in solution,318.15,acetone,,,Solubility: 0.4319 molpercent,"You, Yujing;?Gao, Ting;?Qiu, Fangli;?Wang, Yong;?Chen, Xiaoying;?Jia, Wenping;?Li, Rongrong[Journal of Chemical and Engineering Data,?2013, vol. 58, # 6, p. 1845 - 1852]"
,,,,,,,Full Text
