"Solubility, g°§l-1",Saturation,"Temperature (Solubility (MCS)), °„C",Solvent (Solubility (MCS)),Ratio of Solvents,Location,Comment (Solubility (MCS)),Reference
60,in pure solvent,,"dichloromethane, methanol",dichloromethane (3 relative); methanol (1 relative),,,"Liu, Zhi-Xiong;?Feng, Yu;?Zhao, Zhi-Yong;?Yan, Zhi-Chao;?He, Yan-Mei;?Luo, Xu-Jun;?Liu, Chen-Yang;?Fan, Qing-Hua[Chemistry - A European Journal,?2014, vol. 20, # 2, p. 533 - 541]"
,,,,,,,Full Text
,,,,,,,Cited 48 timesDetailsAbstract
60,in pure solvent,,"tetrahydrofuran, methanol",tetrahydrofuran (3 relative); methanol (1 relative),,,"Liu, Zhi-Xiong;?Feng, Yu;?Zhao, Zhi-Yong;?Yan, Zhi-Chao;?He, Yan-Mei;?Luo, Xu-Jun;?Liu, Chen-Yang;?Fan, Qing-Hua[Chemistry - A European Journal,?2014, vol. 20, # 2, p. 533 - 541]"
,,,,,,,Full Text
,,,,,,,Cited 48 timesDetailsAbstract
60,in pure solvent,,"tetrahydrofuran, water",tetrahydrofuran (3 relative); water (1 relative),,,"Liu, Zhi-Xiong;?Feng, Yu;?Zhao, Zhi-Yong;?Yan, Zhi-Chao;?He, Yan-Mei;?Luo, Xu-Jun;?Liu, Chen-Yang;?Fan, Qing-Hua[Chemistry - A European Journal,?2014, vol. 20, # 2, p. 533 - 541]"
,,,,,,,Full Text
,,,,,,,Cited 48 timesDetailsAbstract
60,in pure solvent,,tetrahydrofuran,,,,"Liu, Zhi-Xiong;?Feng, Yu;?Zhao, Zhi-Yong;?Yan, Zhi-Chao;?He, Yan-Mei;?Luo, Xu-Jun;?Liu, Chen-Yang;?Fan, Qing-Hua[Chemistry - A European Journal,?2014, vol. 20, # 2, p. 533 - 541]"
,,,,,,,Full Text
,,,,,,,Cited 48 timesDetailsAbstract
60,in pure solvent,,methanol,,,,"Liu, Zhi-Xiong;?Feng, Yu;?Zhao, Zhi-Yong;?Yan, Zhi-Chao;?He, Yan-Mei;?Luo, Xu-Jun;?Liu, Chen-Yang;?Fan, Qing-Hua[Chemistry - A European Journal,?2014, vol. 20, # 2, p. 533 - 541]"
,,,,,,,Full Text
,,,,,,,Cited 48 timesDetailsAbstract
60,in pure solvent,,ethanol,,,,"Liu, Zhi-Xiong;?Feng, Yu;?Zhao, Zhi-Yong;?Yan, Zhi-Chao;?He, Yan-Mei;?Luo, Xu-Jun;?Liu, Chen-Yang;?Fan, Qing-Hua[Chemistry - A European Journal,?2014, vol. 20, # 2, p. 533 - 541]"
,,,,,,,Full Text
,,,,,,,Cited 48 timesDetailsAbstract
