"Solubility, g°§l-1",Saturation,"Temperature (Solubility (MCS)), °„C",Solvent (Solubility (MCS)),Ratio of Solvents,Location,Comment (Solubility (MCS)),Reference
4,in solution,20,ethanol,,,,"Page;?Rudy[Biochemische Zeitschrift,?1930, vol. 220, p. 304,308, 321]"
,,,,,,,Full Text
,,,,,,,Details
31,in solution,,ethanol,,,in boiling solvent.,"Page;?Rudy[Biochemische Zeitschrift,?1930, vol. 220, p. 304,308, 321]"
,,,,,,,Full Text
,,,,,,,Details
10,in solution,20,acetone,,,,"Page;?Rudy[Biochemische Zeitschrift,?1930, vol. 220, p. 304,308, 321]"
,,,,,,,Full Text
,,,,,,,Details
83,in solution,,acetone,,,in boiling solvent.,"Page;?Rudy[Biochemische Zeitschrift,?1930, vol. 220, p. 304,308, 321]"
,,,,,,,Full Text
,,,,,,,Details
