"Solubility, gбдl-1",Saturation,"Temperature (Solubility (MCS)), буC",Solvent (Solubility (MCS)),Ratio of Solvents,Location,Comment (Solubility (MCS)),Reference
6,in pure solvent,20,i-Amyl alcohol,,,,"Cimarosti, Zadeo;?Rossi, Sara;?Tramarin, Davide;?Laval, Gilles;?Stabile, Paolo;?Giubellina, Nicola;?Maton, William;?(бн)?Cooke, Jason;?Westerduin, Pieter[Organic Process Research and Development,?2012, vol. 16, # 10, p. 1598 - 1606]"
,,,,,,,Full Text
,,,,,,,Cited 3 timesDetailsAbstract
62,in pure solvent,60,dimethyl sulfoxide,,,,"Cimarosti, Zadeo;?Rossi, Sara;?Tramarin, Davide;?Laval, Gilles;?Stabile, Paolo;?Giubellina, Nicola;?Maton, William;?(бн)?Cooke, Jason;?Westerduin, Pieter[Organic Process Research and Development,?2012, vol. 16, # 10, p. 1598 - 1606]"
,,,,,,,Full Text
,,,,,,,Cited 3 timesDetailsAbstract
7,in pure solvent,20,butan-1-ol,,,,"Cimarosti, Zadeo;?Rossi, Sara;?Tramarin, Davide;?Laval, Gilles;?Stabile, Paolo;?Giubellina, Nicola;?Maton, William;?(бн)?Cooke, Jason;?Westerduin, Pieter[Organic Process Research and Development,?2012, vol. 16, # 10, p. 1598 - 1606]"
,,,,,,,Full Text
,,,,,,,Cited 3 timesDetailsAbstract
8,in pure solvent,20,propan-1-ol,,,,"Cimarosti, Zadeo;?Rossi, Sara;?Tramarin, Davide;?Laval, Gilles;?Stabile, Paolo;?Giubellina, Nicola;?Maton, William;?(бн)?Cooke, Jason;?Westerduin, Pieter[Organic Process Research and Development,?2012, vol. 16, # 10, p. 1598 - 1606]"
,,,,,,,Full Text
,,,,,,,Cited 3 timesDetailsAbstract
9,in pure solvent,50,acetone,,,,"Cimarosti, Zadeo;?Rossi, Sara;?Tramarin, Davide;?Laval, Gilles;?Stabile, Paolo;?Giubellina, Nicola;?Maton, William;?(бн)?Cooke, Jason;?Westerduin, Pieter[Organic Process Research and Development,?2012, vol. 16, # 10, p. 1598 - 1606]"
,,,,,,,Full Text
,,,,,,,Cited 3 timesDetailsAbstract
