"Solubility, g°§l-1",Saturation,"Temperature (Solubility (MCS)), °„C",Solvent (Solubility (MCS)),Ratio of Solvents,Location,Comment (Solubility (MCS)),Reference
,,,,,,water soluble,"Srinivasan, Bikshandarkoil R.;?Deshpande, Megha S.[Journal of Molecular Structure,?2019, vol. 1183, p. 24 - 27]"
,,,,,,,Full Text
,,,,,,,Cited 1 timesDetailsAbstract
,in solution,14.99,acetone,,,Solubility: 42.05 molpercent,"Wei, Dongwei;?Chen, Limei[Journal of Chemical and Engineering Data,?2009, vol. 54, # 3, p. 1098 - 1099]"
,,,,,,,Full Text
,,,,,,,Cited 11 timesDetailsAbstract
,in solution,16.99,acetone,,,Solubility: 43.87 molpercent,"Wei, Dongwei;?Chen, Limei[Journal of Chemical and Engineering Data,?2009, vol. 54, # 3, p. 1098 - 1099]"
,,,,,,,Full Text
,,,,,,,Cited 11 timesDetailsAbstract
,in solution,18.99,acetone,,,Solubility: 46.24 molpercent,"Wei, Dongwei;?Chen, Limei[Journal of Chemical and Engineering Data,?2009, vol. 54, # 3, p. 1098 - 1099]"
,,,,,,,Full Text
,,,,,,,Cited 11 timesDetailsAbstract
,in solution,20.99,acetone,,,Solubility: 48.39 molpercent,"Wei, Dongwei;?Chen, Limei[Journal of Chemical and Engineering Data,?2009, vol. 54, # 3, p. 1098 - 1099]"
,,,,,,,Full Text
,,,,,,,Cited 11 timesDetailsAbstract
,in solution,22.99,acetone,,,Solubility: 50.48 molpercent,"Wei, Dongwei;?Chen, Limei[Journal of Chemical and Engineering Data,?2009, vol. 54, # 3, p. 1098 - 1099]"
,,,,,,,Full Text
,,,,,,,Cited 11 timesDetailsAbstract
,in solution,24.99,acetone,,,Solubility: 52.77 molpercent,"Wei, Dongwei;?Chen, Limei[Journal of Chemical and Engineering Data,?2009, vol. 54, # 3, p. 1098 - 1099]"
,,,,,,,Full Text
,,,,,,,Cited 11 timesDetailsAbstract
,in solution,26.99,acetone,,,Solubility: 55.01 molpercent,"Wei, Dongwei;?Chen, Limei[Journal of Chemical and Engineering Data,?2009, vol. 54, # 3, p. 1098 - 1099]"
,,,,,,,Full Text
,,,,,,,Cited 11 timesDetailsAbstract
,in solution,28.99,acetone,,,Solubility: 57.4 molpercent,"Wei, Dongwei;?Chen, Limei[Journal of Chemical and Engineering Data,?2009, vol. 54, # 3, p. 1098 - 1099]"
,,,,,,,Full Text
,,,,,,,Cited 11 timesDetailsAbstract
,in solution,30.99,acetone,,,Solubility: 59.81 molpercent,"Wei, Dongwei;?Chen, Limei[Journal of Chemical and Engineering Data,?2009, vol. 54, # 3, p. 1098 - 1099]"
,,,,,,,Full Text
,,,,,,,Cited 11 timesDetailsAbstract
,in solution,32.99,acetone,,,Solubility: 62.32 molpercent,"Wei, Dongwei;?Chen, Limei[Journal of Chemical and Engineering Data,?2009, vol. 54, # 3, p. 1098 - 1099]"
,,,,,,,Full Text
,,,,,,,Cited 11 timesDetailsAbstract
,in solution,34.99,acetone,,,Solubility: 64.89 molpercent,"Wei, Dongwei;?Chen, Limei[Journal of Chemical and Engineering Data,?2009, vol. 54, # 3, p. 1098 - 1099]"
,,,,,,,Full Text
,,,,,,,Cited 11 timesDetailsAbstract
,in solution,36.99,acetone,,,Solubility: 67.61 molpercent,"Wei, Dongwei;?Chen, Limei[Journal of Chemical and Engineering Data,?2009, vol. 54, # 3, p. 1098 - 1099]"
,,,,,,,Full Text
,,,,,,,Cited 11 timesDetailsAbstract
,in solution,38.99,acetone,,,Solubility: 70.28 molpercent,"Wei, Dongwei;?Chen, Limei[Journal of Chemical and Engineering Data,?2009, vol. 54, # 3, p. 1098 - 1099]"
,,,,,,,Full Text
,,,,,,,Cited 11 timesDetailsAbstract
,in solution,39.99,acetone,,,Solubility: 71.66 molpercent,"Wei, Dongwei;?Chen, Limei[Journal of Chemical and Engineering Data,?2009, vol. 54, # 3, p. 1098 - 1099]"
,,,,,,,Full Text
,,,,,,,Cited 11 timesDetailsAbstract
,in solution,14.99,chloroform,,,Solubility: 30.92 molpercent,"Wei, Dongwei;?Chen, Limei[Journal of Chemical and Engineering Data,?2009, vol. 54, # 3, p. 1098 - 1099]"
,,,,,,,Full Text
,,,,,,,Cited 11 timesDetailsAbstract
,in solution,16.99,chloroform,,,Solubility: 32.45 molpercent,"Wei, Dongwei;?Chen, Limei[Journal of Chemical and Engineering Data,?2009, vol. 54, # 3, p. 1098 - 1099]"
,,,,,,,Full Text
,,,,,,,Cited 11 timesDetailsAbstract
,in solution,18.99,chloroform,,,Solubility: 34.96 molpercent,"Wei, Dongwei;?Chen, Limei[Journal of Chemical and Engineering Data,?2009, vol. 54, # 3, p. 1098 - 1099]"
,,,,,,,Full Text
,,,,,,,Cited 11 timesDetailsAbstract
,in solution,20.99,chloroform,,,Solubility: 37.05 molpercent,"Wei, Dongwei;?Chen, Limei[Journal of Chemical and Engineering Data,?2009, vol. 54, # 3, p. 1098 - 1099]"
,,,,,,,Full Text
,,,,,,,Cited 11 timesDetailsAbstract
,in solution,22.99,chloroform,,,Solubility: 39.21 molpercent,"Wei, Dongwei;?Chen, Limei[Journal of Chemical and Engineering Data,?2009, vol. 54, # 3, p. 1098 - 1099]"
,,,,,,,Full Text
,,,,,,,Cited 11 timesDetailsAbstract
