"Solubility, g°§l-1",Saturation,"Temperature (Solubility (MCS)), °„C",Solvent (Solubility (MCS)),Ratio of Solvents,Location,Comment (Solubility (MCS)),Reference
,in pure solvent,19.99,butan-1-ol,,,Solubility: 0.0821 g/100g solvent,"Cheuk, Dominic;?Khamar, Dikshitkumar;?McArdle, Patrick;?Rasmuson, ?ke C.[Journal of Chemical and Engineering Data,?2015, vol. 60, # 7, p. 2110 - 2118]"
,,,,,,,Full Text
,,,,,,,Cited 11 timesDetailsAbstract
,in pure solvent,24.99,butan-1-ol,,,Solubility: 0.0943 g/100g solvent,"Cheuk, Dominic;?Khamar, Dikshitkumar;?McArdle, Patrick;?Rasmuson, ?ke C.[Journal of Chemical and Engineering Data,?2015, vol. 60, # 7, p. 2110 - 2118]"
,,,,,,,Full Text
,,,,,,,Cited 11 timesDetailsAbstract
,in pure solvent,29.99,butan-1-ol,,,Solubility: 0.1254 g/100g solvent,"Cheuk, Dominic;?Khamar, Dikshitkumar;?McArdle, Patrick;?Rasmuson, ?ke C.[Journal of Chemical and Engineering Data,?2015, vol. 60, # 7, p. 2110 - 2118]"
,,,,,,,Full Text
,,,,,,,Cited 11 timesDetailsAbstract
,in pure solvent,34.99,butan-1-ol,,,Solubility: 0.1451 g/100g solvent,"Cheuk, Dominic;?Khamar, Dikshitkumar;?McArdle, Patrick;?Rasmuson, ?ke C.[Journal of Chemical and Engineering Data,?2015, vol. 60, # 7, p. 2110 - 2118]"
,,,,,,,Full Text
,,,,,,,Cited 11 timesDetailsAbstract
,in pure solvent,39.99,butan-1-ol,,,Solubility: 0.1926 g/100g solvent,"Cheuk, Dominic;?Khamar, Dikshitkumar;?McArdle, Patrick;?Rasmuson, ?ke C.[Journal of Chemical and Engineering Data,?2015, vol. 60, # 7, p. 2110 - 2118]"
,,,,,,,Full Text
,,,,,,,Cited 11 timesDetailsAbstract
,in pure solvent,44.99,butan-1-ol,,,Solubility: 0.2432 g/100g solvent,"Cheuk, Dominic;?Khamar, Dikshitkumar;?McArdle, Patrick;?Rasmuson, ?ke C.[Journal of Chemical and Engineering Data,?2015, vol. 60, # 7, p. 2110 - 2118]"
,,,,,,,Full Text
,,,,,,,Cited 11 timesDetailsAbstract
,in pure solvent,19.99,acetonitrile,,,Solubility: 0.3075 g/100g solvent,"Cheuk, Dominic;?Khamar, Dikshitkumar;?McArdle, Patrick;?Rasmuson, ?ke C.[Journal of Chemical and Engineering Data,?2015, vol. 60, # 7, p. 2110 - 2118]"
,,,,,,,Full Text
,,,,,,,Cited 11 timesDetailsAbstract
,in pure solvent,24.99,acetonitrile,,,Solubility: 0.3703 g/100g solvent,"Cheuk, Dominic;?Khamar, Dikshitkumar;?McArdle, Patrick;?Rasmuson, ?ke C.[Journal of Chemical and Engineering Data,?2015, vol. 60, # 7, p. 2110 - 2118]"
,,,,,,,Full Text
,,,,,,,Cited 11 timesDetailsAbstract
,in pure solvent,29.99,acetonitrile,,,Solubility: 0.4589 g/100g solvent,"Cheuk, Dominic;?Khamar, Dikshitkumar;?McArdle, Patrick;?Rasmuson, ?ke C.[Journal of Chemical and Engineering Data,?2015, vol. 60, # 7, p. 2110 - 2118]"
,,,,,,,Full Text
,,,,,,,Cited 11 timesDetailsAbstract
,in pure solvent,34.99,acetonitrile,,,Solubility: 0.5574 g/100g solvent,"Cheuk, Dominic;?Khamar, Dikshitkumar;?McArdle, Patrick;?Rasmuson, ?ke C.[Journal of Chemical and Engineering Data,?2015, vol. 60, # 7, p. 2110 - 2118]"
,,,,,,,Full Text
,,,,,,,Cited 11 timesDetailsAbstract
,in pure solvent,19.99,acetone,,,Solubility: 0.6535 g/100g solvent,"Cheuk, Dominic;?Khamar, Dikshitkumar;?McArdle, Patrick;?Rasmuson, ?ke C.[Journal of Chemical and Engineering Data,?2015, vol. 60, # 7, p. 2110 - 2118]"
,,,,,,,Full Text
,,,,,,,Cited 11 timesDetailsAbstract
,in pure solvent,39.99,acetonitrile,,,Solubility: 0.6812 g/100g solvent,"Cheuk, Dominic;?Khamar, Dikshitkumar;?McArdle, Patrick;?Rasmuson, ?ke C.[Journal of Chemical and Engineering Data,?2015, vol. 60, # 7, p. 2110 - 2118]"
,,,,,,,Full Text
,,,,,,,Cited 11 timesDetailsAbstract
,in pure solvent,24.99,acetone,,,Solubility: 0.7676 g/100g solvent,"Cheuk, Dominic;?Khamar, Dikshitkumar;?McArdle, Patrick;?Rasmuson, ?ke C.[Journal of Chemical and Engineering Data,?2015, vol. 60, # 7, p. 2110 - 2118]"
,,,,,,,Full Text
,,,,,,,Cited 11 timesDetailsAbstract
,in pure solvent,44.99,acetonitrile,,,Solubility: 0.8081 g/100g solvent,"Cheuk, Dominic;?Khamar, Dikshitkumar;?McArdle, Patrick;?Rasmuson, ?ke C.[Journal of Chemical and Engineering Data,?2015, vol. 60, # 7, p. 2110 - 2118]"
,,,,,,,Full Text
,,,,,,,Cited 11 timesDetailsAbstract
,in pure solvent,29.99,acetone,,,Solubility: 0.9269 g/100g solvent,"Cheuk, Dominic;?Khamar, Dikshitkumar;?McArdle, Patrick;?Rasmuson, ?ke C.[Journal of Chemical and Engineering Data,?2015, vol. 60, # 7, p. 2110 - 2118]"
,,,,,,,Full Text
,,,,,,,Cited 11 timesDetailsAbstract
,in pure solvent,34.99,acetone,,,Solubility: 1.1077 g/100g solvent,"Cheuk, Dominic;?Khamar, Dikshitkumar;?McArdle, Patrick;?Rasmuson, ?ke C.[Journal of Chemical and Engineering Data,?2015, vol. 60, # 7, p. 2110 - 2118]"
,,,,,,,Full Text
,,,,,,,Cited 11 timesDetailsAbstract
,in pure solvent,39.99,acetone,,,Solubility: 1.3053 g/100g solvent,"Cheuk, Dominic;?Khamar, Dikshitkumar;?McArdle, Patrick;?Rasmuson, ?ke C.[Journal of Chemical and Engineering Data,?2015, vol. 60, # 7, p. 2110 - 2118]"
,,,,,,,Full Text
,,,,,,,Cited 11 timesDetailsAbstract
,in pure solvent,44.99,acetone,,,Solubility: 1.5382 g/100g solvent,"Cheuk, Dominic;?Khamar, Dikshitkumar;?McArdle, Patrick;?Rasmuson, ?ke C.[Journal of Chemical and Engineering Data,?2015, vol. 60, # 7, p. 2110 - 2118]"
,,,,,,,Full Text
,,,,,,,Cited 11 timesDetailsAbstract
,in pure solvent,19.99,toluene,,,Solubility: 2.0571 g/100g solvent,"Cheuk, Dominic;?Khamar, Dikshitkumar;?McArdle, Patrick;?Rasmuson, ?ke C.[Journal of Chemical and Engineering Data,?2015, vol. 60, # 7, p. 2110 - 2118]"
,,,,,,,Full Text
,,,,,,,Cited 11 timesDetailsAbstract
