"Solubility, g°§l-1",Saturation,"Temperature (Solubility (MCS)), °„C",Solvent (Solubility (MCS)),Ratio of Solvents,Location,Comment (Solubility (MCS)),Reference
,,15,H2O,,,100 g solvent dissolves. 0.02 g Substance.,"Desvergnes[Le Moniteur scientifique (Paris), vol. <5> 14, p. 252][Chemisches Zentralblatt,?1925, vol. 96, # I, p. 837]"
,,,,,,,Full Text
,,,,,,,Details
,,50,H2O,,,100 g solvent dissolves. 0.14 g Substance.,"Desvergnes[Le Moniteur scientifique (Paris), vol. <5> 14, p. 252][Chemisches Zentralblatt,?1925, vol. 96, # I, p. 837]"
,,,,,,,Full Text
,,,,,,,Details
,,100,H2O,,,100 g solvent dissolves. 0.39 g Substance.,"Desvergnes[Le Moniteur scientifique (Paris), vol. <5> 14, p. 252][Chemisches Zentralblatt,?1925, vol. 96, # I, p. 837]"
,,,,,,,Full Text
,,,,,,,Details
,,15,CHCl3,,,100 g solvent dissolves. 25.60 g Substance.,"Desvergnes[Le Moniteur scientifique (Paris), vol. <5> 14, p. 252][Chemisches Zentralblatt,?1925, vol. 96, # I, p. 837]"
,,,,,,,Full Text
,,,,,,,Details
,,50,CHCl3,,,100 g solvent dissolves. 334.50 g Substance.,"Desvergnes[Le Moniteur scientifique (Paris), vol. <5> 14, p. 252][Chemisches Zentralblatt,?1925, vol. 96, # I, p. 837]"
,,,,,,,Full Text
,,,,,,,Details
,,15,CCl4,,,100 g solvent dissolves. 0.51 g Substance.,"Desvergnes[Le Moniteur scientifique (Paris), vol. <5> 14, p. 252][Chemisches Zentralblatt,?1925, vol. 96, # I, p. 837]"
,,,,,,,Full Text
,,,,,,,Details
,,50,CCl4,,,100 g solvent dissolves. 3.65 g Substance.,"Desvergnes[Le Moniteur scientifique (Paris), vol. <5> 14, p. 252][Chemisches Zentralblatt,?1925, vol. 96, # I, p. 837]"
,,,,,,,Full Text
,,,,,,,Details
