"Solubility, g°§l-1",Saturation,"Temperature (Solubility (MCS)), °„C",Solvent (Solubility (MCS)),Ratio of Solvents,Location,Comment (Solubility (MCS)),Reference
4,in pure solvent,25,diethyl ether,,,,"Webster,O.W. et al.[Journal of Organic Chemistry,?1972, vol. 37, p. 4133 - 4136]"
,,,,,,,Full Text
,,,,,,,Cited 53 timesDetails
5,in pure solvent,25,H2O,,,,"Webster,O.W. et al.[Journal of Organic Chemistry,?1972, vol. 37, p. 4133 - 4136]"
,,,,,,,Full Text
,,,,,,,Cited 53 timesDetails
26,in pure solvent,25,propan-2-ol,,,,"Webster,O.W. et al.[Journal of Organic Chemistry,?1972, vol. 37, p. 4133 - 4136]"
,,,,,,,Full Text
,,,,,,,Cited 53 timesDetails
36,in pure solvent,25,ethanol,,,,"Webster,O.W. et al.[Journal of Organic Chemistry,?1972, vol. 37, p. 4133 - 4136]"
,,,,,,,Full Text
,,,,,,,Cited 53 timesDetails
36,in pure solvent,25,ethyl acetate,,,,"Webster,O.W. et al.[Journal of Organic Chemistry,?1972, vol. 37, p. 4133 - 4136]"
,,,,,,,Full Text
,,,,,,,Cited 53 timesDetails
61,in pure solvent,25,methanol,,,,"Webster,O.W. et al.[Journal of Organic Chemistry,?1972, vol. 37, p. 4133 - 4136]"
,,,,,,,Full Text
,,,,,,,Cited 53 timesDetails
70,in pure solvent,25,acetonitrile,,,,"Webster,O.W. et al.[Journal of Organic Chemistry,?1972, vol. 37, p. 4133 - 4136]"
,,,,,,,Full Text
,,,,,,,Cited 53 timesDetails
96,in pure solvent,25,dioxane,,,,"Webster,O.W. et al.[Journal of Organic Chemistry,?1972, vol. 37, p. 4133 - 4136]"
,,,,,,,Full Text
,,,,,,,Cited 53 timesDetails
140,in pure solvent,25,tetrahydrofuran,,,,"Webster,O.W. et al.[Journal of Organic Chemistry,?1972, vol. 37, p. 4133 - 4136]"
,,,,,,,Full Text
,,,,,,,Cited 53 timesDetails
150,in pure solvent,25,acetone,,,,"Webster,O.W. et al.[Journal of Organic Chemistry,?1972, vol. 37, p. 4133 - 4136]"
,,,,,,,Full Text
,,,,,,,Cited 53 timesDetails
150,in pure solvent,100,H2O,,,,"Webster,O.W. et al.[Journal of Organic Chemistry,?1972, vol. 37, p. 4133 - 4136]"
,,,,,,,Full Text
,,,,,,,Cited 53 timesDetails
