"Solubility, g°§l-1",Saturation,"Temperature (Solubility (MCS)), °„C",Solvent (Solubility (MCS)),Ratio of Solvents,Location,Comment (Solubility (MCS)),Reference
0.63,in solution,0,H2O,,,,"Willeford[Ecology,?1956, vol. 37, p. 840]"
,,,,,,,Full Text
,,,,,,,Details
2.08,in solution,0,acetone,,,,"Willeford[Ecology,?1956, vol. 37, p. 840]"
,,,,,,,Full Text
,,,,,,,Details
2.22,in solution,29.8,H2O,,,,"Willeford[Ecology,?1956, vol. 37, p. 840]"
,,,,,,,Full Text
,,,,,,,Details
2.65,in solution,30,acetone,,,,"Willeford[Ecology,?1956, vol. 37, p. 840]"
,,,,,,,Full Text
,,,,,,,Details
