"Solubility, g°§l-1",Saturation,"Temperature (Solubility (MCS)), °„C",Solvent (Solubility (MCS)),Ratio of Solvents,Location,Comment (Solubility (MCS)),Reference
39,,25,dichloromethane,,,,"Gao, Qi;?Lian, Gaoyan;?Lin, Feng[Carbohydrate Research,?2009, vol. 344, # 4, p. 511 - 515]"
,,,,,,,Full Text
,,,,,,,Cited 19 timesDetailsAbstract
5,,25,acetone,,,,"Gao, Qi;?Lian, Gaoyan;?Lin, Feng[Carbohydrate Research,?2009, vol. 344, # 4, p. 511 - 515]"
,,,,,,,Full Text
,,,,,,,Cited 19 timesDetailsAbstract
1,,25,ethyl acetate,,,,"Gao, Qi;?Lian, Gaoyan;?Lin, Feng[Carbohydrate Research,?2009, vol. 344, # 4, p. 511 - 515]"
,,,,,,,Full Text
,,,,,,,Cited 19 timesDetailsAbstract
1,,25,toluene,,,,"Gao, Qi;?Lian, Gaoyan;?Lin, Feng[Carbohydrate Research,?2009, vol. 344, # 4, p. 511 - 515]"
,,,,,,,Full Text
,,,,,,,Cited 19 timesDetailsAbstract
