"Solubility, g°§l-1",Saturation,"Temperature (Solubility (MCS)), °„C",Solvent (Solubility (MCS)),Ratio of Solvents,Location,Comment (Solubility (MCS)),Reference
,in solution,25,chloroform,,Paragraph 0063,Solubility: < 0.1 g/100g solvent,"Current Patent Assignee:?UBE INDUSTRIES?- JP5834574,?2015, B2"
,,,,,,,Full Text
,,,,,,,DetailsAbstract
,in solution,25,toluene,,Paragraph 0063,Solubility: < 0.1 g/100g solvent,"Current Patent Assignee:?UBE INDUSTRIES?- JP5834574,?2015, B2"
,,,,,,,Full Text
,,,,,,,DetailsAbstract
,in solution,25,acetone,,Paragraph 0063,Solubility: 0.1 g/100g solvent,"Current Patent Assignee:?UBE INDUSTRIES?- JP5834574,?2015, B2"
,,,,,,,Full Text
,,,,,,,DetailsAbstract
,in solution,25,acetonitrile,,Paragraph 0063,Solubility: 0.1 g/100g solvent,"Current Patent Assignee:?UBE INDUSTRIES?- JP5834574,?2015, B2"
,,,,,,,Full Text
,,,,,,,DetailsAbstract
,in solution,25,tetrahydrofuran,,Paragraph 0063,Solubility: 0.3 g/100g solvent,"Current Patent Assignee:?UBE INDUSTRIES?- JP5834574,?2015, B2"
,,,,,,,Full Text
,,,,,,,DetailsAbstract
,in solution,25,"N,N-dimethyl acetamide",,Paragraph 0063,Solubility: 1.3 g/100g solvent,"Current Patent Assignee:?UBE INDUSTRIES?- JP5834574,?2015, B2"
,,,,,,,Full Text
,,,,,,,DetailsAbstract
,in solution,25,"N,N-dimethyl-formamide",,Paragraph 0063,Solubility: 1.3 g/100g solvent,"Current Patent Assignee:?UBE INDUSTRIES?- JP5834574,?2015, B2"
,,,,,,,Full Text
,,,,,,,DetailsAbstract
,in solution,25,1-methyl-pyrrolidin-2-one,,Paragraph 0063,Solubility: 2.3 g/100g solvent,"Current Patent Assignee:?UBE INDUSTRIES?- JP5834574,?2015, B2"
,,,,,,,Full Text
,,,,,,,DetailsAbstract
