"Solubility, g°§l-1",Saturation,"Temperature (Solubility (MCS)), °„C",Solvent (Solubility (MCS)),Ratio of Solvents,Location,Comment (Solubility (MCS)),Reference
1.17,in pure solvent,37,water,,Paragraph 0071-0074,,"Current Patent Assignee:?LUNAN PHARMACEUTICAL GROUP?- CN113943270,?2022, A"
,,,,,,,Full Text
,,,,,,,DetailsAbstract
0.005,in pure solvent,37,aq. phosphate buffer,,Paragraph 0091-0093,pH=6.8,"No author?- CN114685432,?2022, A"
,,,,,,,Full Text
,,,,,,,DetailsAbstract
0.008,in pure solvent,37,water,,Paragraph 0091-0093,,"No author?- CN114685432,?2022, A"
,,,,,,,Full Text
,,,,,,,DetailsAbstract
0.009,in pure solvent,37,aq. phosphate buffer,,Paragraph 0091-0093,pH=6.8,"No author?- CN114685432,?2022, A"
,,,,,,,Full Text
,,,,,,,DetailsAbstract
0.015,in pure solvent,37,water,,Paragraph 0091-0093,,"No author?- CN114685432,?2022, A"
,,,,,,,Full Text
,,,,,,,DetailsAbstract
0.35,in pure solvent,37,"hydrogenchloride, water",,Paragraph 0091-0093,c=0.01mol/L,"No author?- CN114685432,?2022, A"
,,,,,,,Full Text
,,,,,,,DetailsAbstract
0.58,in pure solvent,37,"hydrogenchloride, water",,Paragraph 0091-0093,c=0.01mol/L,"No author?- CN114685432,?2022, A"
,,,,,,,Full Text
,,,,,,,DetailsAbstract
0.95,in pure solvent,37,aq. phosphate buffer,,Paragraph 0091-0093,pH=6.8,"No author?- CN114685432,?2022, A"
,,,,,,,Full Text
,,,,,,,DetailsAbstract
1.42,in pure solvent,37,water,,Paragraph 0091-0093,,"No author?- CN114685432,?2022, A"
,,,,,,,Full Text
,,,,,,,DetailsAbstract
2.02,in pure solvent,37,"hydrogenchloride, water",,Paragraph 0091-0093,c=0.01mol/L,"No author?- CN114685432,?2022, A"
,,,,,,,Full Text
,,,,,,,DetailsAbstract
