"Solubility, g°§l-1",Saturation,"Temperature (Solubility (MCS)), °„C",Solvent (Solubility (MCS)),Ratio of Solvents,Location,Comment (Solubility (MCS)),Reference
0.0330337,,20,methanol,,,,"Bosiak, Mariusz J.;?Rakowiecki, Marcin;?Or?owska, Katarzyna J.;?K?dziera, Dariusz;?Adams, J?rg[Dyes and Pigments,?2013, vol. 99, # 3, p. 803 - 811]"
,,,,,,,Full Text
,,,,,,,Cited 9 timesDetailsAbstract
0.0330337,,20,diethyl ether,,,,"Bosiak, Mariusz J.;?Rakowiecki, Marcin;?Or?owska, Katarzyna J.;?K?dziera, Dariusz;?Adams, J?rg[Dyes and Pigments,?2013, vol. 99, # 3, p. 803 - 811]"
,,,,,,,Full Text
,,,,,,,Cited 9 timesDetailsAbstract
0.0330337,,20,water monomer,,,,"Bosiak, Mariusz J.;?Rakowiecki, Marcin;?Or?owska, Katarzyna J.;?K?dziera, Dariusz;?Adams, J?rg[Dyes and Pigments,?2013, vol. 99, # 3, p. 803 - 811]"
,,,,,,,Full Text
,,,,,,,Cited 9 timesDetailsAbstract
0.0495505,,20,ethanol,,,,"Bosiak, Mariusz J.;?Rakowiecki, Marcin;?Or?owska, Katarzyna J.;?K?dziera, Dariusz;?Adams, J?rg[Dyes and Pigments,?2013, vol. 99, # 3, p. 803 - 811]"
,,,,,,,Full Text
,,,,,,,Cited 9 timesDetailsAbstract
1.78382,,20,acetone,,,,"Bosiak, Mariusz J.;?Rakowiecki, Marcin;?Or?owska, Katarzyna J.;?K?dziera, Dariusz;?Adams, J?rg[Dyes and Pigments,?2013, vol. 99, # 3, p. 803 - 811]"
,,,,,,,Full Text
,,,,,,,Cited 9 timesDetailsAbstract
12.5528,,20,tetrahydrofuran,,,,"Bosiak, Mariusz J.;?Rakowiecki, Marcin;?Or?owska, Katarzyna J.;?K?dziera, Dariusz;?Adams, J?rg[Dyes and Pigments,?2013, vol. 99, # 3, p. 803 - 811]"
,,,,,,,Full Text
,,,,,,,Cited 9 timesDetailsAbstract
3.63371,,20,ethyl acetate,,,,"Bosiak, Mariusz J.;?Rakowiecki, Marcin;?Or?owska, Katarzyna J.;?K?dziera, Dariusz;?Adams, J?rg[Dyes and Pigments,?2013, vol. 99, # 3, p. 803 - 811]"
,,,,,,,Full Text
,,,,,,,Cited 9 timesDetailsAbstract
47.8989,,20,dichloromethane,,,,"Bosiak, Mariusz J.;?Rakowiecki, Marcin;?Or?owska, Katarzyna J.;?K?dziera, Dariusz;?Adams, J?rg[Dyes and Pigments,?2013, vol. 99, # 3, p. 803 - 811]"
,,,,,,,Full Text
,,,,,,,Cited 9 timesDetailsAbstract
7.59775,,20,toluene,,,,"Bosiak, Mariusz J.;?Rakowiecki, Marcin;?Or?owska, Katarzyna J.;?K?dziera, Dariusz;?Adams, J?rg[Dyes and Pigments,?2013, vol. 99, # 3, p. 803 - 811]"
,,,,,,,Full Text
,,,,,,,Cited 9 timesDetailsAbstract
85.8876,,20,chloroform,,,,"Bosiak, Mariusz J.;?Rakowiecki, Marcin;?Or?owska, Katarzyna J.;?K?dziera, Dariusz;?Adams, J?rg[Dyes and Pigments,?2013, vol. 99, # 3, p. 803 - 811]"
,,,,,,,Full Text
,,,,,,,Cited 9 timesDetailsAbstract
