"Solubility, g°§l-1",Saturation,"Temperature (Solubility (MCS)), °„C",Solvent (Solubility (MCS)),Ratio of Solvents,Location,Comment (Solubility (MCS)),Reference
,in pure solvent,20.79,ethanol,,,Solubility: 0.0997 g/100g solvent,"Tian, Na-Na;?Wang, Li-Sheng;?Jiang, Ru-Yi[Journal of Chemical and Engineering Data,?2011, vol. 56, # 7, p. 3208 - 3213]"
,,,,,,,Full Text
,,,,,,,Cited 8 timesDetailsAbstract
,in pure solvent,24.89,ethanol,,,Solubility: 0.1196 g/100g solvent,"Tian, Na-Na;?Wang, Li-Sheng;?Jiang, Ru-Yi[Journal of Chemical and Engineering Data,?2011, vol. 56, # 7, p. 3208 - 3213]"
,,,,,,,Full Text
,,,,,,,Cited 8 timesDetailsAbstract
,in pure solvent,30.09,ethanol,,,Solubility: 0.1495 g/100g solvent,"Tian, Na-Na;?Wang, Li-Sheng;?Jiang, Ru-Yi[Journal of Chemical and Engineering Data,?2011, vol. 56, # 7, p. 3208 - 3213]"
,,,,,,,Full Text
,,,,,,,Cited 8 timesDetailsAbstract
,in pure solvent,20.09,acetonitrile,,,Solubility: 0.179 g/100g solvent,"Tian, Na-Na;?Wang, Li-Sheng;?Jiang, Ru-Yi[Journal of Chemical and Engineering Data,?2011, vol. 56, # 7, p. 3208 - 3213]"
,,,,,,,Full Text
,,,,,,,Cited 8 timesDetailsAbstract
,in pure solvent,35.19,ethanol,,,Solubility: 0.1894 g/100g solvent,"Tian, Na-Na;?Wang, Li-Sheng;?Jiang, Ru-Yi[Journal of Chemical and Engineering Data,?2011, vol. 56, # 7, p. 3208 - 3213]"
,,,,,,,Full Text
,,,,,,,Cited 8 timesDetailsAbstract
,in pure solvent,20.09,"1,2-dichloro-ethane",,,Solubility: 0.1903 g/100g solvent,"Tian, Na-Na;?Wang, Li-Sheng;?Jiang, Ru-Yi[Journal of Chemical and Engineering Data,?2011, vol. 56, # 7, p. 3208 - 3213]"
,,,,,,,Full Text
,,,,,,,Cited 8 timesDetailsAbstract
,in pure solvent,21.19,acetone,,,Solubility: 0.1977 g/100g solvent,"Tian, Na-Na;?Wang, Li-Sheng;?Jiang, Ru-Yi[Journal of Chemical and Engineering Data,?2011, vol. 56, # 7, p. 3208 - 3213]"
,,,,,,,Full Text
,,,,,,,Cited 8 timesDetailsAbstract
,in pure solvent,24.99,ethyl acetate,,,Solubility: 0.219 g/100g solvent,"Tian, Na-Na;?Wang, Li-Sheng;?Jiang, Ru-Yi[Journal of Chemical and Engineering Data,?2011, vol. 56, # 7, p. 3208 - 3213]"
,,,,,,,Full Text
,,,,,,,Cited 8 timesDetailsAbstract
,in pure solvent,24.99,acetonitrile,,,Solubility: 0.2462 g/100g solvent,"Tian, Na-Na;?Wang, Li-Sheng;?Jiang, Ru-Yi[Journal of Chemical and Engineering Data,?2011, vol. 56, # 7, p. 3208 - 3213]"
,,,,,,,Full Text
,,,,,,,Cited 8 timesDetailsAbstract
,in pure solvent,40.19,ethanol,,,Solubility: 0.2493 g/100g solvent,"Tian, Na-Na;?Wang, Li-Sheng;?Jiang, Ru-Yi[Journal of Chemical and Engineering Data,?2011, vol. 56, # 7, p. 3208 - 3213]"
,,,,,,,Full Text
,,,,,,,Cited 8 timesDetailsAbstract
,in pure solvent,25.19,acetone,,,Solubility: 0.2531 g/100g solvent,"Tian, Na-Na;?Wang, Li-Sheng;?Jiang, Ru-Yi[Journal of Chemical and Engineering Data,?2011, vol. 56, # 7, p. 3208 - 3213]"
,,,,,,,Full Text
,,,,,,,Cited 8 timesDetailsAbstract
,in pure solvent,25.19,"1,2-dichloro-ethane",,,Solubility: 0.2693 g/100g solvent,"Tian, Na-Na;?Wang, Li-Sheng;?Jiang, Ru-Yi[Journal of Chemical and Engineering Data,?2011, vol. 56, # 7, p. 3208 - 3213]"
,,,,,,,Full Text
,,,,,,,Cited 8 timesDetailsAbstract
,in pure solvent,30.19,ethyl acetate,,,Solubility: 0.2816 g/100g solvent,"Tian, Na-Na;?Wang, Li-Sheng;?Jiang, Ru-Yi[Journal of Chemical and Engineering Data,?2011, vol. 56, # 7, p. 3208 - 3213]"
,,,,,,,Full Text
,,,,,,,Cited 8 timesDetailsAbstract
,in pure solvent,44.99,ethanol,,,Solubility: 0.3091 g/100g solvent,"Tian, Na-Na;?Wang, Li-Sheng;?Jiang, Ru-Yi[Journal of Chemical and Engineering Data,?2011, vol. 56, # 7, p. 3208 - 3213]"
,,,,,,,Full Text
,,,,,,,Cited 8 timesDetailsAbstract
,in pure solvent,30.09,acetonitrile,,,Solubility: 0.3245 g/100g solvent,"Tian, Na-Na;?Wang, Li-Sheng;?Jiang, Ru-Yi[Journal of Chemical and Engineering Data,?2011, vol. 56, # 7, p. 3208 - 3213]"
,,,,,,,Full Text
,,,,,,,Cited 8 timesDetailsAbstract
,in pure solvent,19.99,toluene,,,Solubility: 0.3342 g/100g solvent,"Tian, Na-Na;?Wang, Li-Sheng;?Jiang, Ru-Yi[Journal of Chemical and Engineering Data,?2011, vol. 56, # 7, p. 3208 - 3213]"
,,,,,,,Full Text
