"Solubility, g°§l-1",Saturation,"Temperature (Solubility (MCS)), °„C",Solvent (Solubility (MCS)),Ratio of Solvents,Location,Comment (Solubility (MCS)),Reference
215,in solution,20,H2O,,,,"Morell;?Link[Journal of Biological Chemistry,?1933, vol. 100, p. 385,391]"
,,,,,,,Full Text
,,,,,,,Details
335,in solution,20,methanol,,,,"Morell;?Link[Journal of Biological Chemistry,?1933, vol. 100, p. 385,391]"
,,,,,,,Full Text
,,,,,,,Details
17,in solution,20,aq. ethanol,,,,"Morell;?Link[Journal of Biological Chemistry,?1933, vol. 100, p. 385,391]"
,,,,,,,Full Text
,,,,,,,Details
90,in solution,20,ethanol,,,,"Morell;?Link[Journal of Biological Chemistry,?1933, vol. 100, p. 385,391]"
,,,,,,,Full Text
,,,,,,,Details
6,in solution,20,acetone,,,,"Morell;?Link[Journal of Biological Chemistry,?1933, vol. 100, p. 385,391]"
,,,,,,,Full Text
,,,,,,,Details
1,in solution,20,diethyl ether,,,,"Morell;?Link[Journal of Biological Chemistry,?1933, vol. 100, p. 385,391]"
,,,,,,,Full Text
,,,,,,,Details
