"Solubility, g°§l-1",Saturation,"Temperature (Solubility (MCS)), °„C",Solvent (Solubility (MCS)),Ratio of Solvents,Location,Comment (Solubility (MCS)),Reference
,,,,,,do not dissolve in H2O,"Baranov, Vladimir V.;?Galochkin, Anton A.;?Kravchenko, Angelina N.;?Makhova, Nina N.;?Nelyubina, Yulia V.[Synthesis,?2020, vol. 52, # 17, p. 2563 - 2571]"
,,,,,,,Full Text
,,,,,,,Cited 9 timesDetailsAbstract
17.1,in solution,45,H2O,,,,"Walker;?Wood[Journal of the Chemical Society,?1898, vol. 73, p. 626]"
,,,,,,,Full Text
,,,,,,,Details
31,in solution,23,acetone,,,,"Walker;?Wood[Journal of the Chemical Society,?1898, vol. 73, p. 626]"
,,,,,,,Full Text
,,,,,,,Details
0.53,in solution,22.5,diethyl ether,,,,"Walker;?Wood[Journal of the Chemical Society,?1898, vol. 73, p. 626]"
,,,,,,,Full Text
,,,,,,,Details
0.547,in solution,44.2,benzene,,,,"Walker;?Wood[Journal of the Chemical Society,?1898, vol. 73, p. 626]"
,,,,,,,Full Text
,,,,,,,Details
