"Solubility, g°§l-1",Saturation,"Temperature (Solubility (MCS)), °„C",Solvent (Solubility (MCS)),Ratio of Solvents,Location,Comment (Solubility (MCS)),Reference
,in pure solvent,20.8,toluene,,,Solubility: 0.071 molpercent,"Guo, Xiu-Zhi;?Wang, Li-Sheng;?Tian, Na-Na[Journal of Chemical and Engineering Data,?2010, vol. 55, # 4, p. 1745 - 1749]"
,,,,,,,Full Text
,,,,,,,Cited 16 timesDetailsAbstract
,in pure solvent,25.09,toluene,,,Solubility: 0.075 molpercent,"Guo, Xiu-Zhi;?Wang, Li-Sheng;?Tian, Na-Na[Journal of Chemical and Engineering Data,?2010, vol. 55, # 4, p. 1745 - 1749]"
,,,,,,,Full Text
,,,,,,,Cited 16 timesDetailsAbstract
,in pure solvent,30.31,toluene,,,Solubility: 0.078 molpercent,"Guo, Xiu-Zhi;?Wang, Li-Sheng;?Tian, Na-Na[Journal of Chemical and Engineering Data,?2010, vol. 55, # 4, p. 1745 - 1749]"
,,,,,,,Full Text
,,,,,,,Cited 16 timesDetailsAbstract
,in pure solvent,35.08,toluene,,,Solubility: 0.082 molpercent,"Guo, Xiu-Zhi;?Wang, Li-Sheng;?Tian, Na-Na[Journal of Chemical and Engineering Data,?2010, vol. 55, # 4, p. 1745 - 1749]"
,,,,,,,Full Text
,,,,,,,Cited 16 timesDetailsAbstract
,in pure solvent,40.29,toluene,,,Solubility: 0.086 molpercent,"Guo, Xiu-Zhi;?Wang, Li-Sheng;?Tian, Na-Na[Journal of Chemical and Engineering Data,?2010, vol. 55, # 4, p. 1745 - 1749]"
,,,,,,,Full Text
,,,,,,,Cited 16 timesDetailsAbstract
,in pure solvent,45.27,toluene,,,Solubility: 0.089 molpercent,"Guo, Xiu-Zhi;?Wang, Li-Sheng;?Tian, Na-Na[Journal of Chemical and Engineering Data,?2010, vol. 55, # 4, p. 1745 - 1749]"
,,,,,,,Full Text
,,,,,,,Cited 16 timesDetailsAbstract
,in pure solvent,50.22,toluene,,,Solubility: 0.094 molpercent,"Guo, Xiu-Zhi;?Wang, Li-Sheng;?Tian, Na-Na[Journal of Chemical and Engineering Data,?2010, vol. 55, # 4, p. 1745 - 1749]"
,,,,,,,Full Text
,,,,,,,Cited 16 timesDetailsAbstract
,in pure solvent,55.29,toluene,,,Solubility: 0.099 molpercent,"Guo, Xiu-Zhi;?Wang, Li-Sheng;?Tian, Na-Na[Journal of Chemical and Engineering Data,?2010, vol. 55, # 4, p. 1745 - 1749]"
,,,,,,,Full Text
,,,,,,,Cited 16 timesDetailsAbstract
,in pure solvent,26.29,acetone,,,Solubility: 0.175 molpercent,"Guo, Xiu-Zhi;?Wang, Li-Sheng;?Tian, Na-Na[Journal of Chemical and Engineering Data,?2010, vol. 55, # 4, p. 1745 - 1749]"
,,,,,,,Full Text
,,,,,,,Cited 16 timesDetailsAbstract
