"Solubility, g¡¤l-1",Saturation,"Temperature (Solubility (MCS)), ¡ãC",Solvent (Solubility (MCS)),Ratio of Solvents,Location,Comment (Solubility (MCS)),Reference
,,,,,,soluble in water,"Alper ?zt¨¹rk;?Ba?aran, Ebru;??enel, Behiye;?Demirel, M¨¹zeyyen;?Sar?ca, ?enay[Journal of Molecular Structure,?2023, vol. 1282, art. no. 135169]"
,,,,,,,Full Text
,,,,,,,Cited 4 timesDetailsAbstract
,,,,,,relatively poor solubility in water and dissolve well in methanol,"Cyrankiewicz, Micha?;?Kupcewicz, Bogumi?a;?Walkowiak, Agata;?Wnuk, Kacper[Molecules,?2022, vol. 27, # 2, art. no. 433]"
,,,,,,,Full Text
,,,,,,,Cited 3 timesDetailsAbstract
,,,,,Paragraph 0079,"insoluble in dichloromethane, soluble in methanol","Current Patent Assignee:?SOUTHEAST UNIVERSITY?- CN114773346,?2022, A"
,,,,,,,Full Text
,,,,,,,DetailsAbstract
,,,,,Paragraph 0079,soluble in methanol,"Current Patent Assignee:?NORTHWEST A F UNIVERSITY?- CN115232142,?2022, A"
,,,,,,,Full Text
,,,,,,,DetailsAbstract
,,,,,,soluble in MeOH,"Mac¨ºdo, Sandra K. S.;?Almeida, Tamires S.;?Alencar Filho, Jos¨¦ Marcos T.;?Lima, K¨¢tia S. Bezerra;?Lib¨®rio, Rafael C.;?Costa, Mateus M.;?Rolim Neto, Pedro J.;?Rolim, Larissa A.;?Nunes, Xirley P.[Natural Product Research,?2021, vol. 35, # 18, p. 3083 - 3088]"
,,,,,,,Full Text
,,,,,,,Cited 4 timesDetailsAbstract
,,,,,,soluble in methanol,"El-Din El-Hawary, Seham Salah;?El-Mahdy El-Tantawy, Mona;?Rabeh, Mohamed Abdelatty;?Ali, Zeinab Yousef;?Albohy, Amgad;?Fawaz, Noha Essam[Egyptian Journal of Chemistry,?2021, vol. 64, # 2, p. 835 - 849]"
,,,,,,,Full Text
,,,,,,,Cited 2 timesDetailsAbstract
,,,,,,insoluble in tetrahydrofuran solvent,"Barker, David;?Fedrizzi, Bruno;?Leung, Euphemia;?Lo, Stephen[Molecules,?2021, vol. 26, # 6]"
,,,,,,,Full Text
,,,,,,,Cited 7 timesDetailsAbstract
