"Solubility, g¡¤l-1",Saturation,"Temperature (Solubility (MCS)), ¡ãC",Solvent (Solubility (MCS)),Ratio of Solvents,Location,Comment (Solubility (MCS)),Reference
,,,,,,solubility in water is so low,"Arapitsas, Panagiotis;?Bonaldo, Federico;?Catorci, Daniele;?Guella, Graziano;?Mattivi, Fulvio[Molecules,?2021, vol. 26, # 12]"
,,,,,,,Full Text
,,,,,,,Cited 2 timesDetailsAbstract
,,,,,,low solubility in aqueous solutions,"Cardoso, Carmen L¨²cia;?Pavan, Nathalia M.;?Povinelli, Ana Paula Ribeiro;?Ximenes, Valdecir Farias;?Zazeri, Gabriel;?de Carvalho, Daniella Romano[Journal of Molecular Structure,?2021, vol. 1244]"
,,,,,,,Full Text
,,,,,,,Cited 7 timesDetailsAbstract
,,,,,,poor solubility in water,"Barboza, Orlando Maia;?Costa, Silvia Lima;?Dos Santos, Cleonice Creusa;?Guimar?es, Elisalva Teixeira;?Magalh?es, Tatiana Barbosa Dos Santos;?Meira, C¨¢ssio Santana;?Pacheco, Luciano Vasconcellos;?(¡­)?da Silva, Victor Di¨®genes Amaral;?de Santana, Louren?o Lu¨ªs Botelho[Molecules,?2021, vol. 26, # 22, art. no. 6923]"
,,,,,,,Full Text
,,,,,,,Cited 9 timesDetailsAbstract
,,,,,,low soluble in water,"Li, Yan-Tuan;?Liu, Fang;?Wang, Ling-Yang;?Wu, Zhi-Yong;?Yan, Cui-Wei;?Yu, Ming-Chao[European Journal of Pharmaceutical Sciences,?2020, vol. 144]"
,,,,,,,Full Text
,,,,,,,Cited 31 timesDetailsAbstract
0.00051,in pure solvent,20 - 25,water,,,,"Lapshina, Elena A.;?Markiewicz, Karolina H.;?Sekowski, Szymon;?Veiko, Artem G.;?Wilczewska, Agnieszka Z.;?Zamaraeva, Maria;?Zavodnik, Ilya B.;?Zhao, Hu-cheng[Biochimica et Biophysica Acta - Biomembranes,?2020, vol. 1862, # 11]"
,,,,,,,Full Text
,,,,,,,Cited 28 timesDetailsAbstract
,,,,,,almost insoluble in water,"Cui, Yanmang;?Han, Yong;?Yang, Xingbin;?Sun, Yanfei;?Zhao, Yan[Molecules,?2014, vol. 19, # 1, p. 291 - 305]"
,,,,,,,Full Text
,,,,,,,Cited 47 timesDetailsAbstract
,,,,,,,"Mirgorodskaya;?Kushnazarova;?Lukashenko;?Zakharova, L. Ya.[Russian Chemical Bulletin,?2019, vol. 68, # 2, p. 328 - 333][Izv. Akad. Nauk, Ser. Khim.,?2019, # 2, p. 328 - 333,6]"
,,,,,,,Full Text
,,,,,,,Cited 15 timesDetailsAbstract
,,,,,,poor water solubility,"Yang, Song-Lin;?Zhao, Li-Juan;?Chi, Shao-Ming;?Du, Jiao-Jiao;?Ruan, Qiong;?Xiao, Pei-Lin;?Zhao, Yan[Journal of Molecular Structure,?2019, vol. 1183, p. 118 - 125]"
,,,,,,,Full Text
,,,,,,,Cited 31 timesDetailsAbstract
,,,,,,low solubility in water,"Rahimi, Shahnaz;?Khoee, Sepideh;?Ghandi, Mehdi[International Journal of Biological Macromolecules,?2019, vol. 128, p. 279 - 289]"
,,,,,,,Full Text
,,,,,,,Cited 39 timesDetailsAbstract
,,,,,,microsoluble in methanol; insoluble in chloroform and ethyl acetate,"Tang, Gengqiu;?Liu, Xile;?Gong, Xue;?Lin, Xiaojing;?Lai, Xiudi;?Wang, Dong;?Ji, Shengguo[Journal of the Serbian Chemical Society,?2019, vol. 84, # 3, p. 245 - 252]"
,,,,,,,Full Text
,,,,,,,Cited 10 timesDetailsAbstract
12.72,,25,water,,,,"Zhao, Li-Juan;?Yang, Song-Lin;?Jin, Wen;?Yang, Hui-Wen;?Li, Fei-Yang;?Chi, Shao-Ming;?Zhu, Hong-You;?Lei, Ze;?Zhao, Yan[Australian Journal of Chemistry,?2019, vol. 72, # 6, p. 440 - 449]"
,,,,,,,Full Text
,,,,,,,Cited 11 timesDetailsAbstract
0.006,in pure solvent,37,aq. phosphate buffer,,,,"Zhang, Zhijie;?Li, Duanxiu;?Luo, Chun;?Huang, Chunxiang;?Qiu, Ruchen;?Deng, Zongwu;?Zhang, Hailu[Crystal Growth and Design,?2019, vol. 19, # 7, p. 3851 - 3859]"
,,,,,,,Full Text
,,,,,,,Cited 28 timesDetailsAbstract
,,,,,,Solubility of quercetin in water and phosphate buffers,"Lu, Banyi;?Huang, Yanting;?Chen, Zhongyun;?Ye, Jingyi;?Xu, Hongyu;?Chen, Wenrong;?Long, Xiaoying[Molecules,?2019, vol. 24, # 12, art. no. 2322]"
,,,,,,,Full Text
,,,,,,,Cited 66 timesDetailsAbstract
,,,,,,lack of solubility in water,"Oliver, Susan;?Yee, Eugene;?Kavallaris, Maria;?Vittorio, Orazio;?Boyer, Cyrille[Macromolecular Bioscience,?2018, vol. 18, # 4, art. no. 1700239]"
,,,,,,,Full Text
,,,,,,,Cited 35 timesDetailsAbstract
,,,,,,well-soluble in pure DMSO but not soluble in water or PBS solution,"Li, Bowen;?Xie, Xin;?Chen, Zelin;?Zhan, Chenyue;?Zeng, Fang;?Wu, Shuizhu[Advanced Functional Materials,?2018, vol. 28, # 22, art. no. 1800692]"
,,,,,,,Full Text
,,,,,,,Cited 46 timesDetailsAbstract
0.004,in pure solvent,37,acidic aq. solution,,,,"Diamantis, Dimitrios A.;?Ramesova, Sarka;?Chatzigiannis, Christos M.;?Degano, Ilaria;?Gerogianni, Paraskevi S.;?Karadima, Konstantina E.;?Perikleous, Sonia;?(¡­)?Sokolova, Romana;?Tzakos, Andreas G.[Biochimica et Biophysica Acta - General Subjects,?2018, vol. 1862, # 9, p. 1913 - 1924]"
,,,,,,,Full Text
,,,,,,,Cited 28 timesDetailsAbstract
0.016,in pure solvent,37,neutral aq. solution,,,,"Diamantis, Dimitrios A.;?Ramesova, Sarka;?Chatzigiannis, Christos M.;?Degano, Ilaria;?Gerogianni, Paraskevi S.;?Karadima, Konstantina E.;?Perikleous, Sonia;?(¡­)?Sokolova, Romana;?Tzakos, Andreas G.[Biochimica et Biophysica Acta - General Subjects,?2018, vol. 1862, # 9, p. 1913 - 1924]"
,,,,,,,Full Text
,,,,,,,Cited 28 timesDetailsAbstract
,,,,,,low water solubility,"Palle, Suresh;?Neerati, Prasad[Xenobiotica,?2018, vol. 48, # 10, p. 1028 - 1036]"
,,,,,,,Full Text
,,,,,,,Cited 7 timesDetailsAbstract
,,,,,,more soluble in PEG 400 than in DMSO,"Baksi, Ruma;?Singh, Devendra Pratap;?Borse, Swapnil P.;?Rana, Rita;?Sharma, Vipin;?Nivsarkar, Manish[Biomedicine and Pharmacotherapy,?2018, vol. 106, p. 1513 - 1526]"
,,,,,,,Full Text
,,,,,,,Cited 116 timesDetailsAbstract
,,,,,,water soluble,"Pangeni, Rudra;?Panthi, Vijay Kumar;?Yoon, In-Soo;?Park, Jin Woo[Pharmaceutics,?2018, vol. 10, # 3, art. no. 158]"
,,,,,,,Full Text
,,,,,,,Cited 28 timesDetailsAbstract
,,,,,,poorly soluble in water,"?elik, Saliha Esin;??zy¨¹rek, Mustafa;?G¨¹?l¨¹, Kubilay;?Apak, Re?at[Journal of Inclusion Phenomena and Macrocyclic Chemistry,?2015, vol. 83, # 3-4, p. 309 - 319]"
,,,,,,,Full Text
,,,,,,,Cited 30 timesDetailsAbstract
,,,,,,,"Patidar, Pooja;?Pillai, Sadafara A.;?Sheth, Urjita;?Bahadur, Pratap;?Bahadur, Anita[Journal of Biotechnology,?2017, vol. 254, p. 43 - 50]"
,,,,,,,Full Text
,,,,,,,Cited 22 timesDetailsAbstract
,,,,,,"slightly soluble in water and diethyl ether and soluble in methanol, ethanol and acetone","Verma, Nishant;?Jha;?Ahmad, Shamim;?Chaudhary, Sudhir;?Ali, Mohammad[Asian Journal of Chemistry,?2017, vol. 29, # 6, p. 1393 - 1400]"
,,,,,,,Full Text
,,,,,,,DetailsAbstract
,,,,,,poor aqueous solubility,"Vasisht, Karan;?Chadha, Kunal;?Karan, Maninder;?Bhalla, Yashika;?Jena, Ashish Kumar;?Chadha, Renu[CrystEngComm,?2016, vol. 18, # 8, p. 1403 - 1415]"
,,,,,,,Full Text
,,,,,,,Cited 48 timesDetailsAbstract
0.00381,in pure solvent,37,water,,,,"Zhang, Kexia;?Zhang, Meiyu;?Liu, Ziying;?Zhang, Yuanyuan;?Gu, Liqiang;?Hu, Gaosheng;?Chen, Xiaohui;?Jia, Jingming[Fitoterapia,?2016, vol. 113, p. 102 - 109]"
,,,,,,,Full Text
,,,,,,,Cited 56 timesDetailsAbstract
0.06013,in pure solvent,37,octanol,,,,"Zhang, Kexia;?Zhang, Meiyu;?Liu, Ziying;?Zhang, Yuanyuan;?Gu, Liqiang;?Hu, Gaosheng;?Chen, Xiaohui;?Jia, Jingming[Fitoterapia,?2016, vol. 113, p. 102 - 109]"
,,,,,,,Full Text
,,,,,,,Cited 56 timesDetailsAbstract
0.00184,,25,chloroform,,,,"Xu, Xin-Rong;?Yu, Hai-Tao;?Yang, Yan;?Hang, Li;?Yang, Xue-Wen;?Ding, Shu-Hua[European Journal of Pharmacology,?2016, vol. 770, p. 1 - 8]"
,,,,,,,Full Text
,,,,,,,Cited 61 timesDetailsAbstract
0.01252,,25,water,,,,"Xu, Xin-Rong;?Yu, Hai-Tao;?Yang, Yan;?Hang, Li;?Yang, Xue-Wen;?Ding, Shu-Hua[European Journal of Pharmacology,?2016, vol. 770, p. 1 - 8]"
,,,,,,,Full Text
,,,,,,,Cited 61 timesDetailsAbstract
,,,,,,"insoluble, or slightly soluble in pure water","Dur¨¢n-Lara, Esteban F.;?L¨®pez-Cort¨¦s, Xaviera A.;?Castro, Ricardo I.;?Avila-Salas, Fabi¨¢n;?Gonz¨¢lez-Nilo, Fernando D.;?Laurie, V. Felipe;?Santos, Leonardo S.[Food Chemistry,?2015, vol. 168, p. 464 - 470]"
,,,,,,,Full Text
,,,,,,,Cited 25 timesDetailsAbstract
,,,,,,ethyl acetate-soluble,"Jiang, Lan;?Numonov, Sodik;?Bobakulov, Khayrulla;?Qureshi, Muhammad Nasimullah;?Zhao, Haiqing;?Aisa, Haji Akber[Molecules,?2015, vol. 20, # 6, p. 11257 - 11271]"
,,,,,,,Full Text
,,,,,,,Cited 47 timesDetailsAbstract
0.0574256,in pure solvent,37,aq. phosphate buffer,,,,"De Winter, Karel;?Dewitte, Griet;?Dirks-Hofmeister, Mareike E.;?De Laet, Sylvie;?Pelantov¨¢, Helena;?K?en, Vladim¨ªr;?Desmet, Tom[Journal of Agricultural and Food Chemistry,?2015, vol. 63, # 46, p. 10131 - 10139]"
,,,,,,,Full Text
,,,,,,,Cited 38 timesDetailsAbstract
,,39.99,water,,,Solubility: 0.00013 weight percent,"Althans, Daniel;?Schrader, Philipp;?Enders, Sabine[Journal of Molecular Liquids,?2014, vol. 196, p. 86 - 93]"
,,,,,,,Full Text
,,,,,,,Cited 44 timesDetailsAbstract
,,,ethanol,,,Solubility: 0.0015 weight percent,"Althans, Daniel;?Schrader, Philipp;?Enders, Sabine[Journal of Molecular Liquids,?2014, vol. 196, p. 86 - 93]"
,,,,,,,Full Text
,,,,,,,Cited 44 timesDetailsAbstract
,,14.99,water,,,Solubility: 2.5E-05 weight percent,"Althans, Daniel;?Schrader, Philipp;?Enders, Sabine[Journal of Molecular Liquids,?2014, vol. 196, p. 86 - 93]"
,,,,,,,Full Text
,,,,,,,Cited 44 timesDetailsAbstract
,,19.99,water,,,Solubility: 2.7E-05 weight percent,"Althans, Daniel;?Schrader, Philipp;?Enders, Sabine[Journal of Molecular Liquids,?2014, vol. 196, p. 86 - 93]"
,,,,,,,Full Text
,,,,,,,Cited 44 timesDetailsAbstract
,,9.99,water,,,Solubility: 2.7E-05 weight percent,"Althans, Daniel;?Schrader, Philipp;?Enders, Sabine[Journal of Molecular Liquids,?2014, vol. 196, p. 86 - 93]"
,,,,,,,Full Text
,,,,,,,Cited 44 timesDetailsAbstract
,,4.99,water,,,Solubility: 3.8E-05 weight percent,"Althans, Daniel;?Schrader, Philipp;?Enders, Sabine[Journal of Molecular Liquids,?2014, vol. 196, p. 86 - 93]"
,,,,,,,Full Text
,,,,,,,Cited 44 timesDetailsAbstract
,,24.99,water,,,Solubility: 3.9E-05 weight percent,"Althans, Daniel;?Schrader, Philipp;?Enders, Sabine[Journal of Molecular Liquids,?2014, vol. 196, p. 86 - 93]"
,,,,,,,Full Text
,,,,,,,Cited 44 timesDetailsAbstract
,,29.99,water,,,Solubility: 4E-05 weight percent,"Althans, Daniel;?Schrader, Philipp;?Enders, Sabine[Journal of Molecular Liquids,?2014, vol. 196, p. 86 - 93]"
,,,,,,,Full Text
,,,,,,,Cited 44 timesDetailsAbstract
,,34.99,water,,,Solubility: 5.6E-05 weight percent,"Althans, Daniel;?Schrader, Philipp;?Enders, Sabine[Journal of Molecular Liquids,?2014, vol. 196, p. 86 - 93]"
,,,,,,,Full Text
,,,,,,,Cited 44 timesDetailsAbstract
,,,,,,soluble in ethanol; sparingly soluble in water,"Rajasekaran, Marichamy;?Annaraj, Jamespandi[Journal of Nanoscience and Nanotechnology,?2014, vol. 14, # 7, p. 4874 - 4879]"
,,,,,,,Full Text
,,,,,,,Cited 10 timesDetailsAbstract
0.030224,in solution,60,aq. buffer,,,,"De Winter, Karel;?Verlinden, Kristien;?Kren, Vladimir;?Weignerova, Lenka;?Soetaert, Wim;?Desmet, Tom[Green Chemistry,?2013, vol. 15, # 7, p. 1949 - 1955]"
,,,,,,,Full Text
,,,,,,,Cited 40 timesDetailsAbstract
0.030224,in solution,60,water,,,,"De Winter, Karel;?Verlinden, Kristien;?Kren, Vladimir;?Weignerova, Lenka;?Soetaert, Wim;?Desmet, Tom[Green Chemistry,?2013, vol. 15, # 7, p. 1949 - 1955]"
,,,,,,,Full Text
,,,,,,,Cited 40 timesDetailsAbstract
0.060448,in solution,60,methanol,,,,"De Winter, Karel;?Verlinden, Kristien;?Kren, Vladimir;?Weignerova, Lenka;?Soetaert, Wim;?Desmet, Tom[Green Chemistry,?2013, vol. 15, # 7, p. 1949 - 1955]"
,,,,,,,Full Text
,,,,,,,Cited 40 timesDetailsAbstract
2.84106,in solution,60,"aq. buffer, dimethyl sulfoxide",(80 percent); dimethylsulfoxide (20 vol percent),,,"De Winter, Karel;?Verlinden, Kristien;?Kren, Vladimir;?Weignerova, Lenka;?Soetaert, Wim;?Desmet, Tom[Green Chemistry,?2013, vol. 15, # 7, p. 1949 - 1955]"
,,,,,,,Full Text
,,,,,,,Cited 40 timesDetailsAbstract
2.84106,in solution,60,dimethyl sulfoxide,,,,"De Winter, Karel;?Verlinden, Kristien;?Kren, Vladimir;?Weignerova, Lenka;?Soetaert, Wim;?Desmet, Tom[Green Chemistry,?2013, vol. 15, # 7, p. 1949 - 1955]"
,,,,,,,Full Text
,,,,,,,Cited 40 timesDetailsAbstract
6.6795,in solution,60,"aq. buffer, dimethyl sulfoxide",(60 percent); dimethylsulfoxide (40 vol percent),,,"De Winter, Karel;?Verlinden, Kristien;?Kren, Vladimir;?Weignerova, Lenka;?Soetaert, Wim;?Desmet, Tom[Green Chemistry,?2013, vol. 15, # 7, p. 1949 - 1955]"
,,,,,,,Full Text
,,,,,,,Cited 40 timesDetailsAbstract
,,,,,,practically insoluble in water,"Dall'Acqua, Stefano;?Miolo, Giorgia;?Innocenti, Gabbriella;?Caffieri, Sergio[Molecules,?2012, vol. 17, # 8, p. 8898 - 8907]"
,,,,,,,Full Text
,,,,,,,Cited 96 timesDetailsAbstract
,in pure solvent,19.64,water,,,Solubility: 0.00504 molpercent,"Razmara, Reza S.;?Daneshfar, Ali;?Sahraei, Reza[Journal of Chemical and Engineering Data,?2010, vol. 55, # 9, p. 3934 - 3936]"
,,,,,,,Full Text
,,,,,,,Cited 70 timesDetailsAbstract
,in pure solvent,25.44,water,,,Solubility: 0.00551 molpercent,"Razmara, Reza S.;?Daneshfar, Ali;?Sahraei, Reza[Journal of Chemical and Engineering Data,?2010, vol. 55, # 9, p. 3934 - 3936]"
,,,,,,,Full Text
,,,,,,,Cited 70 timesDetailsAbstract
,in pure solvent,30.04,water,,,Solubility: 0.00585 molpercent,"Razmara, Reza S.;?Daneshfar, Ali;?Sahraei, Reza[Journal of Chemical and Engineering Data,?2010, vol. 55, # 9, p. 3934 - 3936]"
,,,,,,,Full Text
,,,,,,,Cited 70 timesDetailsAbstract
,in pure solvent,35.44,water,,,Solubility: 0.00618 molpercent,"Razmara, Reza S.;?Daneshfar, Ali;?Sahraei, Reza[Journal of Chemical and Engineering Data,?2010, vol. 55, # 9, p. 3934 - 3936]"
,,,,,,,Full Text
,,,,,,,Cited 70 timesDetailsAbstract
,in pure solvent,40.94,water,,,Solubility: 0.00653 molpercent,"Razmara, Reza S.;?Daneshfar, Ali;?Sahraei, Reza[Journal of Chemical and Engineering Data,?2010, vol. 55, # 9, p. 3934 - 3936]"
,,,,,,,Full Text
,,,,,,,Cited 70 timesDetailsAbstract
,in pure solvent,45.64,water,,,Solubility: 0.0067 molpercent,"Razmara, Reza S.;?Daneshfar, Ali;?Sahraei, Reza[Journal of Chemical and Engineering Data,?2010, vol. 55, # 9, p. 3934 - 3936]"
,,,,,,,Full Text
,,,,,,,Cited 70 timesDetailsAbstract
,in pure solvent,49.04,water,,,Solubility: 0.00691 molpercent,"Razmara, Reza S.;?Daneshfar, Ali;?Sahraei, Reza[Journal of Chemical and Engineering Data,?2010, vol. 55, # 9, p. 3934 - 3936]"
,,,,,,,Full Text
,,,,,,,Cited 70 timesDetailsAbstract
,in pure solvent,52.44,water,,,Solubility: 0.00713 molpercent,"Razmara, Reza S.;?Daneshfar, Ali;?Sahraei, Reza[Journal of Chemical and Engineering Data,?2010, vol. 55, # 9, p. 3934 - 3936]"
,,,,,,,Full Text
,,,,,,,Cited 70 timesDetailsAbstract
,in pure solvent,58.04,water,,,Solubility: 0.00738 molpercent,"Razmara, Reza S.;?Daneshfar, Ali;?Sahraei, Reza[Journal of Chemical and Engineering Data,?2010, vol. 55, # 9, p. 3934 - 3936]"
,,,,,,,Full Text
,,,,,,,Cited 70 timesDetailsAbstract
,in pure solvent,60.64,water,,,Solubility: 0.00753 molpercent,"Razmara, Reza S.;?Daneshfar, Ali;?Sahraei, Reza[Journal of Chemical and Engineering Data,?2010, vol. 55, # 9, p. 3934 - 3936]"
,,,,,,,Full Text
,,,,,,,Cited 70 timesDetailsAbstract
,in pure solvent,19.64,"water, methanol",water (89.69 molpercent); methanol (10.31 molpercent),,Solubility: 0.00734 molpercent,"Razmara, Reza S.;?Daneshfar, Ali;?Sahraei, Reza[Journal of Chemical and Engineering Data,?2010, vol. 55, # 9, p. 3934 - 3936]"
,,,,,,,Full Text
,,,,,,,Cited 70 timesDetailsAbstract
,in pure solvent,25.44,"water, methanol",water (89.69 molpercent); methanol (10.31 molpercent),,Solubility: 0.00921 molpercent,"Razmara, Reza S.;?Daneshfar, Ali;?Sahraei, Reza[Journal of Chemical and Engineering Data,?2010, vol. 55, # 9, p. 3934 - 3936]"
,,,,,,,Full Text
,,,,,,,Cited 70 timesDetailsAbstract
,in pure solvent,30.04,"water, methanol",water (89.69 molpercent); methanol (10.31 molpercent),,Solubility: 0.00965 molpercent,"Razmara, Reza S.;?Daneshfar, Ali;?Sahraei, Reza[Journal of Chemical and Engineering Data,?2010, vol. 55, # 9, p. 3934 - 3936]"
,,,,,,,Full Text
,,,,,,,Cited 70 timesDetailsAbstract
,in pure solvent,35.44,"water, methanol",water (89.69 molpercent); methanol (10.31 molpercent),,Solubility: 0.01004 molpercent,"Razmara, Reza S.;?Daneshfar, Ali;?Sahraei, Reza[Journal of Chemical and Engineering Data,?2010, vol. 55, # 9, p. 3934 - 3936]"
,,,,,,,Full Text
,,,,,,,Cited 70 timesDetailsAbstract
,in pure solvent,40.94,"water, methanol",water (89.69 molpercent); methanol (10.31 molpercent),,Solubility: 0.01242 molpercent,"Razmara, Reza S.;?Daneshfar, Ali;?Sahraei, Reza[Journal of Chemical and Engineering Data,?2010, vol. 55, # 9, p. 3934 - 3936]"
,,,,,,,Full Text
,,,,,,,Cited 70 timesDetailsAbstract
,in pure solvent,45.64,"water, methanol",water (89.69 molpercent); methanol (10.31 molpercent),,Solubility: 0.01367 molpercent,"Razmara, Reza S.;?Daneshfar, Ali;?Sahraei, Reza[Journal of Chemical and Engineering Data,?2010, vol. 55, # 9, p. 3934 - 3936]"
,,,,,,,Full Text
,,,,,,,Cited 70 timesDetailsAbstract
,in pure solvent,49.04,"water, methanol",water (89.69 molpercent); methanol (10.31 molpercent),,Solubility: 0.01434 molpercent,"Razmara, Reza S.;?Daneshfar, Ali;?Sahraei, Reza[Journal of Chemical and Engineering Data,?2010, vol. 55, # 9, p. 3934 - 3936]"
,,,,,,,Full Text
,,,,,,,Cited 70 timesDetailsAbstract
,in pure solvent,52.44,"water, methanol",water (89.69 molpercent); methanol (10.31 molpercent),,Solubility: 0.01541 molpercent,"Razmara, Reza S.;?Daneshfar, Ali;?Sahraei, Reza[Journal of Chemical and Engineering Data,?2010, vol. 55, # 9, p. 3934 - 3936]"
,,,,,,,Full Text
,,,,,,,Cited 70 timesDetailsAbstract
,in pure solvent,58.04,"water, methanol",water (89.69 molpercent); methanol (10.31 molpercent),,Solubility: 0.01823 molpercent,"Razmara, Reza S.;?Daneshfar, Ali;?Sahraei, Reza[Journal of Chemical and Engineering Data,?2010, vol. 55, # 9, p. 3934 - 3936]"
,,,,,,,Full Text
,,,,,,,Cited 70 timesDetailsAbstract
,in pure solvent,60.64,"water, methanol",water (89.69 molpercent); methanol (10.31 molpercent),,Solubility: 0.01916 molpercent,"Razmara, Reza S.;?Daneshfar, Ali;?Sahraei, Reza[Journal of Chemical and Engineering Data,?2010, vol. 55, # 9, p. 3934 - 3936]"
,,,,,,,Full Text
,,,,,,,Cited 70 timesDetailsAbstract
,in pure solvent,19.64,"water, methanol",water (79.58 molpercent); methanol (20.42 molpercent),,Solubility: 0.01065 molpercent,"Razmara, Reza S.;?Daneshfar, Ali;?Sahraei, Reza[Journal of Chemical and Engineering Data,?2010, vol. 55, # 9, p. 3934 - 3936]"
,,,,,,,Full Text
,,,,,,,Cited 70 timesDetailsAbstract
,in pure solvent,25.44,"water, methanol",water (79.58 molpercent); methanol (20.42 molpercent),,Solubility: 0.01476 molpercent,"Razmara, Reza S.;?Daneshfar, Ali;?Sahraei, Reza[Journal of Chemical and Engineering Data,?2010, vol. 55, # 9, p. 3934 - 3936]"
,,,,,,,Full Text
,,,,,,,Cited 70 timesDetailsAbstract
,in pure solvent,30.04,"water, methanol",water (79.58 molpercent); methanol (20.42 molpercent),,Solubility: 0.01546 molpercent,"Razmara, Reza S.;?Daneshfar, Ali;?Sahraei, Reza[Journal of Chemical and Engineering Data,?2010, vol. 55, # 9, p. 3934 - 3936]"
,,,,,,,Full Text
,,,,,,,Cited 70 timesDetailsAbstract
,in pure solvent,35.44,"water, methanol",water (79.58 molpercent); methanol (20.42 molpercent),,Solubility: 0.0161 molpercent,"Razmara, Reza S.;?Daneshfar, Ali;?Sahraei, Reza[Journal of Chemical and Engineering Data,?2010, vol. 55, # 9, p. 3934 - 3936]"
,,,,,,,Full Text
,,,,,,,Cited 70 timesDetailsAbstract
,in pure solvent,40.94,"water, methanol",water (79.58 molpercent); methanol (20.42 molpercent),,Solubility: 0.02119 molpercent,"Razmara, Reza S.;?Daneshfar, Ali;?Sahraei, Reza[Journal of Chemical and Engineering Data,?2010, vol. 55, # 9, p. 3934 - 3936]"
,,,,,,,Full Text
,,,,,,,Cited 70 timesDetailsAbstract
,in pure solvent,45.64,"water, methanol",water (79.58 molpercent); methanol (20.42 molpercent),,Solubility: 0.02315 molpercent,"Razmara, Reza S.;?Daneshfar, Ali;?Sahraei, Reza[Journal of Chemical and Engineering Data,?2010, vol. 55, # 9, p. 3934 - 3936]"
,,,,,,,Full Text
,,,,,,,Cited 70 timesDetailsAbstract
,in pure solvent,49.04,"water, methanol",water (79.58 molpercent); methanol (20.42 molpercent),,Solubility: 0.02587 molpercent,"Razmara, Reza S.;?Daneshfar, Ali;?Sahraei, Reza[Journal of Chemical and Engineering Data,?2010, vol. 55, # 9, p. 3934 - 3936]"
,,,,,,,Full Text
,,,,,,,Cited 70 timesDetailsAbstract
,in pure solvent,52.44,"water, methanol",water (79.58 molpercent); methanol (20.42 molpercent),,Solubility: 0.02713 molpercent,"Razmara, Reza S.;?Daneshfar, Ali;?Sahraei, Reza[Journal of Chemical and Engineering Data,?2010, vol. 55, # 9, p. 3934 - 3936]"
,,,,,,,Full Text
,,,,,,,Cited 70 timesDetailsAbstract
,in pure solvent,58.04,"water, methanol",water (79.58 molpercent); methanol (20.42 molpercent),,Solubility: 0.03061 molpercent,"Razmara, Reza S.;?Daneshfar, Ali;?Sahraei, Reza[Journal of Chemical and Engineering Data,?2010, vol. 55, # 9, p. 3934 - 3936]"
,,,,,,,Full Text
,,,,,,,Cited 70 timesDetailsAbstract
,in pure solvent,60.64,"water, methanol",water (79.58 molpercent); methanol (20.42 molpercent),,Solubility: 0.03184 molpercent,"Razmara, Reza S.;?Daneshfar, Ali;?Sahraei, Reza[Journal of Chemical and Engineering Data,?2010, vol. 55, # 9, p. 3934 - 3936]"
,,,,,,,Full Text
,,,,,,,Cited 70 timesDetailsAbstract
