"Solubility, g°§l-1",Saturation,"Temperature (Solubility (MCS)), °„C",Solvent (Solubility (MCS)),Ratio of Solvents,Location,Comment (Solubility (MCS)),Reference
,,20,,,Paragraph 0060,"soluble in water, soluble in methanol, soluble in hexene, soluble in benzene, soluble in acetone, soluble in trichloromethane","Current Patent Assignee:?ZHANG DEJUN?- CN106508940,?2017, A"
,,,,,,,Full Text
,,,,,,,DetailsAbstract
0.0145,in pure solvent,20,water,,Paragraph 0036,,"Current Patent Assignee:?HEFEI SHANGBANG PLANT PROT TECH?- CN106172387,?2016, A"
,,,,,,,Full Text
,,,,,,,DetailsAbstract
0.2,in pure solvent,20,hexane,,Paragraph 0036,,"Current Patent Assignee:?HEFEI SHANGBANG PLANT PROT TECH?- CN106172387,?2016, A"
,,,,,,,Full Text
,,,,,,,DetailsAbstract
0.7,in pure solvent,20,methanol,,Paragraph 0036,,"Current Patent Assignee:?HEFEI SHANGBANG PLANT PROT TECH?- CN106172387,?2016, A"
,,,,,,,Full Text
,,,,,,,DetailsAbstract
15.6,in pure solvent,20,benzene,,Paragraph 0036,,"Current Patent Assignee:?HEFEI SHANGBANG PLANT PROT TECH?- CN106172387,?2016, A"
,,,,,,,Full Text
,,,,,,,DetailsAbstract
234.4,in pure solvent,20,chloroform,,Paragraph 0036,,"Current Patent Assignee:?HEFEI SHANGBANG PLANT PROT TECH?- CN106172387,?2016, A"
,,,,,,,Full Text
,,,,,,,DetailsAbstract
31.7,in pure solvent,20,acetone,,Paragraph 0036,,"Current Patent Assignee:?HEFEI SHANGBANG PLANT PROT TECH?- CN106172387,?2016, A"
,,,,,,,Full Text
,,,,,,,DetailsAbstract
