"Solubility, g°§l-1",Saturation,"Temperature (Solubility (MCS)), °„C",Solvent (Solubility (MCS)),Ratio of Solvents,Location,Comment (Solubility (MCS)),Reference
0.0228,in pure solvent,25,"water, ethanol",ethanol (30 vol percent),,,"Abdelmonsif, Doaa A.;?Ashour, Asmaa A.;?El-Kamel, Amal H.;?Ramadan, Alyaa A.[International Journal of Pharmaceutics,?2020, vol. 586]"
,,,,,,,Full Text
,,,,,,,Cited 28 timesDetailsAbstract
0.0425,in pure solvent,25,"water, ethanol",ethanol (50 vol percent),,,"Abdelmonsif, Doaa A.;?Ashour, Asmaa A.;?El-Kamel, Amal H.;?Ramadan, Alyaa A.[International Journal of Pharmaceutics,?2020, vol. 586]"
,,,,,,,Full Text
,,,,,,,Cited 28 timesDetailsAbstract
,,,,,Paragraph 0065,insoluble in water,"Current Patent Assignee:?SHANGHAI XINGYE MEDICINE TECH?- CN110016069,?2019, A"
,,,,,,,Full Text
,,,,,,,DetailsAbstract
,,,,,,poorly water-soluble,"Zhang, Ling;?Sun, Hanzi;?Chen, Zhen;?Liu, Zhengsheng;?Huang, Niu;?Qian, Feng[Molecular Pharmaceutics,?2017, vol. 14, # 10, p. 3568 - 3576]"
,,,,,,,Full Text
,,,,,,,Cited 9 timesDetailsAbstract
,,,,,,insoluble in water; slightly soluble in 50% methanol-water,"Liang, Wen-Fei;?Li, Zi-Wei;?Ji, Shuai;?Wang, Qi;?Qiao, Xue;?Guo, De-An;?Ye, Min[RSC Advances,?2015, vol. 5, # 78, p. 63753 - 63756]"
,,,,,,,Full Text
,,,,,,,Cited 9 timesDetailsAbstract
1.83,in pure solvent,,"polyethylene, methanol, glycerol",methanol (2 vol percent); glycerol (1 vol percent); (2 vol percent),,,"Long, Wei;?Zhang, Shi-Chang;?Wen, Lu;?Mu, Lei;?Yang, Fan;?Chen, Gang[Journal of Ethnopharmacology,?2014, vol. 156, p. 199 - 208]"
,,,,,,,Full Text
,,,,,,,Cited 31 timesDetailsAbstract
,,,,,,poorly soluble in water,"Buenafe, Olivia Erin;?Orellana-Paucar, Adriana;?Maes, Jan;?Huang, Hao;?Ying, Xuhui;?De Borggraeve, Wim;?Crawford, Alexander D.;?Luyten, Walter;?Esguerra, Camila V.;?De Witte, Peter[ACS Chemical Neuroscience,?2013, vol. 4, # 11, p. 1479 - 1487]"
,,,,,,,Full Text
,,,,,,,Cited 78 timesDetailsAbstract
0.732932,,10.04,ethanol,,,,"Zhao, Xia;?Gan, Lishe;?Zhou, Changxin[Journal of Chemical and Engineering Data,?2008, vol. 53, # 8, p. 1975 - 1977]"
,,,,,,,Full Text
,,,,,,,Cited 3 timesDetailsAbstract
0.609305,,10.04,methanol,,,,"Zhao, Xia;?Gan, Lishe;?Zhou, Changxin[Journal of Chemical and Engineering Data,?2008, vol. 53, # 8, p. 1975 - 1977]"
,,,,,,,Full Text
,,,,,,,Cited 3 timesDetailsAbstract
2.82576,,10.04,acetone,,,,"Zhao, Xia;?Gan, Lishe;?Zhou, Changxin[Journal of Chemical and Engineering Data,?2008, vol. 53, # 8, p. 1975 - 1977]"
,,,,,,,Full Text
,,,,,,,Cited 3 timesDetailsAbstract
2.38129,,10.04,ethyl acetate,,,,"Zhao, Xia;?Gan, Lishe;?Zhou, Changxin[Journal of Chemical and Engineering Data,?2008, vol. 53, # 8, p. 1975 - 1977]"
,,,,,,,Full Text
,,,,,,,Cited 3 timesDetailsAbstract
0.868333,,20.14,ethanol,,,,"Zhao, Xia;?Gan, Lishe;?Zhou, Changxin[Journal of Chemical and Engineering Data,?2008, vol. 53, # 8, p. 1975 - 1977]"
,,,,,,,Full Text
,,,,,,,Cited 3 timesDetailsAbstract
0.759423,,20.14,methanol,,,,"Zhao, Xia;?Gan, Lishe;?Zhou, Changxin[Journal of Chemical and Engineering Data,?2008, vol. 53, # 8, p. 1975 - 1977]"
,,,,,,,Full Text
,,,,,,,Cited 3 timesDetailsAbstract
3.56458,,20.14,acetone,,,,"Zhao, Xia;?Gan, Lishe;?Zhou, Changxin[Journal of Chemical and Engineering Data,?2008, vol. 53, # 8, p. 1975 - 1977]"
,,,,,,,Full Text
,,,,,,,Cited 3 timesDetailsAbstract
3.32027,,20.14,ethyl acetate,,,,"Zhao, Xia;?Gan, Lishe;?Zhou, Changxin[Journal of Chemical and Engineering Data,?2008, vol. 53, # 8, p. 1975 - 1977]"
,,,,,,,Full Text
,,,,,,,Cited 3 timesDetailsAbstract
1.14502,,29.94,ethanol,,,,"Zhao, Xia;?Gan, Lishe;?Zhou, Changxin[Journal of Chemical and Engineering Data,?2008, vol. 53, # 8, p. 1975 - 1977]"
,,,,,,,Full Text
,,,,,,,Cited 3 timesDetailsAbstract
1.06849,,29.94,methanol,,,,"Zhao, Xia;?Gan, Lishe;?Zhou, Changxin[Journal of Chemical and Engineering Data,?2008, vol. 53, # 8, p. 1975 - 1977]"
,,,,,,,Full Text
,,,,,,,Cited 3 timesDetailsAbstract
4.03848,,29.94,acetone,,,,"Zhao, Xia;?Gan, Lishe;?Zhou, Changxin[Journal of Chemical and Engineering Data,?2008, vol. 53, # 8, p. 1975 - 1977]"
,,,,,,,Full Text
,,,,,,,Cited 3 timesDetailsAbstract
3.77062,,29.94,ethyl acetate,,,,"Zhao, Xia;?Gan, Lishe;?Zhou, Changxin[Journal of Chemical and Engineering Data,?2008, vol. 53, # 8, p. 1975 - 1977]"
,,,,,,,Full Text
,,,,,,,Cited 3 timesDetailsAbstract
1.29808,,35.04,ethanol,,,,"Zhao, Xia;?Gan, Lishe;?Zhou, Changxin[Journal of Chemical and Engineering Data,?2008, vol. 53, # 8, p. 1975 - 1977]"
,,,,,,,Full Text
,,,,,,,Cited 3 timesDetailsAbstract
1.23921,,35.04,methanol,,,,"Zhao, Xia;?Gan, Lishe;?Zhou, Changxin[Journal of Chemical and Engineering Data,?2008, vol. 53, # 8, p. 1975 - 1977]"
,,,,,,,Full Text
,,,,,,,Cited 3 timesDetailsAbstract
4.57126,,35.04,acetone,,,,"Zhao, Xia;?Gan, Lishe;?Zhou, Changxin[Journal of Chemical and Engineering Data,?2008, vol. 53, # 8, p. 1975 - 1977]"
,,,,,,,Full Text
,,,,,,,Cited 3 timesDetailsAbstract
4.36227,,35.04,ethyl acetate,,,,"Zhao, Xia;?Gan, Lishe;?Zhou, Changxin[Journal of Chemical and Engineering Data,?2008, vol. 53, # 8, p. 1975 - 1977]"
,,,,,,,Full Text
,,,,,,,Cited 3 timesDetailsAbstract
1.94565,,44.84,ethanol,,,,"Zhao, Xia;?Gan, Lishe;?Zhou, Changxin[Journal of Chemical and Engineering Data,?2008, vol. 53, # 8, p. 1975 - 1977]"
,,,,,,,Full Text
,,,,,,,Cited 3 timesDetailsAbstract
1.85441,,44.84,methanol,,,,"Zhao, Xia;?Gan, Lishe;?Zhou, Changxin[Journal of Chemical and Engineering Data,?2008, vol. 53, # 8, p. 1975 - 1977]"
,,,,,,,Full Text
,,,,,,,Cited 3 timesDetailsAbstract
5.78398,,44.84,acetone,,,,"Zhao, Xia;?Gan, Lishe;?Zhou, Changxin[Journal of Chemical and Engineering Data,?2008, vol. 53, # 8, p. 1975 - 1977]"
,,,,,,,Full Text
,,,,,,,Cited 3 timesDetailsAbstract
5.39544,,44.84,ethyl acetate,,,,"Zhao, Xia;?Gan, Lishe;?Zhou, Changxin[Journal of Chemical and Engineering Data,?2008, vol. 53, # 8, p. 1975 - 1977]"
,,,,,,,Full Text
,,,,,,,Cited 3 timesDetailsAbstract
2.50786,,50.14,ethanol,,,,"Zhao, Xia;?Gan, Lishe;?Zhou, Changxin[Journal of Chemical and Engineering Data,?2008, vol. 53, # 8, p. 1975 - 1977]"
,,,,,,,Full Text
,,,,,,,Cited 3 timesDetailsAbstract
2.35774,,50.14,methanol,,,,"Zhao, Xia;?Gan, Lishe;?Zhou, Changxin[Journal of Chemical and Engineering Data,?2008, vol. 53, # 8, p. 1975 - 1977]"
,,,,,,,Full Text
,,,,,,,Cited 3 timesDetailsAbstract
