"Solubility, g°§l-1",Saturation,"Temperature (Solubility (MCS)), °„C",Solvent (Solubility (MCS)),Ratio of Solvents,Location,Comment (Solubility (MCS)),Reference
,,,,,,low solubility in water,"Scheel, Guilherme Luiz;?Teixeira Tarley, C®¶sar Ricardo[Journal of Molecular Liquids,?2020, vol. 297, art. no. 111897]"
,,,,,,,Full Text
,,,,,,,Cited 24 timesDetailsAbstract
0.0031,in pure solvent,20,water,,Page/Page column 16,,"Current Patent Assignee:?VIVE CROP PROTECTION?- WO2013/93578,?2013, A1"
,,,,,,,Full Text
,,,,,,,DetailsAbstract
250,in pure solvent,20,"5,5-dimethyl-1,3-cyclohexadiene",,Page/Page column 16,,"Current Patent Assignee:?VIVE CROP PROTECTION?- WO2013/93578,?2013, A1"
,,,,,,,Full Text
,,,,,,,DetailsAbstract
250,in pure solvent,20,ethyl acetate,,Page/Page column 16,,"Current Patent Assignee:?VIVE CROP PROTECTION?- WO2013/93578,?2013, A1"
,,,,,,,Full Text
,,,,,,,DetailsAbstract
250,in pure solvent,20,ethylenediamine,,Page/Page column 16,,"Current Patent Assignee:?VIVE CROP PROTECTION?- WO2013/93578,?2013, A1"
,,,,,,,Full Text
,,,,,,,DetailsAbstract
250,in pure solvent,20,acetone,,Page/Page column 16,,"Current Patent Assignee:?VIVE CROP PROTECTION?- WO2013/93578,?2013, A1"
,,,,,,,Full Text
,,,,,,,DetailsAbstract
96,in pure solvent,20,methanol,,Page/Page column 16,,"Current Patent Assignee:?VIVE CROP PROTECTION?- WO2013/93578,?2013, A1"
,,,,,,,Full Text
,,,,,,,DetailsAbstract
