"Solubility, g°§l-1",Saturation,"Temperature (Solubility (MCS)), °„C",Solvent (Solubility (MCS)),Ratio of Solvents,Location,Comment (Solubility (MCS)),Reference
,in pure solvent,20,H2O,,,Solubility: 1.58 p(g/100g solution),"Gracin, Sandra;?Rasmuson, Ake C.[Journal of Chemical and Engineering Data,?2002, vol. 47, # 6, p. 1379 - 1383]"
,,,,,,,Full Text
,,,,,,,Cited 114 timesDetailsAbstract
,in pure solvent,20,methanol,,,Solubility: 291.5 p(g/100g solution),"Gracin, Sandra;?Rasmuson, Ake C.[Journal of Chemical and Engineering Data,?2002, vol. 47, # 6, p. 1379 - 1383]"
,,,,,,,Full Text
,,,,,,,Cited 114 timesDetailsAbstract
,in pure solvent,20,ethanol,,,Solubility: 206.4 p(g/100g solution),"Gracin, Sandra;?Rasmuson, Ake C.[Journal of Chemical and Engineering Data,?2002, vol. 47, # 6, p. 1379 - 1383]"
,,,,,,,Full Text
,,,,,,,Cited 114 timesDetailsAbstract
,in pure solvent,20,propan-2-ol,,,Solubility: 138.2 p(g/100g solution),"Gracin, Sandra;?Rasmuson, Ake C.[Journal of Chemical and Engineering Data,?2002, vol. 47, # 6, p. 1379 - 1383]"
,,,,,,,Full Text
,,,,,,,Cited 114 timesDetailsAbstract
,in pure solvent,20,acetone,,,Solubility: 172 p(g/100g solution),"Gracin, Sandra;?Rasmuson, Ake C.[Journal of Chemical and Engineering Data,?2002, vol. 47, # 6, p. 1379 - 1383]"
,,,,,,,Full Text
,,,,,,,Cited 114 timesDetailsAbstract
,in pure solvent,20,various solvent(s),,,Solubility: 80.35 p(g/100g solution),"Gracin, Sandra;?Rasmuson, Ake C.[Journal of Chemical and Engineering Data,?2002, vol. 47, # 6, p. 1379 - 1383]"
,,,,,,,Full Text
,,,,,,,Cited 114 timesDetailsAbstract
,in pure solvent,20,CHCl3,,,Solubility: 63.71 p(g/100g solution),"Gracin, Sandra;?Rasmuson, Ake C.[Journal of Chemical and Engineering Data,?2002, vol. 47, # 6, p. 1379 - 1383]"
,,,,,,,Full Text
,,,,,,,Cited 114 timesDetailsAbstract
,in pure solvent,20,ethyl acetate,,,Solubility: 82.54 p(g/100g solution),"Gracin, Sandra;?Rasmuson, Ake C.[Journal of Chemical and Engineering Data,?2002, vol. 47, # 6, p. 1379 - 1383]"
,,,,,,,Full Text
,,,,,,,Cited 114 timesDetailsAbstract
,in pure solvent,20,toluene,,,Solubility: 37.79 p(g/100g solution),"Gracin, Sandra;?Rasmuson, Ake C.[Journal of Chemical and Engineering Data,?2002, vol. 47, # 6, p. 1379 - 1383]"
,,,,,,,Full Text
,,,,,,,Cited 114 timesDetailsAbstract
,in pure solvent,,,,,,"Yalkowsky;?Valvani[Journal of Pharmaceutical Sciences,?1980, vol. 69, # 8, p. 912 - 922]"
,,,,,,,Full Text
,,,,,,,Cited 522 timesDetailsAbstract
,,,,,,,"Pinsuwan, Sirirat;?Myrdal, Paul B.;?Lee, Yung-Chi;?Yalkowsky, Samuel H.[Chemosphere,?1997, vol. 35, # 11, p. 2503 - 2513]"
,,,,,,,Full Text
,,,,,,,Cited 24 timesDetailsAbstract
