"Solubility, g°§l-1",Saturation,"Temperature (Solubility (MCS)), °„C",Solvent (Solubility (MCS)),Ratio of Solvents,Location,Comment (Solubility (MCS)),Reference
,,25,CH2Cl2,,,100 g solvent dissolves. 58.2 g Substance.,"Jones;?Love[Journal of the American Chemical Society,?1937, vol. 59, p. 2695]"
,,,,,,,Full Text
,,,,,,,Details
,,100,H2O,,,100 g solvent dissolves. 0.0015 g Substance.,"Jones;?Love[Journal of the American Chemical Society,?1937, vol. 59, p. 2695]"
,,,,,,,Full Text
,,,,,,,Details
734,in solution,20,CHCl3,,,,"Jones;?Smith[Journal of the American Chemical Society,?1930, vol. 52, p. 2557,2558, 2560]"
,,,,,,,Full Text
,,,,,,,Details
6,in solution,20,CCl4,,,,"Jones;?Smith[Journal of the American Chemical Society,?1930, vol. 52, p. 2557,2558, 2560]"
,,,,,,,Full Text
,,,,,,,Details
443,in solution,20,"1,2-dichloro-ethane",,,,"Jones;?Smith[Journal of the American Chemical Society,?1930, vol. 52, p. 2557,2558, 2560]"
,,,,,,,Full Text
,,,,,,,Details
190,in solution,20,trichloroethene,,,,"Jones;?Smith[Journal of the American Chemical Society,?1930, vol. 52, p. 2557,2558, 2560]"
,,,,,,,Full Text
,,,,,,,Details
85,in solution,20,benzene,,,,"Jones;?Smith[Journal of the American Chemical Society,?1930, vol. 52, p. 2557,2558, 2560]"
,,,,,,,Full Text
,,,,,,,Details
67,in solution,20,toluene,,,,"Jones;?Smith[Journal of the American Chemical Society,?1930, vol. 52, p. 2557,2558, 2560]"
,,,,,,,Full Text
,,,,,,,Details
2,in solution,20,methanol,,,,"Jones;?Smith[Journal of the American Chemical Society,?1930, vol. 52, p. 2557,2558, 2560]"
,,,,,,,Full Text
,,,,,,,Details
2,in solution,20,ethanol,,,,"Jones;?Smith[Journal of the American Chemical Society,?1930, vol. 52, p. 2557,2558, 2560]"
,,,,,,,Full Text
,,,,,,,Details
4,in solution,20,diethyl ether,,,,"Jones;?Smith[Journal of the American Chemical Society,?1930, vol. 52, p. 2557,2558, 2560]"
,,,,,,,Full Text
,,,,,,,Details
2,in solution,20,propan-2-ol,,,,"Jones;?Smith[Journal of the American Chemical Society,?1930, vol. 52, p. 2557,2558, 2560]"
,,,,,,,Full Text
,,,,,,,Details
2,in solution,20,butan-1-ol,,,,"Jones;?Smith[Journal of the American Chemical Society,?1930, vol. 52, p. 2557,2558, 2560]"
,,,,,,,Full Text
,,,,,,,Details
69,in solution,20,acetone,,,,"Jones;?Smith[Journal of the American Chemical Society,?1930, vol. 52, p. 2557,2558, 2560]"
,,,,,,,Full Text
,,,,,,,Details
24,in solution,20,acetic acid,,,,"Jones;?Smith[Journal of the American Chemical Society,?1930, vol. 52, p. 2557,2558, 2560]"
,,,,,,,Full Text
,,,,,,,Details
49,in solution,20,ethyl acetate,,,,"Jones;?Smith[Journal of the American Chemical Society,?1930, vol. 52, p. 2557,2558, 2560]"
,,,,,,,Full Text
,,,,,,,Details
16,in solution,20,acetic acid 3-methyl-butyl ester,,,,"Jones;?Smith[Journal of the American Chemical Society,?1930, vol. 52, p. 2557,2558, 2560]"
,,,,,,,Full Text
,,,,,,,Details
16,in solution,20,CS2,,,,"Jones;?Smith[Journal of the American Chemical Society,?1930, vol. 52, p. 2557,2558, 2560]"
,,,,,,,Full Text
,,,,,,,Details
