"Solubility, g°§l-1",Saturation,"Temperature (Solubility (MCS)), °„C",Solvent (Solubility (MCS)),Ratio of Solvents,Location,Comment (Solubility (MCS)),Reference
41.667,in solution,,hexane,,,in boiling solvent.,"Honeywell;?Bills[Journal of Biological Chemistry,?1932, vol. 99, p. 71,76]"
,,,,,,,Full Text
,,,,,,,Details
,,,methylcyclohexane,,,<2 ml solvent dissolves.in boiling solvent.,"Honeywell;?Bills[Journal of Biological Chemistry,?1932, vol. 99, p. 71,76]"
,,,,,,,Full Text
,,,,,,,Details
217.391,in solution,,benzene,,,in boiling solvent.,"Honeywell;?Bills[Journal of Biological Chemistry,?1932, vol. 99, p. 71,76]"
,,,,,,,Full Text
,,,,,,,Details
3.571,in solution,,methanol,,,in boiling solvent.,"Honeywell;?Bills[Journal of Biological Chemistry,?1932, vol. 99, p. 71,76]"
,,,,,,,Full Text
,,,,,,,Details
20,in solution,,ethanol,,,in boiling solvent.,"Honeywell;?Bills[Journal of Biological Chemistry,?1932, vol. 99, p. 71,76]"
,,,,,,,Full Text
,,,,,,,Details
100,in solution,,propan-2-ol,,,in boiling solvent.,"Honeywell;?Bills[Journal of Biological Chemistry,?1932, vol. 99, p. 71,76]"
,,,,,,,Full Text
,,,,,,,Details
14.286,in solution,,diethyl ether,,,in boiling solvent.,"Honeywell;?Bills[Journal of Biological Chemistry,?1932, vol. 99, p. 71,76]"
,,,,,,,Full Text
,,,,,,,Details
37.037,in solution,,acetone,,,in boiling solvent.,"Honeywell;?Bills[Journal of Biological Chemistry,?1932, vol. 99, p. 71,76]"
,,,,,,,Full Text
,,,,,,,Details
28.571,in solution,,methyl acetate,,,in boiling solvent.,"Honeywell;?Bills[Journal of Biological Chemistry,?1932, vol. 99, p. 71,76]"
,,,,,,,Full Text
,,,,,,,Details
153.846,in solution,,ethyl acetate,,,in boiling solvent.,"Honeywell;?Bills[Journal of Biological Chemistry,?1932, vol. 99, p. 71,76]"
,,,,,,,Full Text
,,,,,,,Details
,,,CHCl3,,,50 g solvent dissolves. 1 g Substance.,"Tanret[Annales de Chimie (Cachan, France),?1908, vol. <8> 15, p. 313,319][Bulletin de la Societe Chimique de France,?1922, vol. <4> 31, p. 444,446]"
,,,,,,,Full Text
,,,,,,,Details
,,,diethyl ether,,,50 g solvent dissolves. 1 g Substance.,"Tanret[Annales de Chimie (Cachan, France),?1908, vol. <8> 15, p. 313,319][Bulletin de la Societe Chimique de France,?1922, vol. <4> 31, p. 444,446]"
,,,,,,,Full Text
,,,,,,,Details
,,,diethyl ether,,,28 g solvent dissolves. 1 g Substance.in boiling solvent.,"Tanret[Annales de Chimie (Cachan, France),?1908, vol. <8> 15, p. 313,319][Bulletin de la Societe Chimique de France,?1922, vol. <4> 31, p. 444,446]"
,,,,,,,Full Text
,,,,,,,Details
,,,acetone,,,200 g solvent dissolves. 1 g Substance.,"Tanret[Annales de Chimie (Cachan, France),?1908, vol. <8> 15, p. 313,319][Bulletin de la Societe Chimique de France,?1922, vol. <4> 31, p. 444,446]"
,,,,,,,Full Text
,,,,,,,Details
,,,acetone,,,32 g solvent dissolves. 1 g Substance.in boiling solvent.,"Tanret[Annales de Chimie (Cachan, France),?1908, vol. <8> 15, p. 313,319][Bulletin de la Societe Chimique de France,?1922, vol. <4> 31, p. 444,446]"
,,,,,,,Full Text
,,,,,,,Details
,,,benzene,,,94 g solvent dissolves. 1 g Substance.,"Tanret[Annales de Chimie (Cachan, France),?1908, vol. <8> 15, p. 313,319][Bulletin de la Societe Chimique de France,?1922, vol. <4> 31, p. 444,446]"
,,,,,,,Full Text
,,,,,,,Details
,,,"ethanol, H2O",,,526 g solvent dissolves. 1 g Substance.,"Tanret[Annales de Chimie (Cachan, France),?1908, vol. <8> 15, p. 313,319][Bulletin de la Societe Chimique de France,?1922, vol. <4> 31, p. 444,446]"
,,,,,,,Full Text
,,,,,,,Details
,,,"ethanol, H2O",,,36 g solvent dissolves. 1 g Substance.in boiling solvent.,"Tanret[Annales de Chimie (Cachan, France),?1908, vol. <8> 15, p. 313,319][Bulletin de la Societe Chimique de France,?1922, vol. <4> 31, p. 444,446]"
,,,,,,,Full Text
,,,,,,,Details
