"Solubility, g°§l-1",Saturation,"Temperature (Solubility (MCS)), °„C",Solvent (Solubility (MCS)),Ratio of Solvents,Location,Comment (Solubility (MCS)),Reference
,in solution,0.8,various solvent(s),,,Solubility: 0.25 mol-percent,"Rolinska, Jolanta;?Hofman, Tadeusz[Journal of Chemical and Engineering Data,?2004, vol. 49, # 3, p. 492 - 496]"
,,,,,,,Full Text
,,,,,,,Cited 3 timesDetailsAbstract
,in solution,20.75,various solvent(s),,,Solubility: 3.8 mol-percent,"Rolinska, Jolanta;?Hofman, Tadeusz[Journal of Chemical and Engineering Data,?2004, vol. 49, # 3, p. 492 - 496]"
,,,,,,,Full Text
,,,,,,,Cited 3 timesDetailsAbstract
,in solution,38.7,various solvent(s),,,Solubility: 31.2 mol-percent,"Rolinska, Jolanta;?Hofman, Tadeusz[Journal of Chemical and Engineering Data,?2004, vol. 49, # 3, p. 492 - 496]"
,,,,,,,Full Text
,,,,,,,Cited 3 timesDetailsAbstract
,in solution,45.5,various solvent(s),,,Solubility: 63.5 mol-percent,"Rolinska, Jolanta;?Hofman, Tadeusz[Journal of Chemical and Engineering Data,?2004, vol. 49, # 3, p. 492 - 496]"
,,,,,,,Full Text
,,,,,,,Cited 3 timesDetailsAbstract
,in solution,2.3,dibutyl ether,,,Solubility: 0.35 mol-percent,"Rolinska, Jolanta;?Hofman, Tadeusz[Journal of Chemical and Engineering Data,?2004, vol. 49, # 3, p. 492 - 496]"
,,,,,,,Full Text
,,,,,,,Cited 3 timesDetailsAbstract
,in solution,21.2,dibutyl ether,,,Solubility: 4.19 mol-percent,"Rolinska, Jolanta;?Hofman, Tadeusz[Journal of Chemical and Engineering Data,?2004, vol. 49, # 3, p. 492 - 496]"
,,,,,,,Full Text
,,,,,,,Cited 3 timesDetailsAbstract
,in solution,40,dibutyl ether,,,Solubility: 35.7 mol-percent,"Rolinska, Jolanta;?Hofman, Tadeusz[Journal of Chemical and Engineering Data,?2004, vol. 49, # 3, p. 492 - 496]"
,,,,,,,Full Text
,,,,,,,Cited 3 timesDetailsAbstract
,in solution,47,dibutyl ether,,,Solubility: 74.4 mol-percent,"Rolinska, Jolanta;?Hofman, Tadeusz[Journal of Chemical and Engineering Data,?2004, vol. 49, # 3, p. 492 - 496]"
,,,,,,,Full Text
,,,,,,,Cited 3 timesDetailsAbstract
,in solution,2.2,various solvent(s),,,Solubility: 0.27 mol-percent,"Rolinska, Jolanta;?Hofman, Tadeusz[Journal of Chemical and Engineering Data,?2004, vol. 49, # 3, p. 492 - 496]"
,,,,,,,Full Text
,,,,,,,Cited 3 timesDetailsAbstract
,in solution,21,various solvent(s),,,Solubility: 3.71 mol-percent,"Rolinska, Jolanta;?Hofman, Tadeusz[Journal of Chemical and Engineering Data,?2004, vol. 49, # 3, p. 492 - 496]"
,,,,,,,Full Text
,,,,,,,Cited 3 timesDetailsAbstract
,in solution,37.9,various solvent(s),,,Solubility: 28.17 mol-percent,"Rolinska, Jolanta;?Hofman, Tadeusz[Journal of Chemical and Engineering Data,?2004, vol. 49, # 3, p. 492 - 496]"
,,,,,,,Full Text
,,,,,,,Cited 3 timesDetailsAbstract
,in solution,47.3,various solvent(s),,,Solubility: 74.1 mol-percent,"Rolinska, Jolanta;?Hofman, Tadeusz[Journal of Chemical and Engineering Data,?2004, vol. 49, # 3, p. 492 - 496]"
,,,,,,,Full Text
,,,,,,,Cited 3 timesDetailsAbstract
,in solution,2.6,various solvent(s),,,Solubility: 0.31 mol-percent,"Rolinska, Jolanta;?Hofman, Tadeusz[Journal of Chemical and Engineering Data,?2004, vol. 49, # 3, p. 492 - 496]"
,,,,,,,Full Text
,,,,,,,Cited 3 timesDetailsAbstract
,in solution,22.05,various solvent(s),,,Solubility: 4.13 mol-percent,"Rolinska, Jolanta;?Hofman, Tadeusz[Journal of Chemical and Engineering Data,?2004, vol. 49, # 3, p. 492 - 496]"
,,,,,,,Full Text
,,,,,,,Cited 3 timesDetailsAbstract
,in solution,38.4,various solvent(s),,,Solubility: 28.04 mol-percent,"Rolinska, Jolanta;?Hofman, Tadeusz[Journal of Chemical and Engineering Data,?2004, vol. 49, # 3, p. 492 - 496]"
,,,,,,,Full Text
,,,,,,,Cited 3 timesDetailsAbstract
,in solution,46.55,various solvent(s),,,Solubility: 71.9 mol-percent,"Rolinska, Jolanta;?Hofman, Tadeusz[Journal of Chemical and Engineering Data,?2004, vol. 49, # 3, p. 492 - 496]"
,,,,,,,Full Text
,,,,,,,Cited 3 timesDetailsAbstract
