"Solubility, g°§l-1",Saturation,"Temperature (Solubility (MCS)), °„C",Solvent (Solubility (MCS)),Ratio of Solvents,Location,Comment (Solubility (MCS)),Reference
,in pure solvent,50,acetone,,,Solubility: 5.69 p(g/100g solution),"Correia, Patricia;?Lopes, Carlos;?Piedade, Manuel E.M.;?Lourenco, Joao A.A.;?Serrano, Maria L.[Journal of Chemical and Engineering Data,?2006, vol. 51, # 4, p. 1306 - 1309]"
,,,,,,,Full Text
,,,,,,,Cited 20 timesDetailsAbstract
,in pure solvent,50,acetone,,,Solubility: 5.94 p(g/100g solution),"Correia, Patricia;?Lopes, Carlos;?Piedade, Manuel E.M.;?Lourenco, Joao A.A.;?Serrano, Maria L.[Journal of Chemical and Engineering Data,?2006, vol. 51, # 4, p. 1306 - 1309]"
,,,,,,,Full Text
,,,,,,,Cited 20 timesDetailsAbstract
,in pure solvent,42,acetone,,,Solubility: 4.57 p(g/100g solution),"Correia, Patricia;?Lopes, Carlos;?Piedade, Manuel E.M.;?Lourenco, Joao A.A.;?Serrano, Maria L.[Journal of Chemical and Engineering Data,?2006, vol. 51, # 4, p. 1306 - 1309]"
,,,,,,,Full Text
,,,,,,,Cited 20 timesDetailsAbstract
,in pure solvent,42,acetone,,,Solubility: 5.06 p(g/100g solution),"Correia, Patricia;?Lopes, Carlos;?Piedade, Manuel E.M.;?Lourenco, Joao A.A.;?Serrano, Maria L.[Journal of Chemical and Engineering Data,?2006, vol. 51, # 4, p. 1306 - 1309]"
,,,,,,,Full Text
,,,,,,,Cited 20 timesDetailsAbstract
,in pure solvent,40,acetone,,,Solubility: 4.32 p(g/100g solution),"Correia, Patricia;?Lopes, Carlos;?Piedade, Manuel E.M.;?Lourenco, Joao A.A.;?Serrano, Maria L.[Journal of Chemical and Engineering Data,?2006, vol. 51, # 4, p. 1306 - 1309]"
,,,,,,,Full Text
,,,,,,,Cited 20 timesDetailsAbstract
,in pure solvent,40,acetone,,,Solubility: 4.26 p(g/100g solution),"Correia, Patricia;?Lopes, Carlos;?Piedade, Manuel E.M.;?Lourenco, Joao A.A.;?Serrano, Maria L.[Journal of Chemical and Engineering Data,?2006, vol. 51, # 4, p. 1306 - 1309]"
,,,,,,,Full Text
,,,,,,,Cited 20 timesDetailsAbstract
,in pure solvent,33,acetone,,,Solubility: 3.55 p(g/100g solution),"Correia, Patricia;?Lopes, Carlos;?Piedade, Manuel E.M.;?Lourenco, Joao A.A.;?Serrano, Maria L.[Journal of Chemical and Engineering Data,?2006, vol. 51, # 4, p. 1306 - 1309]"
,,,,,,,Full Text
,,,,,,,Cited 20 timesDetailsAbstract
,in pure solvent,33,acetone,,,Solubility: 3.39 p(g/100g solution),"Correia, Patricia;?Lopes, Carlos;?Piedade, Manuel E.M.;?Lourenco, Joao A.A.;?Serrano, Maria L.[Journal of Chemical and Engineering Data,?2006, vol. 51, # 4, p. 1306 - 1309]"
,,,,,,,Full Text
,,,,,,,Cited 20 timesDetailsAbstract
,in pure solvent,18.3,acetone,,,Solubility: 2.35 p(g/100g solution),"Correia, Patricia;?Lopes, Carlos;?Piedade, Manuel E.M.;?Lourenco, Joao A.A.;?Serrano, Maria L.[Journal of Chemical and Engineering Data,?2006, vol. 51, # 4, p. 1306 - 1309]"
,,,,,,,Full Text
,,,,,,,Cited 20 timesDetailsAbstract
,in pure solvent,18.3,acetone,,,Solubility: 2.65 p(g/100g solution),"Correia, Patricia;?Lopes, Carlos;?Piedade, Manuel E.M.;?Lourenco, Joao A.A.;?Serrano, Maria L.[Journal of Chemical and Engineering Data,?2006, vol. 51, # 4, p. 1306 - 1309]"
,,,,,,,Full Text
,,,,,,,Cited 20 timesDetailsAbstract
