"Solubility, g°§l-1",Saturation,"Temperature (Solubility (MCS)), °„C",Solvent (Solubility (MCS)),Ratio of Solvents,Location,Comment (Solubility (MCS)),Reference
,in solution,20.59,ethyl acetate,,,Solubility: 1.29 mol/1000mol,"Guo, Lai;?Fan, Rui-Lan;?Yun, Guan-Qun;?Chen, Cong-Yan[Journal of Chemical and Engineering Data,?2013, vol. 58, # 8, p. 2267 - 2271]"
,,,,,,,Full Text
,,,,,,,Cited 2 timesDetailsAbstract
,in solution,10.49,"1,2-dichloro-ethane",,,Solubility: 1.34 mol/1000mol,"Guo, Lai;?Fan, Rui-Lan;?Yun, Guan-Qun;?Chen, Cong-Yan[Journal of Chemical and Engineering Data,?2013, vol. 58, # 8, p. 2267 - 2271]"
,,,,,,,Full Text
,,,,,,,Cited 2 timesDetailsAbstract
,in solution,25.19,ethyl acetate,,,Solubility: 1.41 mol/1000mol,"Guo, Lai;?Fan, Rui-Lan;?Yun, Guan-Qun;?Chen, Cong-Yan[Journal of Chemical and Engineering Data,?2013, vol. 58, # 8, p. 2267 - 2271]"
,,,,,,,Full Text
,,,,,,,Cited 2 timesDetailsAbstract
,in solution,15.39,"1,2-dichloro-ethane",,,Solubility: 1.56 mol/1000mol,"Guo, Lai;?Fan, Rui-Lan;?Yun, Guan-Qun;?Chen, Cong-Yan[Journal of Chemical and Engineering Data,?2013, vol. 58, # 8, p. 2267 - 2271]"
,,,,,,,Full Text
,,,,,,,Cited 2 timesDetailsAbstract
,in solution,5.49,acetonitrile,,,Solubility: 1.74 mol/1000mol,"Guo, Lai;?Fan, Rui-Lan;?Yun, Guan-Qun;?Chen, Cong-Yan[Journal of Chemical and Engineering Data,?2013, vol. 58, # 8, p. 2267 - 2271]"
,,,,,,,Full Text
,,,,,,,Cited 2 timesDetailsAbstract
,in solution,30.19,ethyl acetate,,,Solubility: 1.87 mol/1000mol,"Guo, Lai;?Fan, Rui-Lan;?Yun, Guan-Qun;?Chen, Cong-Yan[Journal of Chemical and Engineering Data,?2013, vol. 58, # 8, p. 2267 - 2271]"
,,,,,,,Full Text
,,,,,,,Cited 2 timesDetailsAbstract
,in solution,20.49,"1,2-dichloro-ethane",,,Solubility: 1.96 mol/1000mol,"Guo, Lai;?Fan, Rui-Lan;?Yun, Guan-Qun;?Chen, Cong-Yan[Journal of Chemical and Engineering Data,?2013, vol. 58, # 8, p. 2267 - 2271]"
,,,,,,,Full Text
,,,,,,,Cited 2 timesDetailsAbstract
,in solution,54.89,water,,,Solubility: 10.2 mol/1000mol,"Guo, Lai;?Fan, Rui-Lan;?Yun, Guan-Qun;?Chen, Cong-Yan[Journal of Chemical and Engineering Data,?2013, vol. 58, # 8, p. 2267 - 2271]"
,,,,,,,Full Text
,,,,,,,Cited 2 timesDetailsAbstract
,in solution,69.69,ethyl acetate,,,Solubility: 10.2 mol/1000mol,"Guo, Lai;?Fan, Rui-Lan;?Yun, Guan-Qun;?Chen, Cong-Yan[Journal of Chemical and Engineering Data,?2013, vol. 58, # 8, p. 2267 - 2271]"
,,,,,,,Full Text
,,,,,,,Cited 2 timesDetailsAbstract
,in solution,49.64,acetonitrile,,,Solubility: 11.1 mol/1000mol,"Guo, Lai;?Fan, Rui-Lan;?Yun, Guan-Qun;?Chen, Cong-Yan[Journal of Chemical and Engineering Data,?2013, vol. 58, # 8, p. 2267 - 2271]"
,,,,,,,Full Text
,,,,,,,Cited 2 timesDetailsAbstract
,in solution,59.74,water,,,Solubility: 11.2 mol/1000mol,"Guo, Lai;?Fan, Rui-Lan;?Yun, Guan-Qun;?Chen, Cong-Yan[Journal of Chemical and Engineering Data,?2013, vol. 58, # 8, p. 2267 - 2271]"
,,,,,,,Full Text
,,,,,,,Cited 2 timesDetailsAbstract
