"Solubility, g°§l-1",Saturation,"Temperature (Solubility (MCS)), °„C",Solvent (Solubility (MCS)),Ratio of Solvents,Location,Comment (Solubility (MCS)),Reference
,in pure solvent,10,H2O,,,Solubility: 2.96 p(g/100g solution),"Gracin, Sandra;?Rasmuson, Ake C.[Journal of Chemical and Engineering Data,?2002, vol. 47, # 6, p. 1379 - 1383]"
,,,,,,,Full Text
,,,,,,,Cited 114 timesDetailsAbstract
,in pure solvent,10,methanol,,,Solubility: 93.44 p(g/100g solution),"Gracin, Sandra;?Rasmuson, Ake C.[Journal of Chemical and Engineering Data,?2002, vol. 47, # 6, p. 1379 - 1383]"
,,,,,,,Full Text
,,,,,,,Cited 114 timesDetailsAbstract
,in pure solvent,10,ethanol,,,Solubility: 56.78 p(g/100g solution),"Gracin, Sandra;?Rasmuson, Ake C.[Journal of Chemical and Engineering Data,?2002, vol. 47, # 6, p. 1379 - 1383]"
,,,,,,,Full Text
,,,,,,,Cited 114 timesDetailsAbstract
,in pure solvent,10,propan-2-ol,,,Solubility: 31.45 p(g/100g solution),"Gracin, Sandra;?Rasmuson, Ake C.[Journal of Chemical and Engineering Data,?2002, vol. 47, # 6, p. 1379 - 1383]"
,,,,,,,Full Text
,,,,,,,Cited 114 timesDetailsAbstract
,in pure solvent,10,acetone,,,Solubility: 47.54 p(g/100g solution),"Gracin, Sandra;?Rasmuson, Ake C.[Journal of Chemical and Engineering Data,?2002, vol. 47, # 6, p. 1379 - 1383]"
,,,,,,,Full Text
,,,,,,,Cited 114 timesDetailsAbstract
,in pure solvent,10,various solvent(s),,,Solubility: 14.88 p(g/100g solution),"Gracin, Sandra;?Rasmuson, Ake C.[Journal of Chemical and Engineering Data,?2002, vol. 47, # 6, p. 1379 - 1383]"
,,,,,,,Full Text
,,,,,,,Cited 114 timesDetailsAbstract
,in pure solvent,10,CHCl3,,,Solubility: 0.13 p(g/100g solution),"Gracin, Sandra;?Rasmuson, Ake C.[Journal of Chemical and Engineering Data,?2002, vol. 47, # 6, p. 1379 - 1383]"
,,,,,,,Full Text
,,,,,,,Cited 114 timesDetailsAbstract
,in pure solvent,10,ethyl acetate,,,Solubility: 13.42 p(g/100g solution),"Gracin, Sandra;?Rasmuson, Ake C.[Journal of Chemical and Engineering Data,?2002, vol. 47, # 6, p. 1379 - 1383]"
,,,,,,,Full Text
,,,,,,,Cited 114 timesDetailsAbstract
,in pure solvent,10,toluene,,,Solubility: 0.17 p(g/100g solution),"Gracin, Sandra;?Rasmuson, Ake C.[Journal of Chemical and Engineering Data,?2002, vol. 47, # 6, p. 1379 - 1383]"
,,,,,,,Full Text
,,,,,,,Cited 114 timesDetailsAbstract
,in pure solvent,15,H2O,,,Solubility: 3.71 p(g/100g solution),"Gracin, Sandra;?Rasmuson, Ake C.[Journal of Chemical and Engineering Data,?2002, vol. 47, # 6, p. 1379 - 1383]"
,,,,,,,Full Text
,,,,,,,Cited 114 timesDetailsAbstract
,in pure solvent,15,methanol,,,Solubility: 106.1 p(g/100g solution),"Gracin, Sandra;?Rasmuson, Ake C.[Journal of Chemical and Engineering Data,?2002, vol. 47, # 6, p. 1379 - 1383]"
,,,,,,,Full Text
,,,,,,,Cited 114 timesDetailsAbstract
,in pure solvent,15,ethanol,,,Solubility: 70.23 p(g/100g solution),"Gracin, Sandra;?Rasmuson, Ake C.[Journal of Chemical and Engineering Data,?2002, vol. 47, # 6, p. 1379 - 1383]"
,,,,,,,Full Text
,,,,,,,Cited 114 timesDetailsAbstract
,in pure solvent,15,propan-2-ol,,,Solubility: 39.89 p(g/100g solution),"Gracin, Sandra;?Rasmuson, Ake C.[Journal of Chemical and Engineering Data,?2002, vol. 47, # 6, p. 1379 - 1383]"
,,,,,,,Full Text
,,,,,,,Cited 114 timesDetailsAbstract
,in pure solvent,15,acetone,,,Solubility: 60.86 p(g/100g solution),"Gracin, Sandra;?Rasmuson, Ake C.[Journal of Chemical and Engineering Data,?2002, vol. 47, # 6, p. 1379 - 1383]"
,,,,,,,Full Text
,,,,,,,Cited 114 timesDetailsAbstract
,in pure solvent,15,various solvent(s),,,Solubility: 16.12 p(g/100g solution),"Gracin, Sandra;?Rasmuson, Ake C.[Journal of Chemical and Engineering Data,?2002, vol. 47, # 6, p. 1379 - 1383]"
,,,,,,,Full Text
,,,,,,,Cited 114 timesDetailsAbstract
,in pure solvent,15,CHCl3,,,Solubility: 0.25 p(g/100g solution),"Gracin, Sandra;?Rasmuson, Ake C.[Journal of Chemical and Engineering Data,?2002, vol. 47, # 6, p. 1379 - 1383]"
,,,,,,,Full Text
,,,,,,,Cited 114 timesDetailsAbstract
,in pure solvent,15,ethyl acetate,,,Solubility: 14.77 p(g/100g solution),"Gracin, Sandra;?Rasmuson, Ake C.[Journal of Chemical and Engineering Data,?2002, vol. 47, # 6, p. 1379 - 1383]"
,,,,,,,Full Text
,,,,,,,Cited 114 timesDetailsAbstract
,in pure solvent,15,toluene,,,Solubility: 0.207 p(g/100g solution),"Gracin, Sandra;?Rasmuson, Ake C.[Journal of Chemical and Engineering Data,?2002, vol. 47, # 6, p. 1379 - 1383]"
,,,,,,,Full Text
,,,,,,,Cited 114 timesDetailsAbstract
,in pure solvent,20,H2O,,,Solubility: 4.631 p(g/100g solution),"Gracin, Sandra;?Rasmuson, Ake C.[Journal of Chemical and Engineering Data,?2002, vol. 47, # 6, p. 1379 - 1383]"
,,,,,,,Full Text
,,,,,,,Cited 114 timesDetailsAbstract
,in pure solvent,20,methanol,,,Solubility: 160.8 p(g/100g solution),"Gracin, Sandra;?Rasmuson, Ake C.[Journal of Chemical and Engineering Data,?2002, vol. 47, # 6, p. 1379 - 1383]"
,,,,,,,Full Text
,,,,,,,Cited 114 timesDetailsAbstract
,in pure solvent,20,ethanol,,,Solubility: 93.75 p(g/100g solution),"Gracin, Sandra;?Rasmuson, Ake C.[Journal of Chemical and Engineering Data,?2002, vol. 47, # 6, p. 1379 - 1383]"
,,,,,,,Full Text
,,,,,,,Cited 114 timesDetailsAbstract
,in pure solvent,20,propan-2-ol,,,Solubility: 49.63 p(g/100g solution),"Gracin, Sandra;?Rasmuson, Ake C.[Journal of Chemical and Engineering Data,?2002, vol. 47, # 6, p. 1379 - 1383]"
,,,,,,,Full Text
,,,,,,,Cited 114 timesDetailsAbstract
,in pure solvent,20,acetone,,,Solubility: 69.3 p(g/100g solution),"Gracin, Sandra;?Rasmuson, Ake C.[Journal of Chemical and Engineering Data,?2002, vol. 47, # 6, p. 1379 - 1383]"
,,,,,,,Full Text
,,,,,,,Cited 114 timesDetailsAbstract
,in pure solvent,20,various solvent(s),,,Solubility: 17.97 p(g/100g solution),"Gracin, Sandra;?Rasmuson, Ake C.[Journal of Chemical and Engineering Data,?2002, vol. 47, # 6, p. 1379 - 1383]"
,,,,,,,Full Text
,,,,,,,Cited 114 timesDetailsAbstract
,in pure solvent,20,ethyl acetate,,,Solubility: 16.43 p(g/100g solution),"Gracin, Sandra;?Rasmuson, Ake C.[Journal of Chemical and Engineering Data,?2002, vol. 47, # 6, p. 1379 - 1383]"
,,,,,,,Full Text
,,,,,,,Cited 114 timesDetailsAbstract
