"Solubility, g°§l-1",Saturation,"Temperature (Solubility (MCS)), °„C",Solvent (Solubility (MCS)),Ratio of Solvents,Location,Comment (Solubility (MCS)),Reference
100.005,in pure solvent,20 - 25,isopropyl alcohol,,supporting information,,"Qiu, Jun;?Stevens, Jason M.[Organic Process Research and Development,?2020, vol. 24, # 9, p. 1725 - 1734]"
,,,,,,,Full Text
,,,,,,,Cited 13 timesDetailsAbstract
24.5758,in pure solvent,20 - 25,ethyl acetate,,supporting information,,"Qiu, Jun;?Stevens, Jason M.[Organic Process Research and Development,?2020, vol. 24, # 9, p. 1725 - 1734]"
,,,,,,,Full Text
,,,,,,,Cited 13 timesDetailsAbstract
3.49989,in pure solvent,20 - 25,toluene,,supporting information,,"Qiu, Jun;?Stevens, Jason M.[Organic Process Research and Development,?2020, vol. 24, # 9, p. 1725 - 1734]"
,,,,,,,Full Text
,,,,,,,Cited 13 timesDetailsAbstract
53.3782,in pure solvent,20 - 25,acetonitrile,,supporting information,,"Qiu, Jun;?Stevens, Jason M.[Organic Process Research and Development,?2020, vol. 24, # 9, p. 1725 - 1734]"
,,,,,,,Full Text
,,,,,,,Cited 13 timesDetailsAbstract
75.8119,in pure solvent,20 - 25,2-methyltetrahydrofuran,,supporting information,,"Qiu, Jun;?Stevens, Jason M.[Organic Process Research and Development,?2020, vol. 24, # 9, p. 1725 - 1734]"
,,,,,,,Full Text
,,,,,,,Cited 13 timesDetailsAbstract
307,in pure solvent,25,H2O,,,,"De Witt;?Ingersoll[Journal of the American Chemical Society,?1951, vol. 73, p. 3359]"
,,,,,,,Full Text
,,,,,,,Cited 36 timesDetails
295,in pure solvent,25,acetone,,,,"De Witt;?Ingersoll[Journal of the American Chemical Society,?1951, vol. 73, p. 3359]"
,,,,,,,Full Text
,,,,,,,Cited 36 timesDetails
