"Solubility, gбдl-1",Saturation,"Temperature (Solubility (MCS)), буC",Solvent (Solubility (MCS)),Ratio of Solvents,Location,Comment (Solubility (MCS)),Reference
0.23,in pure solvent,25,ethanol,ethanol (10 ml),,,"Ma, Guo;?Zhang, Lin;?Zhang, Peng;?Bao, Xingfei;?Zhou, Ning;?Shi, Qingling;?Zheng, Yuanting;?(бн)?Zhu, Yizhun;?Cai, Weimin[Xenobiotica,?2015, vol. 45, # 4, p. 322 - 334]"
,,,,,,,Full Text
,,,,,,,Cited 4 timesDetailsAbstract
0.24,in pure solvent,37,ethanol,ethanol (10 ml),,,"Ma, Guo;?Zhang, Lin;?Zhang, Peng;?Bao, Xingfei;?Zhou, Ning;?Shi, Qingling;?Zheng, Yuanting;?(бн)?Zhu, Yizhun;?Cai, Weimin[Xenobiotica,?2015, vol. 45, # 4, p. 322 - 334]"
,,,,,,,Full Text
,,,,,,,Cited 4 timesDetailsAbstract
1.4,in pure solvent,25,acetonitrile,acetonitrile (10 ml),,,"Ma, Guo;?Zhang, Lin;?Zhang, Peng;?Bao, Xingfei;?Zhou, Ning;?Shi, Qingling;?Zheng, Yuanting;?(бн)?Zhu, Yizhun;?Cai, Weimin[Xenobiotica,?2015, vol. 45, # 4, p. 322 - 334]"
,,,,,,,Full Text
,,,,,,,Cited 4 timesDetailsAbstract
1.58,in pure solvent,25,methanol,methanol (10 ml),,,"Ma, Guo;?Zhang, Lin;?Zhang, Peng;?Bao, Xingfei;?Zhou, Ning;?Shi, Qingling;?Zheng, Yuanting;?(бн)?Zhu, Yizhun;?Cai, Weimin[Xenobiotica,?2015, vol. 45, # 4, p. 322 - 334]"
,,,,,,,Full Text
,,,,,,,Cited 4 timesDetailsAbstract
1.67,in pure solvent,37,methanol,methanol (10 ml),,,"Ma, Guo;?Zhang, Lin;?Zhang, Peng;?Bao, Xingfei;?Zhou, Ning;?Shi, Qingling;?Zheng, Yuanting;?(бн)?Zhu, Yizhun;?Cai, Weimin[Xenobiotica,?2015, vol. 45, # 4, p. 322 - 334]"
,,,,,,,Full Text
,,,,,,,Cited 4 timesDetailsAbstract
1.79,in pure solvent,37,acetonitrile,acetonitrile (10 ml),,,"Ma, Guo;?Zhang, Lin;?Zhang, Peng;?Bao, Xingfei;?Zhou, Ning;?Shi, Qingling;?Zheng, Yuanting;?(бн)?Zhu, Yizhun;?Cai, Weimin[Xenobiotica,?2015, vol. 45, # 4, p. 322 - 334]"
,,,,,,,Full Text
,,,,,,,Cited 4 timesDetailsAbstract
10.32,in pure solvent,25,"1,2-Propanediol","propane-1,2-diol (10 ml)",,,"Ma, Guo;?Zhang, Lin;?Zhang, Peng;?Bao, Xingfei;?Zhou, Ning;?Shi, Qingling;?Zheng, Yuanting;?(бн)?Zhu, Yizhun;?Cai, Weimin[Xenobiotica,?2015, vol. 45, # 4, p. 322 - 334]"
,,,,,,,Full Text
,,,,,,,Cited 4 timesDetailsAbstract
13.28,in pure solvent,37,"1,2-Propanediol","propane-1,2-diol (10 ml)",,,"Ma, Guo;?Zhang, Lin;?Zhang, Peng;?Bao, Xingfei;?Zhou, Ning;?Shi, Qingling;?Zheng, Yuanting;?(бн)?Zhu, Yizhun;?Cai, Weimin[Xenobiotica,?2015, vol. 45, # 4, p. 322 - 334]"
,,,,,,,Full Text
,,,,,,,Cited 4 timesDetailsAbstract
36.29,in pure solvent,25,glycerol,glycerol (10 ml),,,"Ma, Guo;?Zhang, Lin;?Zhang, Peng;?Bao, Xingfei;?Zhou, Ning;?Shi, Qingling;?Zheng, Yuanting;?(бн)?Zhu, Yizhun;?Cai, Weimin[Xenobiotica,?2015, vol. 45, # 4, p. 322 - 334]"
,,,,,,,Full Text
,,,,,,,Cited 4 timesDetailsAbstract
40.19,in pure solvent,37,glycerol,glycerol (10 ml),,,"Ma, Guo;?Zhang, Lin;?Zhang, Peng;?Bao, Xingfei;?Zhou, Ning;?Shi, Qingling;?Zheng, Yuanting;?(бн)?Zhu, Yizhun;?Cai, Weimin[Xenobiotica,?2015, vol. 45, # 4, p. 322 - 334]"
,,,,,,,Full Text
,,,,,,,Cited 4 timesDetailsAbstract
40.93,in pure solvent,25,water,water (10 ml),,,"Ma, Guo;?Zhang, Lin;?Zhang, Peng;?Bao, Xingfei;?Zhou, Ning;?Shi, Qingling;?Zheng, Yuanting;?(бн)?Zhu, Yizhun;?Cai, Weimin[Xenobiotica,?2015, vol. 45, # 4, p. 322 - 334]"
,,,,,,,Full Text
,,,,,,,Cited 4 timesDetailsAbstract
41.94,in pure solvent,37,water,water (10 ml),,,"Ma, Guo;?Zhang, Lin;?Zhang, Peng;?Bao, Xingfei;?Zhou, Ning;?Shi, Qingling;?Zheng, Yuanting;?(бн)?Zhu, Yizhun;?Cai, Weimin[Xenobiotica,?2015, vol. 45, # 4, p. 322 - 334]"
,,,,,,,Full Text
,,,,,,,Cited 4 timesDetailsAbstract
