"Solubility, g°§l-1",Saturation,"Temperature (Solubility (MCS)), °„C",Solvent (Solubility (MCS)),Ratio of Solvents,Location,Comment (Solubility (MCS)),Reference
,in solution,31.79,butan-1-ol,,,Solubility: 38.2 molpercent,"Mao, Zhi-Bo;?Luo, Ting-Liang;?Cui, Tie-Bing;?Wang, Yu;?Liu, Guo-Ji[Journal of Chemical and Engineering Data,?2010, vol. 55, # 1, p. 543 - 546]"
,,,,,,,Full Text
,,,,,,,Cited 5 timesDetailsAbstract
,in solution,33.56,butan-1-ol,,,Solubility: 42.2 molpercent,"Mao, Zhi-Bo;?Luo, Ting-Liang;?Cui, Tie-Bing;?Wang, Yu;?Liu, Guo-Ji[Journal of Chemical and Engineering Data,?2010, vol. 55, # 1, p. 543 - 546]"
,,,,,,,Full Text
,,,,,,,Cited 5 timesDetailsAbstract
,in solution,35.02,butan-1-ol,,,Solubility: 47.6 molpercent,"Mao, Zhi-Bo;?Luo, Ting-Liang;?Cui, Tie-Bing;?Wang, Yu;?Liu, Guo-Ji[Journal of Chemical and Engineering Data,?2010, vol. 55, # 1, p. 543 - 546]"
,,,,,,,Full Text
,,,,,,,Cited 5 timesDetailsAbstract
,in solution,36.7,butan-1-ol,,,Solubility: 52.7 molpercent,"Mao, Zhi-Bo;?Luo, Ting-Liang;?Cui, Tie-Bing;?Wang, Yu;?Liu, Guo-Ji[Journal of Chemical and Engineering Data,?2010, vol. 55, # 1, p. 543 - 546]"
,,,,,,,Full Text
,,,,,,,Cited 5 timesDetailsAbstract
,in solution,37.88,butan-1-ol,,,Solubility: 57.6 molpercent,"Mao, Zhi-Bo;?Luo, Ting-Liang;?Cui, Tie-Bing;?Wang, Yu;?Liu, Guo-Ji[Journal of Chemical and Engineering Data,?2010, vol. 55, # 1, p. 543 - 546]"
,,,,,,,Full Text
,,,,,,,Cited 5 timesDetailsAbstract
,in solution,39.2,butan-1-ol,,,Solubility: 61.9 molpercent,"Mao, Zhi-Bo;?Luo, Ting-Liang;?Cui, Tie-Bing;?Wang, Yu;?Liu, Guo-Ji[Journal of Chemical and Engineering Data,?2010, vol. 55, # 1, p. 543 - 546]"
,,,,,,,Full Text
,,,,,,,Cited 5 timesDetailsAbstract
,in solution,22.09,toluene,,,Solubility: 12.2 molpercent,"Mao, Zhi-Bo;?Luo, Ting-Liang;?Cui, Tie-Bing;?Wang, Yu;?Liu, Guo-Ji[Journal of Chemical and Engineering Data,?2010, vol. 55, # 1, p. 543 - 546]"
,,,,,,,Full Text
,,,,,,,Cited 5 timesDetailsAbstract
,in solution,24.29,toluene,,,Solubility: 14 molpercent,"Mao, Zhi-Bo;?Luo, Ting-Liang;?Cui, Tie-Bing;?Wang, Yu;?Liu, Guo-Ji[Journal of Chemical and Engineering Data,?2010, vol. 55, # 1, p. 543 - 546]"
,,,,,,,Full Text
,,,,,,,Cited 5 timesDetailsAbstract
,in solution,26.04,toluene,,,Solubility: 16 molpercent,"Mao, Zhi-Bo;?Luo, Ting-Liang;?Cui, Tie-Bing;?Wang, Yu;?Liu, Guo-Ji[Journal of Chemical and Engineering Data,?2010, vol. 55, # 1, p. 543 - 546]"
,,,,,,,Full Text
,,,,,,,Cited 5 timesDetailsAbstract
,in solution,28.07,toluene,,,Solubility: 18.6 molpercent,"Mao, Zhi-Bo;?Luo, Ting-Liang;?Cui, Tie-Bing;?Wang, Yu;?Liu, Guo-Ji[Journal of Chemical and Engineering Data,?2010, vol. 55, # 1, p. 543 - 546]"
,,,,,,,Full Text
,,,,,,,Cited 5 timesDetailsAbstract
