"Solubility, g°§l-1",Saturation,"Temperature (Solubility (MCS)), °„C",Solvent (Solubility (MCS)),Ratio of Solvents,Location,Comment (Solubility (MCS)),Reference
,,,,,,low solubility in MeCN,"Bleher, Katharina;?Comba, Peter;?Faltermeier, Dieter;?Gupta, Ashutosh;?Kerscher, Marion;?Krieg, Saskia;?Martin, Bodo;?Velmurugan, Gunasekaran;?Yang, Shuyi[Chemistry - A European Journal,?2022, vol. 28, # 4, art. no. E202103452]"
,,,,,,,Full Text
,,,,,,,Cited 12 timesDetailsAbstract
,,,,,,low solubility in acetonitrile-d3,"Melo, Isis L.;?Lube, Leonardo M.;?Neves, Eduardo S.;?Terra, Wagner S.;?Fernandes, Christiane;?Matos, Carlos R.R.;?Franco, Roberto W.A.;?(°≠)?Cardozo, Thiago M.;?Horn, Adolfo[Applied Catalysis A: General,?2018, vol. 562, p. 150 - 158]"
,,,,,,,Full Text
,,,,,,,Cited 1 timesDetailsAbstract
,,,,,supporting information,low solubility to MeCN,"Al-Hunaiti, Afnan;?R?is?nen, Minn?;?Repo, Timo[Chemical Communications,?2016, vol. 52, # 10, p. 2043 - 2046]"
,,,,,,,Full Text
,,,,,,,Cited 28 timesDetailsAbstract
,in pure solvent,20,methanol,,,Solubility: 0.8 weight-percent,"Ashkinazi, L. A.;?Panichkina, O. M.;?Ravdel', A. A.;?Slobodin, Ya. M.[Journal of applied chemistry of the USSR,?1982, vol. 55, # 4, p. 738 - 741][Zhurnal Prikladnoi Khimii (Sankt-Peterburg, Russian Federation),?1982, vol. 55, # 4, p. 807 - 811]"
,,,,,,,Full Text
,,,,,,,DetailsAbstract
,in pure solvent,20,ethanol,,,Solubility: 1.1 weight-percent,"Ashkinazi, L. A.;?Panichkina, O. M.;?Ravdel', A. A.;?Slobodin, Ya. M.[Journal of applied chemistry of the USSR,?1982, vol. 55, # 4, p. 738 - 741][Zhurnal Prikladnoi Khimii (Sankt-Peterburg, Russian Federation),?1982, vol. 55, # 4, p. 807 - 811]"
,,,,,,,Full Text
,,,,,,,DetailsAbstract
,in pure solvent,20,propan-1-ol,,,Solubility: 1.5 weight-percent,"Ashkinazi, L. A.;?Panichkina, O. M.;?Ravdel', A. A.;?Slobodin, Ya. M.[Journal of applied chemistry of the USSR,?1982, vol. 55, # 4, p. 738 - 741][Zhurnal Prikladnoi Khimii (Sankt-Peterburg, Russian Federation),?1982, vol. 55, # 4, p. 807 - 811]"
,,,,,,,Full Text
,,,,,,,DetailsAbstract
,in pure solvent,20,butan-1-ol,,,Solubility: 1.8 weight-percent,"Ashkinazi, L. A.;?Panichkina, O. M.;?Ravdel', A. A.;?Slobodin, Ya. M.[Journal of applied chemistry of the USSR,?1982, vol. 55, # 4, p. 738 - 741][Zhurnal Prikladnoi Khimii (Sankt-Peterburg, Russian Federation),?1982, vol. 55, # 4, p. 807 - 811]"
,,,,,,,Full Text
,,,,,,,DetailsAbstract
,in pure solvent,20,pentan-1-ol,,,Solubility: 3.3 weight-percent,"Ashkinazi, L. A.;?Panichkina, O. M.;?Ravdel', A. A.;?Slobodin, Ya. M.[Journal of applied chemistry of the USSR,?1982, vol. 55, # 4, p. 738 - 741][Zhurnal Prikladnoi Khimii (Sankt-Peterburg, Russian Federation),?1982, vol. 55, # 4, p. 807 - 811]"
,,,,,,,Full Text
,,,,,,,DetailsAbstract
,in pure solvent,20,propan-2-ol,,,Solubility: 1.5 weight-percent,"Ashkinazi, L. A.;?Panichkina, O. M.;?Ravdel', A. A.;?Slobodin, Ya. M.[Journal of applied chemistry of the USSR,?1982, vol. 55, # 4, p. 738 - 741][Zhurnal Prikladnoi Khimii (Sankt-Peterburg, Russian Federation),?1982, vol. 55, # 4, p. 807 - 811]"
,,,,,,,Full Text
,,,,,,,DetailsAbstract
,in pure solvent,20,2-methyl-propan-2-ol,,,Solubility: 2.5 weight-percent,"Ashkinazi, L. A.;?Panichkina, O. M.;?Ravdel', A. A.;?Slobodin, Ya. M.[Journal of applied chemistry of the USSR,?1982, vol. 55, # 4, p. 738 - 741][Zhurnal Prikladnoi Khimii (Sankt-Peterburg, Russian Federation),?1982, vol. 55, # 4, p. 807 - 811]"
,,,,,,,Full Text
,,,,,,,DetailsAbstract
,in pure solvent,20,2-methyl-butan-2-ol,,,Solubility: 3.2 weight-percent,"Ashkinazi, L. A.;?Panichkina, O. M.;?Ravdel', A. A.;?Slobodin, Ya. M.[Journal of applied chemistry of the USSR,?1982, vol. 55, # 4, p. 738 - 741][Zhurnal Prikladnoi Khimii (Sankt-Peterburg, Russian Federation),?1982, vol. 55, # 4, p. 807 - 811]"
,,,,,,,Full Text
,,,,,,,DetailsAbstract
,in pure solvent,20,phenylmethanol,,,Solubility: 4.8 weight-percent,"Ashkinazi, L. A.;?Panichkina, O. M.;?Ravdel', A. A.;?Slobodin, Ya. M.[Journal of applied chemistry of the USSR,?1982, vol. 55, # 4, p. 738 - 741][Zhurnal Prikladnoi Khimii (Sankt-Peterburg, Russian Federation),?1982, vol. 55, # 4, p. 807 - 811]"
,,,,,,,Full Text
,,,,,,,DetailsAbstract
,in pure solvent,20,diethyl ether,,,Solubility: 8.1 weight-percent,"Ashkinazi, L. A.;?Panichkina, O. M.;?Ravdel', A. A.;?Slobodin, Ya. M.[Journal of applied chemistry of the USSR,?1982, vol. 55, # 4, p. 738 - 741][Zhurnal Prikladnoi Khimii (Sankt-Peterburg, Russian Federation),?1982, vol. 55, # 4, p. 807 - 811]"
,,,,,,,Full Text
,,,,,,,DetailsAbstract
