"Solubility, g°§l-1",Saturation,"Temperature (Solubility (MCS)), °„C",Solvent (Solubility (MCS)),Ratio of Solvents,Location,Comment (Solubility (MCS)),Reference
,,,,,,only sparingly soluble in THF,"Klet, Rachel C.;?Labinger, Jay A.;?Bercaw, John E.[Organometallics,?2012, vol. 31, # 18, p. 6652 - 6657]"
,,,,,,,Full Text
,,,,,,,Cited 9 timesDetailsAbstract
,in solution,30.34,ethanol,,,Solubility: 0.95 molpercent,"Gao, Jun;?Wang, Zhongwei;?Xu, Dongmei;?Zhang, Rongke[Journal of Chemical and Engineering Data,?2007, vol. 52, # 1, p. 189 - 191]"
,,,,,,,Full Text
,,,,,,,Cited 26 timesDetailsAbstract
,in solution,35.14,ethanol,,,Solubility: 1.2 molpercent,"Gao, Jun;?Wang, Zhongwei;?Xu, Dongmei;?Zhang, Rongke[Journal of Chemical and Engineering Data,?2007, vol. 52, # 1, p. 189 - 191]"
,,,,,,,Full Text
,,,,,,,Cited 26 timesDetailsAbstract
,in solution,40.14,ethanol,,,Solubility: 1.6 molpercent,"Gao, Jun;?Wang, Zhongwei;?Xu, Dongmei;?Zhang, Rongke[Journal of Chemical and Engineering Data,?2007, vol. 52, # 1, p. 189 - 191]"
,,,,,,,Full Text
,,,,,,,Cited 26 timesDetailsAbstract
,in solution,45.44,ethanol,,,Solubility: 2.2 molpercent,"Gao, Jun;?Wang, Zhongwei;?Xu, Dongmei;?Zhang, Rongke[Journal of Chemical and Engineering Data,?2007, vol. 52, # 1, p. 189 - 191]"
,,,,,,,Full Text
,,,,,,,Cited 26 timesDetailsAbstract
,in solution,50.04,ethanol,,,Solubility: 2.8 molpercent,"Gao, Jun;?Wang, Zhongwei;?Xu, Dongmei;?Zhang, Rongke[Journal of Chemical and Engineering Data,?2007, vol. 52, # 1, p. 189 - 191]"
,,,,,,,Full Text
,,,,,,,Cited 26 timesDetailsAbstract
,in solution,54.74,ethanol,,,Solubility: 3.8 molpercent,"Gao, Jun;?Wang, Zhongwei;?Xu, Dongmei;?Zhang, Rongke[Journal of Chemical and Engineering Data,?2007, vol. 52, # 1, p. 189 - 191]"
,,,,,,,Full Text
,,,,,,,Cited 26 timesDetailsAbstract
,in solution,59.84,ethanol,,,Solubility: 5.0 molpercent,"Gao, Jun;?Wang, Zhongwei;?Xu, Dongmei;?Zhang, Rongke[Journal of Chemical and Engineering Data,?2007, vol. 52, # 1, p. 189 - 191]"
,,,,,,,Full Text
,,,,,,,Cited 26 timesDetailsAbstract
,in solution,29.94,propan-2-ol,,,Solubility: 0.77 molpercent,"Gao, Jun;?Wang, Zhongwei;?Xu, Dongmei;?Zhang, Rongke[Journal of Chemical and Engineering Data,?2007, vol. 52, # 1, p. 189 - 191]"
,,,,,,,Full Text
,,,,,,,Cited 26 timesDetailsAbstract
