"Solubility, g°§l-1",Saturation,"Temperature (Solubility (MCS)), °„C",Solvent (Solubility (MCS)),Ratio of Solvents,Location,Comment (Solubility (MCS)),Reference
,in pure solvent,24.99,ethanol,,,Solubility: 21.31 molpercent,"Chen, Qiaoli;?Wang, Yongli;?Wu, Xiaohong;?Wang, Jingkang[Journal of Chemical and Engineering Data,?2008, vol. 53, # 6, p. 1414 - 1416]"
,,,,,,,Full Text
,,,,,,,Cited 20 timesDetailsAbstract
,in pure solvent,29.99,ethanol,,,Solubility: 25.25 molpercent,"Chen, Qiaoli;?Wang, Yongli;?Wu, Xiaohong;?Wang, Jingkang[Journal of Chemical and Engineering Data,?2008, vol. 53, # 6, p. 1414 - 1416]"
,,,,,,,Full Text
,,,,,,,Cited 20 timesDetailsAbstract
,in pure solvent,34.99,ethanol,,,Solubility: 29.07 molpercent,"Chen, Qiaoli;?Wang, Yongli;?Wu, Xiaohong;?Wang, Jingkang[Journal of Chemical and Engineering Data,?2008, vol. 53, # 6, p. 1414 - 1416]"
,,,,,,,Full Text
,,,,,,,Cited 20 timesDetailsAbstract
,in pure solvent,39.99,ethanol,,,Solubility: 33.52 molpercent,"Chen, Qiaoli;?Wang, Yongli;?Wu, Xiaohong;?Wang, Jingkang[Journal of Chemical and Engineering Data,?2008, vol. 53, # 6, p. 1414 - 1416]"
,,,,,,,Full Text
,,,,,,,Cited 20 timesDetailsAbstract
,in pure solvent,44.99,ethanol,,,Solubility: 39.52 molpercent,"Chen, Qiaoli;?Wang, Yongli;?Wu, Xiaohong;?Wang, Jingkang[Journal of Chemical and Engineering Data,?2008, vol. 53, # 6, p. 1414 - 1416]"
,,,,,,,Full Text
,,,,,,,Cited 20 timesDetailsAbstract
,in pure solvent,49.99,ethanol,,,Solubility: 46.1 molpercent,"Chen, Qiaoli;?Wang, Yongli;?Wu, Xiaohong;?Wang, Jingkang[Journal of Chemical and Engineering Data,?2008, vol. 53, # 6, p. 1414 - 1416]"
,,,,,,,Full Text
,,,,,,,Cited 20 timesDetailsAbstract
,in pure solvent,54.99,ethanol,,,Solubility: 54.09 molpercent,"Chen, Qiaoli;?Wang, Yongli;?Wu, Xiaohong;?Wang, Jingkang[Journal of Chemical and Engineering Data,?2008, vol. 53, # 6, p. 1414 - 1416]"
,,,,,,,Full Text
,,,,,,,Cited 20 timesDetailsAbstract
,in pure solvent,59.99,ethanol,,,Solubility: 62.51 molpercent,"Chen, Qiaoli;?Wang, Yongli;?Wu, Xiaohong;?Wang, Jingkang[Journal of Chemical and Engineering Data,?2008, vol. 53, # 6, p. 1414 - 1416]"
,,,,,,,Full Text
,,,,,,,Cited 20 timesDetailsAbstract
,in pure solvent,64.99,ethanol,,,Solubility: 72.25 molpercent,"Chen, Qiaoli;?Wang, Yongli;?Wu, Xiaohong;?Wang, Jingkang[Journal of Chemical and Engineering Data,?2008, vol. 53, # 6, p. 1414 - 1416]"
,,,,,,,Full Text
,,,,,,,Cited 20 timesDetailsAbstract
,in pure solvent,69.99,ethanol,,,Solubility: 84.36 molpercent,"Chen, Qiaoli;?Wang, Yongli;?Wu, Xiaohong;?Wang, Jingkang[Journal of Chemical and Engineering Data,?2008, vol. 53, # 6, p. 1414 - 1416]"
,,,,,,,Full Text
,,,,,,,Cited 20 timesDetailsAbstract
,in pure solvent,74.99,ethanol,,,Solubility: 97.01 molpercent,"Chen, Qiaoli;?Wang, Yongli;?Wu, Xiaohong;?Wang, Jingkang[Journal of Chemical and Engineering Data,?2008, vol. 53, # 6, p. 1414 - 1416]"
,,,,,,,Full Text
,,,,,,,Cited 20 timesDetailsAbstract
,in pure solvent,24.99,acetone,,,Solubility: 19.24 molpercent,"Chen, Qiaoli;?Wang, Yongli;?Wu, Xiaohong;?Wang, Jingkang[Journal of Chemical and Engineering Data,?2008, vol. 53, # 6, p. 1414 - 1416]"
,,,,,,,Full Text
,,,,,,,Cited 20 timesDetailsAbstract
,in pure solvent,29.99,acetone,,,Solubility: 21.53 molpercent,"Chen, Qiaoli;?Wang, Yongli;?Wu, Xiaohong;?Wang, Jingkang[Journal of Chemical and Engineering Data,?2008, vol. 53, # 6, p. 1414 - 1416]"
,,,,,,,Full Text
,,,,,,,Cited 20 timesDetailsAbstract
,in pure solvent,34.99,acetone,,,Solubility: 24.31 molpercent,"Chen, Qiaoli;?Wang, Yongli;?Wu, Xiaohong;?Wang, Jingkang[Journal of Chemical and Engineering Data,?2008, vol. 53, # 6, p. 1414 - 1416]"
,,,,,,,Full Text
,,,,,,,Cited 20 timesDetailsAbstract
,in pure solvent,39.99,acetone,,,Solubility: 27.45 molpercent,"Chen, Qiaoli;?Wang, Yongli;?Wu, Xiaohong;?Wang, Jingkang[Journal of Chemical and Engineering Data,?2008, vol. 53, # 6, p. 1414 - 1416]"
,,,,,,,Full Text
,,,,,,,Cited 20 timesDetailsAbstract
,in pure solvent,44.99,acetone,,,Solubility: 30.3 molpercent,"Chen, Qiaoli;?Wang, Yongli;?Wu, Xiaohong;?Wang, Jingkang[Journal of Chemical and Engineering Data,?2008, vol. 53, # 6, p. 1414 - 1416]"
,,,,,,,Full Text
,,,,,,,Cited 20 timesDetailsAbstract
,in pure solvent,49.99,acetone,,,Solubility: 35.07 molpercent,"Chen, Qiaoli;?Wang, Yongli;?Wu, Xiaohong;?Wang, Jingkang[Journal of Chemical and Engineering Data,?2008, vol. 53, # 6, p. 1414 - 1416]"
,,,,,,,Full Text
,,,,,,,Cited 20 timesDetailsAbstract
,in pure solvent,54.99,acetone,,,Solubility: 38.01 molpercent,"Chen, Qiaoli;?Wang, Yongli;?Wu, Xiaohong;?Wang, Jingkang[Journal of Chemical and Engineering Data,?2008, vol. 53, # 6, p. 1414 - 1416]"
,,,,,,,Full Text
,,,,,,,Cited 20 timesDetailsAbstract
