"Solubility, g°§l-1",Saturation,"Temperature (Solubility (MCS)), °„C",Solvent (Solubility (MCS)),Ratio of Solvents,Location,Comment (Solubility (MCS)),Reference
28.5,in solution,17,benzene,,,solid modification of acetylene dithiocyanate,"Soederbaeck[Justus Liebigs Annalen der Chemie,?1925, vol. 443, p. 151][Justus Liebigs Annalen der Chemie,?1928, vol. 465, p. 187]"
,,,,,,,Full Text
,,,,,,,Details
130,in solution,16,acetone,,,solid modification of acetylene dithiocyanate,"Soederbaeck[Justus Liebigs Annalen der Chemie,?1925, vol. 443, p. 151][Justus Liebigs Annalen der Chemie,?1928, vol. 465, p. 187]"
,,,,,,,Full Text
,,,,,,,Details
